,date,country,confirmed,deaths,recovered
159,02-19-2020,Finland,1,0,1
160,02-19-2020,Nepal,1,0,1
161,02-19-2020,Sri Lanka,1,0,1
162,02-19-2020,Sweden,1,0,0
163,03-24-2020,US,53740,706,348
164,03-24-2020,Canada,2790,26,110
165,03-24-2020,China,81591,3281,73280
166,03-24-2020,Netherlands,5580,277,3
167,03-24-2020,Australia,2044,8,119
168,03-24-2020,United Kingdom,8164,423,140
169,03-24-2020,Denmark,1718,32,36
170,03-24-2020,France,22622,1102,3288
171,03-24-2020,Afghanistan,74,1,1
172,03-24-2020,Albania,123,5,10
173,03-24-2020,Algeria,264,19,24
174,03-24-2020,Andorra,164,1,1
175,03-24-2020,Angola,3,0,0
176,03-24-2020,Antigua and Barbuda,3,0,0
177,03-24-2020,Argentina,387,6,52
178,03-24-2020,Armenia,249,0,14
179,03-24-2020,Austria,5283,28,9
180,03-24-2020,Azerbaijan,87,1,10
181,03-24-2020,Bahamas,5,0,1
182,03-24-2020,Bahrain,392,3,177
183,03-24-2020,Bangladesh,39,4,5
184,03-24-2020,Barbados,18,0,0
185,03-24-2020,Belarus,81,0,22
186,03-24-2020,Belgium,4269,122,461
187,03-24-2020,Belize,1,0,0
188,03-24-2020,Benin,6,0,0
189,03-24-2020,Bhutan,2,0,0
190,03-24-2020,Bolivia,29,0,0
191,03-24-2020,Bosnia and Herzegovina,166,3,2
192,03-24-2020,Brazil,2247,46,2
193,03-24-2020,Brunei,104,0,2
194,03-24-2020,Bulgaria,218,3,3
195,03-24-2020,Burkina Faso,114,4,7
196,03-24-2020,Cabo Verde,3,1,0
197,03-24-2020,Cambodia,91,0,4
198,03-24-2020,Cameroon,66,0,2
199,03-24-2020,Central African Republic,3,0,0
200,03-24-2020,Chad,3,0,0
201,03-24-2020,Chile,922,2,17
202,03-24-2020,Colombia,378,3,6
203,03-24-2020,Congo (Brazzaville),4,0,0
204,03-24-2020,Congo (Kinshasa),45,2,0
205,03-24-2020,Costa Rica,177,2,2
206,03-24-2020,Cote d'Ivoire,73,0,2
207,03-24-2020,Croatia,382,1,5
208,03-24-2020,Cuba,48,1,1
209,03-24-2020,Cyprus,124,3,3
210,03-24-2020,Czechia,1394,3,10
211,03-24-2020,Djibouti,3,0,0
212,03-24-2020,Dominica,2,0,0
213,03-24-2020,Dominican Republic,312,6,3
214,03-24-2020,Ecuador,1082,27,3
215,03-24-2020,Egypt,402,20,80
216,03-24-2020,El Salvador,5,0,0
217,03-24-2020,Equatorial Guinea,9,0,0
218,03-24-2020,Eritrea,1,0,0
219,03-24-2020,Estonia,369,0,7
220,03-24-2020,Eswatini,4,0,0
221,03-24-2020,Ethiopia,12,0,0
222,03-24-2020,Fiji,4,0,0
223,03-24-2020,Finland,792,1,10
224,03-24-2020,Gabon,6,1,0
225,03-24-2020,Gambia,3,1,0
226,03-24-2020,Georgia,70,0,9
227,03-24-2020,Germany,32986,157,3243
228,03-24-2020,Ghana,53,2,0
229,03-24-2020,Greece,743,20,29
230,03-24-2020,Grenada,1,0,0
231,03-24-2020,Guatemala,21,1,0
232,03-24-2020,Guinea,4,0,0
233,03-24-2020,Guyana,5,1,0
234,03-24-2020,Haiti,7,0,0
235,03-24-2020,Holy See,4,0,0
236,03-24-2020,Honduras,30,0,0
237,03-24-2020,Hungary,187,9,21
238,03-24-2020,Iceland,648,2,51
239,03-24-2020,India,536,10,40
240,03-24-2020,Indonesia,686,55,30
241,03-24-2020,Iran,24811,1934,8913
242,03-24-2020,Iraq,316,27,75
243,03-24-2020,Ireland,1329,7,5
244,03-24-2020,Israel,1930,3,53
245,03-24-2020,Italy,69176,6820,8326
246,03-24-2020,Jamaica,21,1,2
247,03-24-2020,Japan,1193,43,285
248,03-24-2020,Jordan,154,0,1
249,03-24-2020,Kazakhstan,72,0,0
250,03-24-2020,Kenya,25,0,0
251,03-24-2020,"Korea, South",9037,120,3507
252,03-24-2020,Kuwait,191,0,39
253,03-24-2020,Kyrgyzstan,42,0,0
254,03-24-2020,Laos,2,0,0
255,03-24-2020,Latvia,197,0,1
256,03-24-2020,Lebanon,318,4,8
257,03-24-2020,Liberia,3,0,0
258,03-24-2020,Libya,1,0,0
259,03-24-2020,Liechtenstein,51,0,0
260,03-24-2020,Lithuania,209,2,1
261,03-24-2020,Luxembourg,1099,8,6
262,03-24-2020,Madagascar,17,0,0
263,03-24-2020,Malaysia,1624,16,183
264,03-24-2020,Maldives,13,0,5
265,03-24-2020,Malta,110,0,2
266,03-24-2020,Mauritania,2,0,0
267,03-24-2020,Mauritius,42,2,0
268,03-24-2020,Mexico,367,4,4
269,03-24-2020,Moldova,125,1,2
270,03-24-2020,Monaco,23,0,1
271,03-24-2020,Mongolia,10,0,0
272,03-24-2020,Montenegro,47,1,0
273,03-24-2020,Morocco,170,5,6
274,03-24-2020,Mozambique,3,0,0
275,03-24-2020,Namibia,7,0,2
276,03-24-2020,Nepal,2,0,1
277,03-24-2020,New Zealand,155,0,12
278,03-24-2020,Nicaragua,2,0,0
279,03-24-2020,Niger,3,0,0
280,03-24-2020,Nigeria,44,1,2
281,03-24-2020,North Macedonia,148,2,1
282,03-24-2020,Norway,2863,12,6
283,03-24-2020,Oman,84,0,17
284,03-24-2020,Pakistan,972,7,18
285,03-24-2020,Panama,345,6,1
286,03-24-2020,Papua New Guinea,1,0,0
287,03-24-2020,Paraguay,27,2,0
288,03-24-2020,Peru,416,7,1
289,03-24-2020,Philippines,552,35,20
290,03-24-2020,Poland,901,10,1
291,03-24-2020,Portugal,2362,33,22
292,03-24-2020,Qatar,526,0,41
293,03-24-2020,Romania,794,11,79
294,03-24-2020,Russia,495,1,22
295,03-24-2020,Rwanda,40,0,0
296,03-24-2020,Saint Lucia,3,0,0
297,03-24-2020,Saint Vincent and the Grenadines,1,0,0
298,03-24-2020,San Marino,187,21,4
299,03-24-2020,Saudi Arabia,767,1,28
300,03-24-2020,Senegal,86,0,8
301,03-24-2020,Serbia,303,3,15
302,03-24-2020,Seychelles,7,0,0
303,03-24-2020,Singapore,558,2,156
304,03-24-2020,Slovakia,204,0,7
305,03-24-2020,Slovenia,480,4,3
306,03-24-2020,Somalia,1,0,0
307,03-24-2020,South Africa,554,0,4
308,03-24-2020,Spain,39885,2808,3794
309,03-24-2020,Sri Lanka,102,0,2
310,03-24-2020,Sudan,3,1,0
311,03-24-2020,Suriname,7,0,0
312,03-24-2020,Sweden,2286,36,16
313,03-24-2020,Switzerland,9877,122,131
314,03-24-2020,Syria,1,0,0
315,03-24-2020,Taiwan*,215,2,29
316,03-24-2020,Tanzania,12,0,0
317,03-24-2020,Thailand,827,4,52
318,03-24-2020,Timor-Leste,1,0,0
319,03-24-2020,Togo,20,0,1
320,03-24-2020,Trinidad and Tobago,57,0,0
321,03-24-2020,Tunisia,114,4,1
322,03-24-2020,Turkey,1872,44,0
323,03-24-2020,Uganda,9,0,0
324,03-24-2020,Ukraine,97,3,1
325,03-24-2020,United Arab Emirates,248,2,45
326,03-24-2020,Uruguay,162,0,0
327,03-24-2020,Uzbekistan,50,0,0
328,03-24-2020,Venezuela,84,0,15
329,03-24-2020,Vietnam,134,0,17
330,03-24-2020,Zambia,3,0,0
331,03-24-2020,Zimbabwe,3,1,0
332,03-25-2020,US,65778,942,361
333,03-25-2020,Canada,3251,30,183
334,03-25-2020,China,81661,3285,73773
335,03-25-2020,Netherlands,6438,357,4
336,03-25-2020,Australia,2364,8,119
337,03-25-2020,United Kingdom,9640,466,140
338,03-25-2020,Denmark,1862,34,41
339,03-25-2020,France,25600,1333,3907
340,03-25-2020,Afghanistan,84,2,2
341,03-25-2020,Albania,146,5,17
342,03-25-2020,Algeria,302,21,65
343,03-25-2020,Andorra,188,1,1
344,03-25-2020,Angola,3,0,0
345,03-25-2020,Antigua and Barbuda,3,0,0
346,03-25-2020,Argentina,387,8,52
347,03-25-2020,Armenia,265,0,16
348,03-25-2020,Austria,5588,30,9
349,03-25-2020,Azerbaijan,93,2,10
350,03-25-2020,Bahamas,5,0,1
351,03-25-2020,Bahrain,419,4,177
352,03-25-2020,Bangladesh,39,5,7
353,03-25-2020,Barbados,18,0,0
354,03-25-2020,Belarus,86,0,29
355,03-25-2020,Belgium,4937,178,547
356,03-25-2020,Belize,2,0,0
357,03-25-2020,Benin,6,0,0
358,03-25-2020,Bhutan,2,0,0
359,03-25-2020,Bolivia,32,0,0
360,03-25-2020,Bosnia and Herzegovina,176,3,2
361,03-25-2020,Brazil,2554,59,2
362,03-25-2020,Brunei,109,0,2
363,03-25-2020,Bulgaria,242,3,4
364,03-25-2020,Burkina Faso,146,4,10
365,03-25-2020,Cabo Verde,4,1,0
366,03-25-2020,Cambodia,96,0,10
367,03-25-2020,Cameroon,75,1,2
368,03-25-2020,Central African Republic,3,0,0
369,03-25-2020,Chad,3,0,0
370,03-25-2020,Chile,1142,3,22
371,03-25-2020,Colombia,470,4,8
372,03-25-2020,Congo (Brazzaville),4,0,0
373,03-25-2020,Congo (Kinshasa),48,2,0
374,03-25-2020,Costa Rica,201,2,2
375,03-25-2020,Cote d'Ivoire,80,0,3
376,03-25-2020,Croatia,442,1,22
377,03-25-2020,Cuba,57,1,1
378,03-25-2020,Cyprus,132,3,3
379,03-25-2020,Czechia,1654,6,10
380,03-25-2020,Diamond Princess,712,10,587
381,03-25-2020,Djibouti,11,0,0
382,03-25-2020,Dominica,7,0,0
383,03-25-2020,Dominican Republic,392,10,3
384,03-25-2020,Ecuador,1173,28,3
385,03-25-2020,Egypt,456,21,95
386,03-25-2020,El Salvador,9,0,0
387,03-25-2020,Equatorial Guinea,9,0,0
388,03-25-2020,Eritrea,4,0,0
389,03-25-2020,Estonia,404,1,8
390,03-25-2020,Eswatini,4,0,0
391,03-25-2020,Ethiopia,12,0,0
392,03-25-2020,Fiji,5,0,0
393,03-25-2020,Finland,880,3,10
394,03-25-2020,Gabon,6,1,0
395,03-25-2020,Gambia,3,1,0
396,03-25-2020,Georgia,75,0,10
397,03-25-2020,Germany,37323,206,3547
398,03-25-2020,Ghana,93,4,0
399,03-25-2020,Greece,821,22,36
400,03-25-2020,Grenada,1,0,0
401,03-25-2020,Guatemala,24,1,4
402,03-25-2020,Guinea,4,0,0
403,03-25-2020,Guinea-Bissau,2,0,0
404,03-25-2020,Guyana,5,1,0
405,03-25-2020,Haiti,8,0,0
406,03-25-2020,Holy See,4,0,0
407,03-25-2020,Honduras,36,0,0
408,03-25-2020,Hungary,226,10,21
409,03-25-2020,Iceland,737,2,56
410,03-25-2020,India,657,12,43
411,03-25-2020,Indonesia,790,58,31
412,03-25-2020,Iran,27017,2077,9625
413,03-25-2020,Iraq,346,29,103
414,03-25-2020,Ireland,1564,9,5
415,03-25-2020,Israel,2369,5,58
416,03-25-2020,Italy,74386,7503,9362
417,03-25-2020,Jamaica,26,1,2
418,03-25-2020,Japan,1307,45,310
419,03-25-2020,Jordan,172,0,1
420,03-25-2020,Kazakhstan,81,0,0
421,03-25-2020,Kenya,28,0,1
422,03-25-2020,"Korea, South",9137,126,3730
423,03-25-2020,Kuwait,195,0,43
424,03-25-2020,Kyrgyzstan,44,0,0
425,03-25-2020,Laos,3,0,0
426,03-25-2020,Latvia,221,0,1
427,03-25-2020,Lebanon,333,6,20
428,03-25-2020,Liberia,3,0,0
429,03-25-2020,Libya,1,0,0
430,03-25-2020,Liechtenstein,51,0,0
431,03-25-2020,Lithuania,274,4,1
432,03-25-2020,Luxembourg,1333,8,6
433,03-25-2020,Madagascar,19,0,0
434,03-25-2020,Malaysia,1796,20,199
435,03-25-2020,Maldives,13,0,8
436,03-25-2020,Mali,2,0,0
437,03-25-2020,Malta,129,0,2
438,03-25-2020,Mauritania,2,0,0
439,03-25-2020,Mauritius,48,2,0
440,03-25-2020,Mexico,405,5,4
441,03-25-2020,Moldova,149,1,2
442,03-25-2020,Monaco,31,0,1
443,03-25-2020,Mongolia,10,0,0
444,03-25-2020,Montenegro,52,1,0
445,03-25-2020,Morocco,225,6,7
446,03-25-2020,Mozambique,5,0,0
447,03-25-2020,Namibia,7,0,2
448,03-25-2020,Nepal,3,0,1
449,03-25-2020,New Zealand,205,0,22
450,03-25-2020,Nicaragua,2,0,0
451,03-25-2020,Niger,7,1,0
452,03-25-2020,Nigeria,51,1,2
453,03-25-2020,North Macedonia,177,3,1
454,03-25-2020,Norway,3084,14,6
455,03-25-2020,Oman,99,0,17
456,03-25-2020,Pakistan,1063,8,21
457,03-25-2020,Panama,443,8,1
458,03-25-2020,Papua New Guinea,1,0,0
459,03-25-2020,Paraguay,37,3,0
460,03-25-2020,Peru,480,9,1
461,03-25-2020,Philippines,636,38,26
462,03-25-2020,Poland,1051,14,7
463,03-25-2020,Portugal,2995,43,22
464,03-25-2020,Qatar,537,0,41
465,03-25-2020,Romania,906,17,86
466,03-25-2020,Russia,658,3,29
467,03-25-2020,Rwanda,41,0,0
468,03-25-2020,Saint Kitts and Nevis,2,0,0
469,03-25-2020,Saint Lucia,3,0,0
470,03-25-2020,Saint Vincent and the Grenadines,1,0,0
471,03-25-2020,San Marino,208,21,4
472,03-25-2020,Saudi Arabia,900,2,29
473,03-25-2020,Senegal,99,0,9
474,03-25-2020,Serbia,384,4,15
475,03-25-2020,Seychelles,7,0,0
476,03-25-2020,Singapore,631,2,160
477,03-25-2020,Slovakia,216,0,7
478,03-25-2020,Slovenia,528,5,10
479,03-25-2020,Somalia,1,0,0
480,03-25-2020,South Africa,709,0,12
481,03-25-2020,Spain,49515,3647,5367
482,03-25-2020,Sri Lanka,102,0,3
483,03-25-2020,Sudan,3,1,0
484,03-25-2020,Suriname,8,0,0
485,03-25-2020,Sweden,2526,62,16
486,03-25-2020,Switzerland,10897,153,131
487,03-25-2020,Syria,5,0,0
488,03-25-2020,Taiwan*,235,2,29
489,03-25-2020,Tanzania,12,0,0
490,03-25-2020,Thailand,934,4,70
491,03-25-2020,Timor-Leste,1,0,0
492,03-25-2020,Togo,23,0,1
493,03-25-2020,Trinidad and Tobago,60,1,0
494,03-25-2020,Tunisia,173,5,2
495,03-25-2020,Turkey,2433,59,26
496,03-25-2020,Uganda,14,0,0
497,03-25-2020,Ukraine,145,5,1
498,03-25-2020,United Arab Emirates,333,2,52
499,03-25-2020,Uruguay,189,0,0
500,03-25-2020,Uzbekistan,60,0,0
501,03-25-2020,Venezuela,91,0,15
502,03-25-2020,Vietnam,141,0,17
503,03-25-2020,Zambia,12,0,0
504,03-25-2020,Zimbabwe,3,1,0
505,04-02-2020,US,243453,5926,9001
506,04-02-2020,Canada,11284,139,1735
507,04-02-2020,United Kingdom,34173,2926,192
508,04-02-2020,China,82432,3322,76565
509,04-02-2020,Netherlands,14788,1341,260
510,04-02-2020,Australia,5116,24,520
511,04-02-2020,Denmark,3573,123,1172
512,04-02-2020,France,59929,5398,12548
513,04-02-2020,Afghanistan,273,6,10
514,04-02-2020,Albania,277,16,76
515,04-02-2020,Algeria,986,86,61
516,04-02-2020,Andorra,428,15,10
517,04-02-2020,Angola,8,2,1
518,04-02-2020,Antigua and Barbuda,9,0,0
519,04-02-2020,Argentina,1133,36,256
520,04-02-2020,Armenia,663,7,33
521,04-02-2020,Austria,11129,158,1749
522,04-02-2020,Azerbaijan,400,5,26
523,04-02-2020,Bahamas,24,1,1
524,04-02-2020,Bahrain,643,4,381
525,04-02-2020,Bangladesh,56,6,25
526,04-02-2020,Barbados,46,0,0
527,04-02-2020,Belarus,304,4,53
528,04-02-2020,Belgium,15348,1011,2495
529,04-02-2020,Belize,3,0,0
530,04-02-2020,Benin,13,0,1
531,04-02-2020,Bhutan,5,0,1
532,04-02-2020,Bolivia,123,8,1
533,04-02-2020,Bosnia and Herzegovina,533,16,20
534,04-02-2020,Botswana,4,1,0
535,04-02-2020,Brazil,8044,324,127
536,04-02-2020,Brunei,133,1,56
537,04-02-2020,Bulgaria,457,10,25
538,04-02-2020,Burkina Faso,288,16,50
539,04-02-2020,Burma,20,1,0
540,04-02-2020,Burundi,3,0,0
541,04-02-2020,Cabo Verde,6,1,0
542,04-02-2020,Cambodia,110,0,34
543,04-02-2020,Cameroon,306,7,10
544,04-02-2020,Central African Republic,3,0,0
545,04-02-2020,Chad,8,0,0
546,04-02-2020,Chile,3404,18,335
547,04-02-2020,Colombia,1161,19,55
548,04-02-2020,Congo (Brazzaville),22,2,2
549,04-02-2020,Congo (Kinshasa),134,13,3
550,04-02-2020,Costa Rica,396,2,6
551,04-02-2020,Cote d'Ivoire,194,1,15
552,04-02-2020,Croatia,1011,7,88
553,04-02-2020,Cuba,233,6,13
554,04-02-2020,Cyprus,356,10,28
555,04-02-2020,Czechia,3858,44,67
556,04-02-2020,Diamond Princess,712,11,619
557,04-02-2020,Djibouti,40,0,0
558,04-02-2020,Dominica,12,0,0
559,04-02-2020,Dominican Republic,1380,60,16
560,04-02-2020,Ecuador,3163,120,65
561,04-02-2020,Egypt,865,58,201
562,04-02-2020,El Salvador,41,2,0
563,04-02-2020,Equatorial Guinea,15,0,1
