,date,country,confirmed,deaths,recovered
390,03-24-2020,Cote d'Ivoire,73,0,2
391,03-24-2020,Croatia,382,1,5
392,03-24-2020,Cuba,48,1,1
393,03-24-2020,Cyprus,124,3,3
394,03-24-2020,Czechia,1394,3,10
395,03-24-2020,Djibouti,3,0,0
396,03-24-2020,Dominica,2,0,0
397,03-24-2020,Dominican Republic,312,6,3
398,03-24-2020,Ecuador,1082,27,3
399,03-24-2020,Egypt,402,20,80
400,03-24-2020,El Salvador,5,0,0
401,03-24-2020,Equatorial Guinea,9,0,0
402,03-24-2020,Eritrea,1,0,0
403,03-24-2020,Estonia,369,0,7
404,03-24-2020,Eswatini,4,0,0
405,03-24-2020,Ethiopia,12,0,0
406,03-24-2020,Fiji,4,0,0
407,03-24-2020,Finland,792,1,10
408,03-24-2020,Gabon,6,1,0
409,03-24-2020,Gambia,3,1,0
410,03-24-2020,Georgia,70,0,9
411,03-24-2020,Germany,32986,157,3243
412,03-24-2020,Ghana,53,2,0
413,03-24-2020,Greece,743,20,29
414,03-24-2020,Grenada,1,0,0
415,03-24-2020,Guatemala,21,1,0
416,03-24-2020,Guinea,4,0,0
417,03-24-2020,Guyana,5,1,0
418,03-24-2020,Haiti,7,0,0
419,03-24-2020,Holy See,4,0,0
420,03-24-2020,Honduras,30,0,0
421,03-24-2020,Hungary,187,9,21
422,03-24-2020,Iceland,648,2,51
423,03-24-2020,India,536,10,40
424,03-24-2020,Indonesia,686,55,30
425,03-24-2020,Iran,24811,1934,8913
426,03-24-2020,Iraq,316,27,75
427,03-24-2020,Ireland,1329,7,5
428,03-24-2020,Israel,1930,3,53
429,03-24-2020,Italy,69176,6820,8326
430,03-24-2020,Jamaica,21,1,2
431,03-24-2020,Japan,1193,43,285
432,03-24-2020,Jordan,154,0,1
433,03-24-2020,Kazakhstan,72,0,0
434,03-24-2020,Kenya,25,0,0
435,03-24-2020,"Korea, South",9037,120,3507
436,03-24-2020,Kuwait,191,0,39
437,03-24-2020,Kyrgyzstan,42,0,0
438,03-24-2020,Laos,2,0,0
439,03-24-2020,Latvia,197,0,1
440,03-24-2020,Lebanon,318,4,8
441,03-24-2020,Liberia,3,0,0
442,03-24-2020,Libya,1,0,0
443,03-24-2020,Liechtenstein,51,0,0
444,03-24-2020,Lithuania,209,2,1
445,03-24-2020,Luxembourg,1099,8,6
446,03-24-2020,Madagascar,17,0,0
447,03-24-2020,Malaysia,1624,16,183
448,03-24-2020,Maldives,13,0,5
449,03-24-2020,Malta,110,0,2
450,03-24-2020,Mauritania,2,0,0
451,03-24-2020,Mauritius,42,2,0
452,03-24-2020,Mexico,367,4,4
453,03-24-2020,Moldova,125,1,2
454,03-24-2020,Monaco,23,0,1
455,03-24-2020,Mongolia,10,0,0
456,03-24-2020,Montenegro,47,1,0
457,03-24-2020,Morocco,170,5,6
458,03-24-2020,Mozambique,3,0,0
459,03-24-2020,Namibia,7,0,2
460,03-24-2020,Nepal,2,0,1
461,03-24-2020,New Zealand,155,0,12
462,03-24-2020,Nicaragua,2,0,0
463,03-24-2020,Niger,3,0,0
464,03-24-2020,Nigeria,44,1,2
465,03-24-2020,North Macedonia,148,2,1
