,date,infected,exposed,removed,recovered,succeptable,beta,rcovered
0,2020-03-04,1.8154476391689066e-08,4.5749280507056426e-08,2.1785371670026877e-09,,0.9999999339177059,0.06400000422926906,2.1785371670026877e-09
1,2020-03-05,1.960683450302419e-08,4.1827913606451626e-08,5.8094324453405005e-09,,0.9999999327558194,0.9703704356221342,2.1785371670026877e-09
2,2020-03-06,2.0333013558691753e-08,5.620625890866934e-08,9.730799345945339e-09,,0.9999999137299281,1.14285724145152,2.1785371670026877e-09
3,2020-03-07,2.251155072569444e-08,7.319884881129032e-08,1.3797402057683688e-08,,0.9999998904921984,0.3612903621447585,2.1785371670026877e-09
4,2020-03-08,2.6142446004032254e-08,7.319884881129032e-08,1.8299712202822578e-08,,0.999999882358993,2.511111406520785,2.1785371670026877e-09
5,2020-03-09,2.9047162226702506e-08,1.3071223002016126e-07,2.352820140362903e-08,,0.9999998167124063,-0.5350000980588787,2.1785371670026877e-09
6,2020-03-10,3.7761310894713255e-08,1.0064841711552422e-07,2.933763384896953e-08,,0.9999998322526381,1.5076925606037554,2.9047162226702503e-09
7,2020-03-11,4.139220617305107e-08,1.463976976225806e-07,3.688989602791218e-08,,0.9999997753202001,0.26666672658129476,2.9047162226702503e-09
8,2020-03-12,4.9380175785394256e-08,1.411692084217742e-07,4.516833726252239e-08,,0.9999997642822785,2.1176475579905856,2.9047162226702503e-09
9,2020-03-13,5.518960823073476e-08,2.300535248354838e-07,5.504437241960125e-08,,0.9999996597124945,-1.1947372486594225,2.9047162226702503e-09
10,2020-03-14,6.9713189344086e-08,1.3855496382137085e-07,6.60822940657482e-08,,0.9999997256495528,0.6333335070886666,2.9047162226702503e-09
11,2020-03-15,7.116554745542112e-08,1.673116544258065e-07,8.00249319345654e-08,,0.9999996814978662,1.7489801488906436,9.440327723678314e-09
12,2020-03-16,7.552262178942651e-08,2.7318856074213707e-07,9.425804142564963e-08,,0.999999557030776,0.15961545532011967,9.440327723678314e-09
13,2020-03-17,9.077238195844533e-08,2.5488884853931454e-07,1.0936256578353493e-07,,0.9999995449762037,2.0976009544583487,1.0166506779345877e-08
14,2020-03-18,1.009388887377912e-07,4.169720137643144e-07,1.27517042175224e-07,,0.9999993545720554,1.4431663990858237,1.0166506779345877e-08
15,2020-03-19,1.2708133474182345e-07,5.163133085796372e-07,1.4770481992278225e-07,,0.9999992089005367,2.9611451997032363,1.0892685835013438e-08
16,2020-03-20,1.5903321319119622e-07,8.352511498288307e-07,1.7312108687114694e-07,,0.9999988325945501,0.3698634454792313,1.4523581113351251e-08
17,2020-03-21,2.200322538672715e-07,8.012659700235887e-07,2.0492772950938618e-07,,0.9999987737740466,1.6046224296758729,1.670211828035394e-08
18,2020-03-22,2.6505535531866036e-07,1.0653046746643144e-06,2.4893418028284046e-07,,0.9999984207057897,-0.5643844529729346,1.74282973360215e-08
19,2020-03-23,3.30411470328741e-07,7.973446031229838e-07,3.0194525134657254e-07,,0.9999985702986752,2.0720908745589797,2.4690087892697128e-08
20,2020-03-24,3.5292302105443543e-07,1.393392372014919e-06,3.6802754541232075e-07,,0.9999978856570615,-0.16872463657713463,2.9047162226702503e-08
21,2020-03-25,4.3715979151187267e-07,1.1790243147818546e-06,4.386121496232078e-07,,0.9999979452037441,1.5554849237793507,3.122569939370519e-08
22,2020-03-26,4.807305348519264e-07,1.7280156808665328e-06,5.260441079255824e-07,,0.9999972652096764,0.11933567379006932,3.2678057505040316e-08
23,2020-03-27,5.765861702000448e-07,1.5933820839457663e-06,6.221902148959677e-07,,0.999997207841531,-0.20302323689824053,5.3011071063732066e-08
24,2020-03-28,6.383113899317876e-07,1.2992795664004026e-06,7.375074489359766e-07,,0.9999973249015948,2.239141371038413,6.099904067607526e-08
25,2020-03-29,6.550135082121415e-07,2.5841807874985874e-06,8.651697269223341e-07,,0.9999958956359773,-0.060532399223050926,6.898701028841844e-08
26,2020-03-30,8.111420051806673e-07,2.257400212448187e-06,9.961724285647624e-07,,0.9999959352853538,3.9785300480441452,7.407026367809138e-08
27,2020-03-31,8.997358499721101e-07,5.233717690007257e-06,1.158400829600896e-06,,0.9999927081456305,0.9775696787396411,8.93200238471102e-08
28,2020-04-01,1.3013128677562722e-06,5.531741574453226e-06,1.338347999595318e-06,,0.9999918285975582,-1.3728906827279932,1.0747450023879926e-07
29,2020-04-02,1.6556882469220428e-06,3.1305579089828614e-06,1.5986105731465724e-06,,0.9999936151432709,1.9690476598065,1.3870019963250446e-07
30,2020-04-03,1.6723903652023966e-06,6.042826393832057e-06,1.929748222530981e-06,,0.9999903550350184,0.8774726403531147,1.39426378688172e-07
31,2020-04-04,2.0093374470321457e-06,6.838863874654839e-06,2.26422629557146e-06,,0.9999888875723827,2.3707527633222742,1.6629500374787184e-07
32,2020-04-05,2.3673437214762543e-06,1.0842579480172376e-05,2.6660937849778895e-06,,0.9999841239830134,-0.40933165193049015,1.6629500374787184e-07
33,2020-04-06,3.0986060305334896e-06,8.6688350949371e-06,3.1395625292731405e-06,,0.9999850929963453,0.5504652013339897,2.72317145875336e-07
34,2020-04-07,3.442088723864247e-06,9.411280561451611e-06,3.7592837353798385e-06,,0.9999833873469793,0.7849497489585783,3.057213824360438e-07
35,2020-04-08,3.7993688192526878e-06,1.1067404515807057e-05,4.447701480152688e-06,,0.9999806855251848,0.6357156424281376,3.6744660216778667e-07
36,2020-04-09,4.269206668269601e-06,1.2252964442089917e-05,5.207575244003226e-06,,0.9999782702536456,0.3982056251814272,4.502310145138888e-07
