country,population,num_testing,lockdown
Iran,83759670,3136,2020-03-15
China,1439323776,,2020-01-23
UK,67803314,5200,2020-03-24
Germany,83726462,15730,2020-03-21
France,65242557,5114,2020-03-17
Italy,60480797,19935,2020-03-09
Spain,46750905,7593,2020-03-14
US,330584923,8156,2020-03-25
India,1377070837,,2020-03-25

