,date,infected,exposed,removed,recovered,succeptable,beta,rcovered
0,2020-03-04,2.0333013558691753e-08,3.0499520338037615e-08,2.1785371670026877e-09,,0.9999999469889289,0.035714287607539384,2.1785371670026877e-09
1,2020-03-05,2.1785371670026876e-08,2.6868625059699825e-08,5.0832533896729375e-09,,0.9999999462627499,0.6761905125270946,2.1785371670026877e-09
2,2020-03-06,2.251155072569444e-08,3.7761310894713255e-08,8.195449342533919e-09,,0.9999999315316891,0.7880184871340182,2.1785371670026877e-09
3,2020-03-07,2.4690087892697128e-08,5.010635484106182e-08,1.1411385160490268e-08,,0.9999999137921721,0.23109245689676905,2.1785371670026877e-09
4,2020-03-08,2.832098317103494e-08,4.8653996729726705e-08,1.4938540573732716e-08,,0.9999999080864795,1.9633701438302251,2.1785371670026877e-09
5,2020-03-09,3.122569939370519e-08,9.73079934594534e-08,1.898439531245199e-08,,0.9999998524819118,-0.39202663590410974,2.1785371670026877e-09
6,2020-03-10,4.066602711738351e-08,7.116554745542114e-08,2.3445209511552733e-08,,0.9999998647232159,0.9821429900040017,2.9047162226702503e-09
7,2020-03-11,4.502310145138888e-08,1.0093888873779118e-07,2.9254641956893234e-08,,0.9999998247833679,0.2718894485612137,2.9047162226702503e-09
8,2020-03-12,5.3011071063732066e-08,9.876035157078855e-08,3.568651359280593e-08,,0.9999998125420638,1.4442272766027051,2.9047162226702503e-09
9,2020-03-13,5.9546682564740135e-08,1.6121175035819887e-07,4.325952374476765e-08,,0.9999997359820433,-0.13763069835788166,2.9047162226702503e-09
10,2020-03-14,7.407026367809138e-08,1.2998605096449369e-07,5.176619268258767e-08,,0.9999997441774927,0.01540616640623137,2.9047162226702503e-09
11,2020-03-15,8.205823329043457e-08,1.1255775362847228e-07,6.234765892231501e-08,,0.9999997430363542,1.3021495128604585,9.440327723678314e-09
12,2020-03-16,8.641530762443995e-08,2.0333013558691752e-07,7.407026367809138e-08,,0.9999996361842931,2.297317740294873e-16,9.440327723678314e-09
13,2020-03-17,1.0311742590479389e-07,1.7428297336021504e-07,8.641530762443994e-08,,0.9999996361842931,1.5231393871400205,1.0166506779345877e-08
14,2020-03-18,1.1328393268413977e-07,3.064475614917114e-07,1.0114636846798193e-07,,0.9999994791221374,1.1684987771433142,1.0166506779345877e-08
15,2020-03-19,1.4087873679950714e-07,3.9504140628315405e-07,1.1732978742285903e-07,,0.9999993467500695,1.9572914111483437,1.0892685835013438e-08
16,2020-03-20,1.7718768958288527e-07,6.143474810947581e-07,1.3745532125136005e-07,,0.999999071009508,0.2740049383887315,1.4523581113351251e-08
17,2020-03-21,2.3963908837029567e-07,5.751338120887096e-07,1.6276784833462936e-07,,0.9999990224592512,1.3277069255932492,1.670211828035394e-08
