,country,total_cases,new_cases,total_deaths,new_deaths,total_recovered,active_cases,serious_critical,total_case_per_mn,deaths_per_mn,total_test,tests_per_mn,countinent
163,Libya,48,,1 ,,11,36,,7,0.1,634,92,Africa
164,Macao,45,, ,,16,29,1,69,,,,Asia
165,Guinea-Bissau,43,, ,,,43,,22,,"1,500",762,Africa
166,Haiti,41,,3 ,,,38,,4,0.3,365,32,North America
167,Saint Martin,35,,2 ,,13,20,5,905,52,,,North America
168,Benin,35,,1 ,,18,16,,3,0.08,,,Africa
169,Eritrea,35,, ,,,35,,10,,,,Africa
170,Syria,33,,2 ,,5,26,,2,0.1,,,Asia
171,Sudan,32,,5 ,,4,23,,0.7,0.1,,,Africa
172,Mongolia,31,+1, ,,5,26,,9,,"1,077",329,Asia
173,Mozambique,31,+2, ,,2,29,,1.0,,855,27,Africa
174,Chad,27,+4, ,,5,22,,2,,,,Africa
175,Antigua and Barbuda,23,,3 ,+1,3,17,1,235,31,73,745,North America
176,Zimbabwe,23,,3 ,,1,19,,2,0.2,716,48,Africa
177,Maldives,23,+1, ,,16,7,,43,,"3,432","6,349",Asia
178,Angola,19,,2 ,,5,12,,0.6,0.06,,,Africa
179,Laos,19,, ,,2,17,,3,,"1,288",177,Asia
180,Belize,18,,2 ,,,16,1,45,5,567,"1,426",North America
181,New Caledonia,18,, ,,1,17,1,63,,"3,002","10,515",Australia/Oceania
182,Timor-Leste,18,+10, ,,1,17,,14,,,,Asia
183,Fiji,17,+1, ,,,17,,19,,,,Australia/Oceania
184,Malawi,16,,2 ,,,14,1,0.8,0.1,343,18,Africa
185,Eswatini,16,+1,1 ,+1,8,7,,14,0.9,714,615,Africa
186,Nepal,16,, ,,2,14,,0.5,,"15,800",542,Asia
187,Dominica,16,, ,,8,8,,222,,345,"4,793",North America
188,Namibia,16,, ,,4,12,,6,,362,142,Africa
189,Botswana,15,+2,1 ,,,14,,6,0.4,"3,441","1,463",Africa
190,Saint Lucia,15,, ,,11,4,,82,,319,"1,737",North America
191,Sierra Leone,15,+2, ,,,15,,2,,,,Africa
192,Curaçao,14,,1 ,,10,3,,85,6,230,"1,402",North America
193,Grenada,14,, ,,,14,2,124,,92,818,North America
194,Saint Kitts and Nevis,14,, ,,,14,,263,,234,"4,399",North America
195,CAR,12,, ,,4,8,,2,,,,Africa
196,St. Vincent Grenadines,12,, ,,1,11,,108,,87,784,North America
197,Turks and Caicos,11,+1,1 ,,,10,,284,26,71,"1,834",North America
198,Falkland Islands,11,, ,,1,10,,"3,161",,137,"39,368",South America
199,Greenland,11,, ,,11,0,,194,,912,"16,065",North America
200,Montserrat,11,, ,,1,10,1,"2,204",,36,"7,212",North America
201,Seychelles,11,, ,,,11,,112,,,,Africa
202,Suriname,10,,1 ,,6,3,,17,2,,,South America
203,MS Zaandam,9,,2 ,,,7,,,,,,
204,Gambia,9,,1 ,,2,6,,4,0.4,281,116,Africa
205,Nicaragua,9,,1 ,,4,4,,1,0.2,,,North America
206,Vatican City,8,, ,,2,6,,"9,988",,,,Europe
207,Mauritania,7,,1 ,,2,4,,2,0.2,713,153,Africa
208,Papua New Guinea,7,+5, ,,,7,,0.8,,167,19,Australia/Oceania
209,St. Barth,6,, ,,4,2,,607,,,,North America
210,Western Sahara,6,, ,,,6,,10,,,,Africa
211,Burundi,5,,1 ,,,4,,0.4,0.08,,,Africa
212,Bhutan,5,, ,,2,3,,6,,"1,166","1,511",Asia
213,Sao Tome and Principe,4,, ,,,4,,18,,19,87,Africa
214,South Sudan,4,, ,,,4,,0.4,,,,Africa
215,Anguilla,3,, ,,1,2,,200,,,,North America
216,British Virgin Islands,3,, ,,2,1,,99,,,,North America
217,Caribbean Netherlands,3,, ,,,3,,114,,10,381,North America
218,Saint Pierre Miquelon,1,, ,,,1,,173,,,,North America
219,Yemen,1,, ,,,1,,0.03,,,,Asia
220,China,"82,341",+46,"3,342 ",,"77,892","1,107",95,57,2,,,Asia
