,A,B,t_off,t_w,mse
179,-0.492836,0.725952,19.251661,12.234415,26902.017622
180,-0.704570,0.851755,18.735552,11.282671,2690.647334
181,-0.704570,0.851755,18.735552,11.282671,2690.645735
182,-0.704570,0.851755,18.735552,11.282671,2690.643897
183,-0.704570,0.851755,18.735552,11.282671,2690.647257
184,-0.704570,0.851755,18.735552,11.282671,2690.647313
185,-0.706367,0.852823,18.731171,11.274592,2676.165216
186,-0.706367,0.852823,18.731171,11.274592,2676.163240
187,-0.706367,0.852823,18.731171,11.274592,2676.161391
188,-0.706367,0.852823,18.731171,11.274592,2676.165138
189,-0.706367,0.852823,18.731171,11.274592,2676.165193
190,-0.703709,0.848736,18.843504,11.475493,2474.421017
191,-0.703709,0.848736,18.843504,11.475493,2474.420435
192,-0.703709,0.848736,18.843504,11.475493,2474.419919
193,-0.703709,0.848736,18.843504,11.475493,2474.420996
194,-0.703709,0.848736,18.843504,11.475493,2474.421010
195,-0.702894,0.847588,18.876145,11.533875,2460.091340
196,-0.702894,0.847588,18.876145,11.533875,2460.091399
197,-0.702894,0.847588,18.876145,11.533875,2460.091463
198,-0.702894,0.847588,18.876145,11.533875,2460.091344
199,-0.702894,0.847588,18.876145,11.533875,2460.091340
200,-0.702620,0.847273,18.881036,11.542646,2459.839332
201,-0.702620,0.847273,18.881036,11.542646,2459.839334
202,-0.702620,0.847273,18.881036,11.542646,2459.839335
203,-0.702620,0.847273,18.881036,11.542646,2459.839334
204,-0.702620,0.847273,18.881036,11.542646,2459.839331
205,-0.702569,0.847207,18.882339,11.544981,2459.836149
206,-0.702569,0.847207,18.882339,11.544981,2459.836149
207,-0.702569,0.847207,18.882339,11.544981,2459.836148
208,-0.702569,0.847207,18.882339,11.544981,2459.836151
209,-0.702569,0.847207,18.882339,11.544981,2459.836149
210,-0.702565,0.847203,18.882438,11.545170,2459.835333
211,-0.702565,0.847203,18.882438,11.545170,2459.835333
212,-0.702565,0.847203,18.882438,11.545170,2459.835332
213,-0.702565,0.847203,18.882438,11.545170,2459.835334
214,-0.702565,0.847203,18.882438,11.545170,2459.835332
215,-0.702549,0.847183,18.882834,11.545923,2459.832580
216,-0.702549,0.847183,18.882834,11.545923,2459.832582
217,-0.702549,0.847183,18.882834,11.545923,2459.832583
218,-0.702549,0.847183,18.882834,11.545923,2459.832581
219,-0.702549,0.847183,18.882834,11.545923,2459.832579
220,-0.702508,0.847130,18.883886,11.548100,2459.816790
221,-0.702508,0.847130,18.883886,11.548100,2459.816799
222,-0.702508,0.847130,18.883886,11.548100,2459.816804
223,-0.702508,0.847130,18.883886,11.548100,2459.816792
224,-0.702508,0.847130,18.883886,11.548100,2459.816789
225,-0.702435,0.847035,18.885738,11.552453,2459.770255
226,-0.702435,0.847035,18.885738,11.552453,2459.770275
227,-0.702435,0.847035,18.885738,11.552453,2459.770289
228,-0.702435,0.847035,18.885738,11.552453,2459.770257
229,-0.702435,0.847035,18.885738,11.552453,2459.770255
230,-0.702353,0.846924,18.887752,11.558669,2459.659801
231,-0.702353,0.846924,18.887752,11.558669,2459.659837
232,-0.702353,0.846924,18.887752,11.558669,2459.659863
233,-0.702353,0.846924,18.887752,11.558669,2459.659803
234,-0.702353,0.846924,18.887752,11.558669,2459.659800
235,-0.702251,0.846764,18.890182,11.571139,2459.337487
236,-0.702251,0.846764,18.890182,11.571139,2459.337553
237,-0.702251,0.846764,18.890182,11.571139,2459.337600
238,-0.702251,0.846764,18.890182,11.571139,2459.337490
239,-0.702251,0.846764,18.890182,11.571139,2459.337487
240,-0.702228,0.846652,18.890343,11.591706,2458.554205
241,-0.702228,0.846652,18.890343,11.591706,2458.554316
242,-0.702228,0.846652,18.890343,11.591706,2458.554396
243,-0.702228,0.846652,18.890343,11.591706,2458.554210
244,-0.702228,0.846652,18.890343,11.591706,2458.554206
245,-0.702527,0.846799,18.881392,11.631151,2456.455690
246,-0.702527,0.846799,18.881392,11.631151,2456.455879
247,-0.702527,0.846799,18.881392,11.631151,2456.456014
248,-0.702527,0.846799,18.881392,11.631151,2456.455698
249,-0.702527,0.846799,18.881392,11.631151,2456.455692
250,-0.703857,0.847874,18.844019,11.705902,2451.142778
251,-0.703857,0.847874,18.844019,11.705902,2451.143092
252,-0.703857,0.847874,18.844019,11.705902,2451.143314
253,-0.703857,0.847874,18.844019,11.705902,2451.142790
254,-0.703857,0.847874,18.844019,11.705902,2451.142781
255,-0.708274,0.851823,18.722810,11.861362,2436.959175
256,-0.708274,0.851823,18.722810,11.861362,2436.959682
257,-0.708274,0.851823,18.722810,11.861362,2436.960036
258,-0.708274,0.851823,18.722810,11.861362,2436.959192
259,-0.708274,0.851823,18.722810,11.861362,2436.959180
260,-0.723495,0.866141,18.308935,12.240171,2395.332871
261,-0.723495,0.866141,18.308935,12.240171,2395.333639
262,-0.723495,0.866141,18.308935,12.240171,2395.334097
263,-0.723495,0.866141,18.308935,12.240171,2395.332894
264,-0.723495,0.866141,18.308935,12.240171,2395.332879
265,-1.025598,1.154748,10.111698,18.913882,13767.875380
266,-1.025598,1.154748,10.111698,18.913882,13767.870442
267,-1.025598,1.154748,10.111698,18.913882,13767.867579
268,-1.025598,1.154748,10.111698,18.913882,13767.875199
269,-1.025598,1.154748,10.111698,18.913882,13767.875294
270,-0.731001,0.873312,18.105271,12.405982,2370.308335
271,-0.731001,0.873312,18.105271,12.405982,2370.309126
272,-0.731001,0.873312,18.105271,12.405982,2370.309532
273,-0.731001,0.873312,18.105271,12.405982,2370.308356
274,-0.731001,0.873312,18.105271,12.405982,2370.308343
275,-0.764036,0.904871,17.208899,13.135757,2336.526127
276,-0.764036,0.904871,17.208899,13.135757,2336.526056
277,-0.764036,0.904871,17.208899,13.135757,2336.525426
278,-0.764036,0.904871,17.208899,13.135757,2336.526102
279,-0.764036,0.904871,17.208899,13.135757,2336.526125
280,-0.750649,0.893040,17.573845,12.688860,2301.512034
281,-0.750649,0.893040,17.573845,12.688860,2301.512716
282,-0.750649,0.893040,17.573845,12.688860,2301.512777
283,-0.750649,0.893040,17.573845,12.688860,2301.512040
284,-0.750649,0.893040,17.573845,12.688860,2301.512039
285,-0.758364,0.901528,17.367479,12.676101,2276.778539
286,-0.758364,0.901528,17.367479,12.676101,2276.779008
287,-0.758364,0.901528,17.367479,12.676101,2276.778771
288,-0.758364,0.901528,17.367479,12.676101,2276.778532
289,-0.758364,0.901528,17.367479,12.676101,2276.778541
290,-0.762191,0.905612,17.272039,12.663742,2266.864173
291,-0.762191,0.905612,17.272039,12.663742,2266.864324
292,-0.762191,0.905612,17.272039,12.663742,2266.863836
293,-0.762191,0.905612,17.272039,12.663742,2266.864153
294,-0.762191,0.905612,17.272039,12.663742,2266.864171
295,-0.762157,0.905787,17.287096,12.579773,2254.816194
296,-0.762157,0.905787,17.287096,12.579773,2254.816165
297,-0.762157,0.905787,17.287096,12.579773,2254.815625
298,-0.762157,0.905787,17.287096,12.579773,2254.816172
299,-0.762157,0.905787,17.287096,12.579773,2254.816190
300,-0.763139,0.906522,17.292791,12.526862,2233.539165
301,-0.763139,0.906522,17.292791,12.526862,2233.538784
302,-0.763139,0.906522,17.292791,12.526862,2233.538188
303,-0.763139,0.906522,17.292791,12.526862,2233.539139
304,-0.763139,0.906522,17.292791,12.526862,2233.539158
305,-0.767668,0.910576,17.208314,12.565958,2210.066456
306,-0.767668,0.910576,17.208314,12.565958,2210.065851
307,-0.767668,0.910576,17.208314,12.565958,2210.065272
308,-0.767668,0.910576,17.208314,12.565958,2210.066430
309,-0.767668,0.910576,17.208314,12.565958,2210.066448
310,-0.786041,0.928236,16.791692,12.784310,2162.487256
311,-0.786041,0.928236,16.791692,12.784310,2162.486178
312,-0.786041,0.928236,16.791692,12.784310,2162.485418
313,-0.786041,0.928236,16.791692,12.784310,2162.487219
314,-0.786041,0.928236,16.791692,12.784310,2162.487243
315,-0.802722,0.943323,16.447557,13.091466,2102.395002
316,-0.802722,0.943323,16.447557,13.091466,2102.394487
317,-0.802722,0.943323,16.447557,13.091466,2102.394427
318,-0.802722,0.943323,16.447557,13.091466,2102.394999
319,-0.802722,0.943323,16.447557,13.091466,2102.394998
320,-0.847662,0.986960,15.392665,13.751748,2161.637521
321,-0.847662,0.986960,15.392665,13.751748,2161.634689
322,-0.847662,0.986960,15.392665,13.751748,2161.632890
323,-0.847662,0.986960,15.392665,13.751748,2161.637425
324,-0.847662,0.986960,15.392665,13.751748,2161.637487
325,-0.821491,0.961549,16.006971,13.367239,2059.832651
326,-0.821491,0.961549,16.006971,13.367239,2059.831501
327,-0.821491,0.961549,16.006971,13.367239,2059.830931
328,-0.821491,0.961549,16.006971,13.367239,2059.832622
329,-0.821491,0.961549,16.006971,13.367239,2059.832640
330,-0.843598,0.983528,15.475323,13.707519,2014.047925
331,-0.843598,0.983528,15.475323,13.707519,2014.046773
332,-0.843598,0.983528,15.475323,13.707519,2014.045918
333,-0.843598,0.983528,15.475323,13.707519,2014.047881
334,-0.843598,0.983528,15.475323,13.707519,2014.047911
335,-0.840788,0.981530,15.518830,13.685327,2008.230300
336,-0.840788,0.981530,15.518830,13.685327,2008.231179
337,-0.840788,0.981530,15.518830,13.685327,2008.231412
338,-0.840788,0.981530,15.518830,13.685327,2008.230315
339,-0.840788,0.981530,15.518830,13.685327,2008.230308
340,-0.850688,0.990826,15.322215,13.777502,1967.250141
341,-0.850688,0.990826,15.322215,13.777502,1967.250016
342,-0.850688,0.990826,15.322215,13.777502,1967.249747
343,-0.850688,0.990826,15.322215,13.777502,1967.250129
344,-0.850688,0.990826,15.322215,13.777502,1967.250139
345,-0.867117,1.006695,14.986077,13.935579,1948.199064
346,-0.867117,1.006695,14.986077,13.935579,1948.198046
347,-0.867117,1.006695,14.986077,13.935579,1948.197317
348,-0.867117,1.006695,14.986077,13.935579,1948.199025
349,-0.867117,1.006695,14.986077,13.935579,1948.199051
350,-0.868262,1.007820,14.987660,13.893201,1924.917817
351,-0.868262,1.007820,14.987660,13.893201,1924.917107
352,-0.868262,1.007820,14.987660,13.893201,1924.916692
353,-0.868262,1.007820,14.987660,13.893201,1924.917795
354,-0.868262,1.007820,14.987660,13.893201,1924.917810
355,-0.884661,1.024199,14.667321,13.991075,1884.328731
356,-0.884661,1.024199,14.667321,13.991075,1884.328092
357,-0.884661,1.024199,14.667321,13.991075,1884.327769
358,-0.884661,1.024199,14.667321,13.991075,1884.328713
359,-0.884661,1.024199,14.667321,13.991075,1884.328724
360,-0.923616,1.061816,13.864293,14.512877,1848.697478
361,-0.923616,1.061816,13.864293,14.512877,1848.696116
362,-0.923616,1.061816,13.864293,14.512877,1848.695296
363,-0.923616,1.061816,13.864293,14.512877,1848.697430
364,-0.923616,1.061816,13.864293,14.512877,1848.697460
365,-0.929532,1.067742,13.744512,14.627662,1826.710397
366,-0.929532,1.067742,13.744512,14.627662,1826.711383
367,-0.929532,1.067742,13.744512,14.627662,1826.711785
368,-0.929532,1.067742,13.744512,14.627662,1826.710424
369,-0.929532,1.067742,13.744512,14.627662,1826.710410
370,-0.942932,1.081167,13.504554,14.658033,1779.286698
371,-0.942932,1.081167,13.504554,14.658033,1779.286470
372,-0.942932,1.081167,13.504554,14.658033,1779.286248
373,-0.942932,1.081167,13.504554,14.658033,1779.286686
374,-0.942932,1.081167,13.504554,14.658033,1779.286695
375,-0.961793,1.100036,13.172089,14.721833,1772.612215
376,-0.961793,1.100036,13.172089,14.721833,1772.610799
377,-0.961793,1.100036,13.172089,14.721833,1772.610004
378,-0.961793,1.100036,13.172089,14.721833,1772.612165
379,-0.961793,1.100036,13.172089,14.721833,1772.612195
380,-0.952143,1.090381,13.342199,14.689189,1766.675652
381,-0.952143,1.090381,13.342199,14.689189,1766.674944
382,-0.952143,1.090381,13.342199,14.689189,1766.674494
383,-0.952143,1.090381,13.342199,14.689189,1766.675625
384,-0.952143,1.090381,13.342199,14.689189,1766.675642
385,-0.957304,1.095988,13.293477,14.568555,1749.447385
386,-0.957304,1.095988,13.293477,14.568555,1749.446648
387,-0.957304,1.095988,13.293477,14.568555,1749.446329
388,-0.957304,1.095988,13.293477,14.568555,1749.447365
389,-0.957304,1.095988,13.293477,14.568555,1749.447376
390,-0.972157,1.110972,13.013549,14.672310,1734.892854
391,-0.972157,1.110972,13.013549,14.672310,1734.891843
392,-0.972157,1.110972,13.013549,14.672310,1734.891295
393,-0.972157,1.110972,13.013549,14.672310,1734.892819
394,-0.972157,1.110972,13.013549,14.672310,1734.892839
395,-0.981945,1.121058,12.828034,14.748934,1709.230044
396,-0.981945,1.121058,12.828034,14.748934,1709.229998
397,-0.981945,1.121058,12.828034,14.748934,1709.229821
398,-0.981945,1.121058,12.828034,14.748934,1709.230034
399,-0.981945,1.121058,12.828034,14.748934,1709.230041
400,-1.000122,1.139018,12.505418,14.890186,1691.028612
401,-1.000122,1.139018,12.505418,14.890186,1691.028213
402,-1.000122,1.139018,12.505418,14.890186,1691.027838
403,-1.000122,1.139018,12.505419,14.890186,1691.028587
404,-1.000122,1.139018,12.505418,14.890186,1691.028603
405,-1.030482,1.168300,11.985648,15.180687,1659.180152
406,-1.030482,1.168300,11.985648,15.180687,1659.179142
407,-1.030482,1.168300,11.985648,15.180687,1659.178563
408,-1.030482,1.168300,11.985648,15.180687,1659.180112
409,-1.030482,1.168300,11.985648,15.180687,1659.180135
410,-1.042856,1.179322,11.791077,15.387587,1640.385749
411,-1.042856,1.179322,11.791077,15.387587,1640.386062
412,-1.042856,1.179322,11.791077,15.387587,1640.386303
413,-1.042856,1.179322,11.791077,15.387587,1640.385767
414,-1.042856,1.179322,11.791077,15.387587,1640.385757
415,-1.060256,1.196563,11.495682,15.503754,1620.337126
416,-1.060256,1.196563,11.495682,15.503754,1620.336364
417,-1.060256,1.196563,11.495682,15.503754,1620.336063
418,-1.060256,1.196563,11.495682,15.503754,1620.337105
419,-1.060256,1.196563,11.495682,15.503754,1620.337117
420,-1.063018,1.199556,11.452168,15.496857,1611.701654
421,-1.063018,1.199556,11.452168,15.496857,1611.701034
422,-1.063018,1.199556,11.452168,15.496857,1611.700764
423,-1.063018,1.199556,11.452168,15.496857,1611.701635
424,-1.063018,1.199556,11.452168,15.496857,1611.701646
425,-1.087289,1.224476,11.079211,15.535900,1588.802596
426,-1.087289,1.224476,11.079211,15.535900,1588.801684
427,-1.087289,1.224476,11.079211,15.535900,1588.801204
428,-1.087289,1.224476,11.079211,15.535900,1588.802560
429,-1.087289,1.224476,11.079211,15.535900,1588.802580
430,-1.084309,1.222680,11.172015,15.350624,1601.131231
431,-1.084309,1.222680,11.172015,15.350624,1601.132478
432,-1.084309,1.222680,11.172015,15.350624,1601.132927
433,-1.084309,1.222680,11.172015,15.350624,1601.131266
434,-1.084309,1.222680,11.172015,15.350624,1601.131248
435,-1.086066,1.223739,11.117297,15.459864,1577.434267
436,-1.086066,1.223739,11.117297,15.459864,1577.434227
437,-1.086066,1.223739,11.117297,15.459864,1577.434122
438,-1.086066,1.223739,11.117297,15.459864,1577.434260
439,-1.086066,1.223739,11.117297,15.459864,1577.434264
440,-1.101739,1.239046,10.869468,15.582760,1561.685009
441,-1.101739,1.239046,10.869468,15.582760,1561.684804
442,-1.101739,1.239046,10.869468,15.582760,1561.684637
443,-1.101739,1.239046,10.869468,15.582760,1561.684997
444,-1.101739,1.239046,10.869468,15.582760,1561.685004
445,-1.158892,1.294778,9.975733,16.031044,1605.133913
446,-1.158892,1.294778,9.975733,16.031044,1605.131368
447,-1.158892,1.294778,9.975733,16.031044,1605.130261
448,-1.158892,1.294778,9.975733,16.031044,1605.133823
449,-1.158892,1.294778,9.975733,16.031044,1605.133868
450,-1.122581,1.259370,10.543549,15.746236,1546.887458
451,-1.122581,1.259370,10.543549,15.746236,1546.886821
452,-1.122581,1.259370,10.543549,15.746236,1546.886486
453,-1.122581,1.259370,10.543549,15.746236,1546.887432
454,-1.122581,1.259370,10.543549,15.746236,1546.887446
455,-1.145306,1.280882,10.188189,15.997631,1530.049307
456,-1.145306,1.280882,10.188189,15.997631,1530.048751
457,-1.145306,1.280882,10.188189,15.997631,1530.048540
458,-1.145306,1.280882,10.188189,15.997631,1530.049291
459,-1.145306,1.280882,10.188189,15.997631,1530.049300
460,-1.158995,1.294625,9.998589,16.032097,1520.888899
461,-1.158995,1.294625,9.998589,16.032097,1520.887966
462,-1.158995,1.294625,9.998589,16.032097,1520.887612
463,-1.158995,1.294625,9.998589,16.032097,1520.888871
464,-1.158995,1.294625,9.998589,16.032097,1520.888885
465,-1.176975,1.313195,9.797651,15.964867,1497.595070
466,-1.176975,1.313195,9.797651,15.964867,1497.594646
467,-1.176975,1.313195,9.797651,15.964867,1497.594563
468,-1.176975,1.313195,9.797651,15.964867,1497.595063
469,-1.176975,1.313195,9.797651,15.964867,1497.595065
470,-1.201148,1.337062,9.444872,16.110277,1497.192108
471,-1.201148,1.337062,9.444872,16.110277,1497.190635
472,-1.201148,1.337062,9.444872,16.110277,1497.190120
473,-1.201148,1.337062,9.444872,16.110277,1497.192064
474,-1.201148,1.337062,9.444872,16.110277,1497.192084
475,-1.186457,1.322557,9.659265,16.021908,1492.590786
476,-1.186457,1.322557,9.659265,16.021908,1492.590040
477,-1.186457,1.322557,9.659265,16.021908,1492.589822
478,-1.186457,1.322557,9.659265,16.021908,1492.590767
479,-1.186457,1.322557,9.659265,16.021908,1492.590775
