,country,starting_date,num_days,population,gamma,delta,beta0,alpha,mu,tl,R0,Rt,loss,convergence
0,US,2020-02-21,101,331002651,0.008,0.003,0.446,0.000,0.037,0.000,41.654,0.957,7813.121,True
1,Brazil,2020-03-10,83,212559417,0.047,0.007,0.278,0.000,0.014,0.000,5.097,1.570,3653.441,True
2,Russia,2020-03-13,80,145934462,0.024,0.001,0.317,0.000,0.026,0.000,12.715,1.649,4033.629,True
3,UK,2020-03-01,92,67886011,0.001,0.006,0.452,0.000,0.047,0.000,68.424,0.904,3221.910,True
4,Spain,2020-02-28,94,46754778,0.032,0.006,0.609,0.000,0.057,0.000,15.666,0.074,4008.866,True
5,Italy,2020-02-22,100,60461826,0.023,0.007,0.476,0.000,0.049,0.000,16.325,0.125,3729.524,True
6,India,2020-03-05,88,1380004385,0.042,0.003,0.231,0.000,0.013,0.000,5.130,1.655,909.876,True
7,France,2020-02-28,94,65273511,0.014,0.006,0.526,0.000,0.057,0.000,26.635,0.126,3700.548,True
8,Germany,2020-02-27,95,83783942,0.058,0.003,0.625,0.000,0.055,0.000,10.186,0.054,2133.833,True
9,Peru,2020-03-13,80,32971854,0.035,0.003,0.283,0.000,0.021,0.000,7.621,1.422,783.312,True
10,Turkey,2020-03-17,76,84339067,0.041,0.002,0.675,0.000,0.070,0.000,15.650,0.075,3602.750,True
11,Iran,2020-02-23,98,83992949,0.072,0.006,0.463,0.000,0.036,0.000,5.940,0.166,3548.249,True
12,Chile,2020-03-13,80,19116201,0.047,0.001,0.202,0.000,0.010,0.000,4.145,1.849,843.512,True
13,Canada,2020-03-04,89,37742154,0.031,0.005,0.359,0.000,0.033,0.000,9.927,0.507,751.656,True
14,Mexico,2020-03-15,78,128932753,0.100,0.027,0.339,0.000,0.015,0.000,2.679,0.822,1518.939,True
15,SaudiArabia,2020-03-12,81,34813871,0.055,0.001,0.257,0.000,0.017,0.000,4.616,1.130,1677.344,True
16,China,2020-03-11,82,1439323776,0.100,0.006,0.100,0.000,0.100,0.000,0.943,0.000,1096.601,True
17,Pakistan,2020-03-13,80,220892340,0.024,0.002,0.249,0.000,0.022,0.000,9.811,1.712,262.535,True
18,Belgium,2020-03-05,88,11589623,0.011,0.007,0.414,0.000,0.052,0.000,22.470,0.228,1261.549,True
19,Qatar,2020-03-11,82,2881053,0.021,0.001,0.100,0.000,0.004,0.000,4.560,3.380,1182.924,True
20,Bangladesh,2020-03-24,65,164689383,0.016,0.001,0.266,0.000,0.027,0.000,15.119,2.653,169.095,True
21,Netherlands,2020-03-04,89,17134872,0.001,0.008,0.636,0.000,0.096,0.000,73.119,0.015,1200.748,True
22,Belarus,2020-03-16,77,9449323,0.026,0.001,0.261,0.000,0.026,0.000,9.715,1.320,245.615,True
23,Ecuador,2020-03-14,79,17643054,0.013,0.004,0.325,0.000,0.037,0.000,18.950,1.034,1541.254,True
24,Sweden,2020-03-04,89,10099265,0.006,0.005,0.295,0.000,0.038,0.000,25.704,0.876,481.638,True
25,Singapore,2020-02-05,117,5850342,0.027,0.001,0.120,0.000,0.006,0.000,4.345,2.165,978.655,True
26,UAE,2020-03-07,86,9890402,0.028,0.003,0.239,0.000,0.024,0.000,7.813,0.999,640.067,True
27,SA,2020-03-14,79,59308690,0.056,0.002,0.185,0.000,0.009,0.000,3.187,1.600,197.514,True
28,Portugal,2020-03-08,85,10196709,0.014,0.002,0.290,0.000,0.034,0.000,18.173,1.027,1535.532,True
29,Switzerland,2020-03-01,92,8654622,0.055,0.004,0.628,0.000,0.070,0.000,10.682,0.017,595.354,True
30,Colombia,2020-03-15,78,50882891,0.026,0.001,0.126,0.000,0.003,0.000,4.594,3.672,458.616,True
31,Kuwait,2020-02-26,96,4270571,0.030,0.001,0.121,0.000,0.004,0.000,3.940,2.672,182.051,True
32,Indonesia,2020-03-11,82,273523615,0.014,0.004,0.234,0.000,0.027,0.000,13.373,1.444,164.512,True
33,Ireland,2020-03-10,83,4937786,0.054,0.005,0.459,0.000,0.051,0.000,7.860,0.118,929.173,True
34,Egypt,2020-03-08,85,102334404,0.019,0.003,0.139,0.000,0.011,0.000,6.065,2.476,128.264,True
35,Poland,2020-03-11,82,37846611,0.021,0.003,0.314,0.000,0.039,0.000,13.306,0.542,240.609,True
36,Ukraine,2020-03-20,73,43733762,0.018,0.002,0.316,0.000,0.038,0.000,15.866,0.975,203.959,True
37,Romania,2020-03-11,82,19237691,0.033,0.004,0.327,0.000,0.040,0.000,8.873,0.335,263.907,True
38,Philippines,2020-03-10,83,109581078,0.009,0.003,0.273,0.000,0.038,0.000,22.771,0.937,127.317,True
39,DR,2020-03-19,74,10847910,0.032,0.002,0.280,0.000,0.032,0.000,8.165,0.772,360.935,True
40,Israel,2020-03-08,85,8655535,0.034,0.001,0.487,0.000,0.066,0.000,13.889,0.050,454.485,True
41,Argentina,2020-03-13,80,45195774,0.024,0.003,0.169,0.000,0.014,0.000,6.199,1.945,154.413,True
42,Japan,2020-02-06,108,126476461,0.029,0.002,0.194,0.000,0.021,0.000,6.245,0.664,904.193,True
43,Austria,2020-03-04,89,9006398,0.052,0.002,0.652,0.000,0.084,0.000,12.048,0.007,459.495,True
44,Afghanistan,2020-03-22,71,38928346,0.007,0.001,0.146,0.000,0.014,0.000,16.556,5.924,58.051,True
45,Panama,2020-03-13,80,4314767,0.032,0.002,0.288,0.000,0.035,0.000,8.592,0.540,490.866,True
46,Denmark,2020-03-08,85,5792202,0.062,0.004,0.429,0.000,0.051,0.000,6.484,0.082,191.728,True
47,Oman,2020-03-18,75,5106626,0.020,0.001,0.153,0.000,0.014,0.000,7.299,2.647,84.747,True
48,Serbia,2020-03-13,80,8737371,0.020,0.001,0.302,0.000,0.043,0.000,14.591,0.466,276.940,True
49,Bahrain,2020-02-26,96,1701575,0.042,0.001,0.126,0.000,0.006,0.000,2.903,1.683,92.406,True
50,Kazakhstan,2020-03-17,76,18776707,0.039,0.001,0.196,0.000,0.019,0.000,4.896,1.198,99.697,True
51,Nigeria,2020-03-22,71,206139589,0.021,0.002,0.178,0.000,0.018,0.000,7.568,2.163,45.877,True
