,date,infected,exposed,removed,succeptable,beta
0,2020-02-28,6.844787282727468e-07,2.6309670582867e-06,4.2779920517046676e-08,0.9999966417742929,6.64288499581285
1,2020-02-29,9.625482116335501e-07,6.8020132016754116e-06,1.405624982019065e-07,0.9999920948760885,1.4095343425431657
2,2020-03-01,1.7967566617159604e-06,7.187032037139214e-06,2.780692480712406e-07,0.9999907381420531,1.7500168155507592
3,2020-03-02,2.5667952310228003e-06,9.304639450301872e-06,5.347485144939976e-07,0.9999875938168041,1.592877461530296
4,2020-03-03,3.5293434426563507e-06,1.206394612040984e-05,9.014331808122218e-07,0.9999835052772561,-0.014719848861280672
5,2020-03-04,4.748571177392181e-06,1.0288576424354971e-05,1.40562459699978e-06,0.9999835572278013,3.7555346432957952
6,2020-03-05,5.539999706957544e-06,2.6651911594031966e-05,2.0839912296884948e-06,0.9999657240974693,0.12355510754858719
7,2020-03-06,8.555984103409335e-06,2.352897125736282e-05,2.875418967825329e-06,0.9999650396256714,1.9204254162927012
8,2020-03-07,1.0694980129261668e-05,3.65982479056012e-05,4.097701188886076e-06,0.9999486090707762,4.013066413215192
9,2020-03-08,1.4395443253986206e-05,7.428739186980017e-05,5.62555396521201e-06,0.999905691610911,3.640973857293838
10,2020-03-09,2.2951427357395543e-05,0.00011608340745498625,7.682043802146718e-06,0.9998532831213854,1.0414251907387748
11,2020-03-10,3.625598263819706e-05,0.00012339876787420635,1.0960815860142172e-05,0.9998293844336275,-1.574228150661786
12,2020-03-11,4.870493950865764e-05,4.870493950865764e-05,1.614023677188709e-05,0.9998864498842108,9.228235427157667
13,2020-03-12,4.870493950865764e-05,0.0004911567099079833,2.3098078315275395e-05,0.9994370402722681,-2.7844956146737716
14,2020-03-13,0.0001119122720725941,0.00028544919318691504,3.00559198586637e-05,0.9995725826148818,0.9180968371552584
15,2020-03-14,0.00013670323601222266,0.0003473731652683482,4.6043371310138275e-05,0.9994698802274093,1.3911308701434348
16,2020-03-15,0.000166798910095965,0.0004878197546767278,6.557238549713637e-05,0.9992798089497301,0.38961074549253916
17,2020-03-16,0.00021265898489023903,0.00048307113289063877,8.940077739671564e-05,0.9992148691048224,0.757412892563555
18,2020-03-17,0.00025128925311713215,0.0005750052353856067,0.00011978060200118051,0.9990539249094961,1.6392165755462687
19,2020-03-18,0.0002975343471960596,0.0009043895165457945,0.00015567903083373467,0.9986423971054245,-0.08270540633348845
20,2020-03-19,0.0003842278561238547,0.0007506168517810966,0.00019818389507112214,0.9986669713970239,1.3980200283431465
21,2020-03-20,0.0004365690888764613,0.0011798281711987127,0.00025307353391340766,0.9981305292060114,0.03429729883659868
22,2020-03-21,0.0005427488515997712,0.0010262266068009293,0.0003154404842430323,0.9981155840573562,1.3113256840348122
23,2020-03-22,0.000611817033274543,0.0015900022840423247,0.0003929759569360208,0.9974052047257471,0.16348845299129114
24,2020-03-23,0.000751557643643476,0.0014626248035847272,0.0004803783028585222,0.9973054392499133,1.389344130924771
25,2020-03-24,0.0008531385649112033,0.002295037227836924,0.0005877435731564983,0.9962640806340953,0.38868644827690685
26,2020-03-25,0.001059123882200783,0.0022975396497042764,0.0007096203891240182,0.995933716078971,0.43090622094657555
27,2020-03-26,0.0012360402434990296,0.0024238473144221604,0.0008609236495635754,0.9954791887925152,0.3685740111606498
28,2020-03-27,0.0014057267982298953,0.0025310965127210384,0.0010375006506291163,0.99502567603842,0.3048291309135063
29,2020-03-28,0.0015664937395329565,0.00259588660636726,0.0012383185638438444,0.994599301090256,0.42571884465152554
30,2020-03-29,0.0017135497163103047,0.0028883302884094952,0.001462103159992304,0.9939360168352879,0.35144177383678266
31,2020-03-30,0.0018813753444986787,0.003074273231054153,0.0017068957318152453,0.9933374556926319,0.34445617019464525
32,2020-03-31,0.002051789157878334,0.0032788254551448233,0.001975663369404293,0.9926937220175726,0.2978011663004122
33,2020-04-01,0.002227079882196933,0.0034169831713216164,0.002268775813131318,0.9920871611333502,0.24277254846728594
34,2020-04-02,0.002397065896371418,0.003465238799934459,0.0025869297638623254,0.9915507655398318,0.2620838456866812
35,2020-04-03,0.0025496618728557234,0.003593129347614743,0.002929367406620257,0.9909278413729092,0.17380474845918376
36,2020-04-04,0.0026987285058973727,0.0035189487421909424,0.003293604452790807,0.9904887182991209,0.20674879042459604
37,2020-04-05,0.002815902708193563,0.003568894232165886,0.003679136710957788,0.9899360663486828,0.23427172428915843
38,2020-04-06,0.002923472818333677,0.003712100051732409,0.0040814081241421956,0.9892830190057917,0.27465362820556344
39,2020-04-07,0.0030361337390153197,0.003976137872540518,0.0044990466805508895,0.9884886817078933,0.17034943882627893
40,2020-04-08,0.003170419909518329,0.0039193687269590835,0.004932779638105401,0.9879774317254172,0.21525329265078177
41,2020-04-09,0.003277412490731463,0.004033698071877654,0.005385696315119461,0.9873031931222714,0.197729451450123
42,2020-04-10,0.003385453179997264,0.004097268989296213,0.005853897631307886,0.9866633801993986,0.16308942680098962
43,2020-04-11,0.003487141051066284,0.004056713482402675,0.0063375333162427544,0.9861186121502883,-1.0111811099787074
44,2020-04-12,0.003568508459889707,0.0,0.0,0.0,0.0
