,date,infected,exposed,removed,succeptable,beta
0,2020-03-04,2.0333013558691753e-08,3.0499530504554555e-08,2.1785371670026877e-09,0.9999999469889188,0.035713894750126506
1,2020-03-05,2.1785371670026876e-08,2.6868630142958302e-08,5.083250484956716e-09,0.9999999462627477,0.6761908363371039
2,2020-03-06,2.251155072569444e-08,3.7761326144488675e-08,8.195443325621746e-09,0.9999999315316798,0.7880187958902586
3,2020-03-07,2.4690087892697128e-08,5.010638025735418e-08,1.1411375927642278e-08,0.9999999137921559,0.23109210815704131
4,2020-03-08,2.832098317103494e-08,4.86540170627606e-08,1.4938527813729313e-08,0.999999908086472,1.963371616359463
5,2020-03-09,3.122569939370519e-08,9.730805954181353e-08,1.898437850659385e-08,0.9999998524818625,-0.3920279182974844
6,2020-03-10,4.066602711738351e-08,7.116557795497196e-08,2.3445188244880394e-08,0.9999998647232067,0.9821434721475583
7,2020-03-11,4.502310145138888e-08,1.0093894465363437e-07,2.925461488078845e-08,0.999999824783339,0.2718890798973367
8,2020-03-12,5.3011071063732066e-08,9.87603973201148e-08,3.568648008482951e-08,0.9999998125420515,1.4442281885413264
9,2020-03-13,5.9546682564740135e-08,1.612118520233683e-07,4.325948266378108e-08,0.9999997359819828,-0.13763160950872447
10,2020-03-14,7.407026367809138e-08,1.2998610688033688e-07,5.176614309493216e-08,0.9999997441774864,0.015405680411366253
11,2020-03-15,8.205823329043457e-08,1.125577841280231e-07,6.234759875319326e-08,0.9999997430363838,1.302150423101909
12,2020-03-16,8.641530762443995e-08,2.0333025250186238e-07,7.407019178636487e-08,0.9999996361842481,-6.722696814778581e-07
13,2020-03-17,1.0311742590479389e-07,1.7428304452583363e-07,8.641522338766948e-08,0.9999996361843062,1.523140427383011
14,2020-03-18,1.1328393268413977e-07,3.0644775465553336e-07,1.0114626950015062e-07,0.9999994791220431,1.168499172748564
15,2020-03-19,1.4087873679950714e-07,3.9504166044607763e-07,1.1732967227160877e-07,0.9999993467499305,1.9572925672625996
16,2020-03-20,1.7718768958288527e-07,6.143479182549867e-07,1.3745518597457596e-07,0.9999990710092062,0.2740042217599398
17,2020-03-21,2.3963908837029567e-07,5.751341475837688e-07,1.627676877453182e-07,0.9999990224590763,1.3277075675862362
18,2020-03-22,2.875669060443548e-07,8.1114252875629e-07,1.9700180899263354e-07,0.9999987042887563,-0.5036094656649269
19,2020-03-23,3.6236334877811373e-07,5.504439122765758e-07,2.3808275448941194e-07,0.9999988491099845,1.4695131762191604
20,2020-03-24,3.8923197383781353e-07,1.0043062490625142e-06,2.8984889540580695e-07,0.9999983166128817,-0.07169602554357775
21,2020-03-25,4.770996395735886e-07,8.329277326787874e-07,3.4545340749235546e-07,0.9999983445192202,1.3148540473406112
22,2020-03-26,5.27932173470318e-07,1.3412535291393438e-06,4.136104307029196e-07,0.9999977172038667,0.005304852549484851
23,2020-03-27,6.44120822377128e-07,1.1524466696702694e-06,4.890292372083688e-07,0.9999977144032708,-0.12884615920337245
24,2020-03-28,7.167387279438843e-07,9.04819291442346e-07,5.810464055306982e-07,0.999997797395575,1.5653541965909634
25,2020-03-29,7.436073530035841e-07,1.897507026359014e-06,6.834375499885777e-07,0.9999966754480707,0.0325049918530435
26,2020-03-30,9.084499986401207e-07,1.6506057356881074e-06,7.896670656166108e-07,0.9999966512772,2.9222458305579737
27,2020-03-31,1.014472140767585e-06,4.069510482999363e-06,9.194455070723425e-07,0.9999939965718692,0.7226749448260246
28,2020-04-01,1.45090575322379e-06,4.221281620971408e-06,1.0643699536859773e-06,0.9999932634426721,-1.1369322641163053
29,2020-04-02,1.8466733385626117e-06,1.968671541912965e-06,1.2716419968742683e-06,0.9999949130131226,1.5132946772699905
30,2020-04-03,1.8641016358986331e-06,4.481979749458309e-06,1.5354522100013074e-06,0.9999921184664047,0.5195653945435731
31,2020-04-04,2.2380838495674278e-06,4.810212636870723e-06,1.8017521774008786e-06,0.9999911499513362,2.024771346321958
32,2020-04-05,2.6055304517352148e-06,8.654608034523593e-06,2.1214781218985326e-06,0.9999866183833919,-0.47560103627410216
33,2020-04-06,3.469683527979614e-06,6.179060294052059e-06,2.4936963856420703e-06,0.9999878575597924,0.4714521980000707
34,2020-04-07,3.856736964650425e-06,6.932108340773928e-06,2.989364965398654e-06,0.9999862217897292,0.6395710330068055
35,2020-04-08,4.2960752933293005e-06,8.40843139793081e-06,3.54032683795772e-06,0.9999837551664708,0.4920875172064471
36,2020-04-09,4.8835541493643586e-06,9.321238796233482e-06,4.154051266136863e-06,0.9999816411557882,0.3764698334840817
37,2020-04-10,5.517508464962141e-06,9.828111650007973e-06,4.851701161252607e-06,0.9999798026787238,0.2840840297868775
38,2020-04-11,6.133308304168233e-06,9.991501485123176e-06,5.639915868031704e-06,0.9999782352743427,-1.3963641697219202
39,2020-04-12,6.6844782074199136e-06,0.0,0.0,0.0,0.0
