,country,starting_date,num_days,population,gamma,beta0,alpha,mu,tl,R0,Rt,loss,convergence
34,Egypt,2020-03-08,85,102334404,0.023,0.141,0.000,0.011,0.000,6.249,2.424,170.108,False
35,Poland,2020-03-11,82,37846611,0.023,0.318,0.000,0.040,0.000,13.617,0.519,250.638,True
36,Ukraine,2020-03-20,73,43733762,0.020,0.318,0.000,0.039,0.000,16.086,0.957,217.823,True
37,Romania,2020-03-11,82,19237691,0.037,0.331,0.000,0.041,0.000,9.051,0.321,268.654,True
38,Philippines,2020-03-10,83,109581078,0.009,1.000,0.000,0.174,0.000,113.931,0.000,651.999,True
39,DR,2020-03-19,74,10847910,0.034,0.286,0.000,0.033,0.000,8.512,0.730,390.630,True
40,Israel,2020-03-08,85,8655535,0.035,0.488,0.000,0.067,0.000,14.039,0.048,545.427,True
41,Argentina,2020-03-13,80,45195774,0.027,0.171,0.000,0.015,0.000,6.361,1.904,196.334,True
42,Japan,2020-02-06,108,126476461,0.031,0.195,0.000,0.021,0.000,6.339,0.653,1082.563,True
43,Austria,2020-03-04,89,9006398,0.054,0.655,0.000,0.084,0.000,12.052,0.007,548.768,True
44,Afghanistan,2020-03-22,71,38928346,0.009,0.964,0.000,0.215,0.000,108.506,0.000,385.787,True
45,Panama,2020-03-13,80,4314767,0.033,0.292,0.000,0.036,0.000,8.848,0.517,572.976,True
46,Denmark,2020-03-08,85,5792202,0.087,0.420,0.000,0.044,0.000,4.850,0.117,311.425,True
47,Oman,2020-03-18,75,5106626,0.020,0.153,0.000,0.014,0.000,7.614,2.684,101.302,True
48,Serbia,2020-03-13,80,8737371,0.020,0.305,0.000,0.044,0.000,14.857,0.452,318.321,True
49,Bahrain,2020-02-26,96,1701575,0.042,0.126,0.000,0.006,0.000,2.960,1.693,109.206,True
50,Kazakhstan,2020-03-17,76,18776707,0.039,0.196,0.000,0.019,0.000,5.010,1.194,117.563,True
51,Nigeria,2020-03-22,71,206139589,0.023,0.179,0.000,0.018,0.000,7.674,2.138,52.438,True
