,country,starting_date,num_days,population,gamma,beta0,alpha,mu,tl,R0,Rt,loss,convergence
0,US,2020-02-21,101,331002651,0.011,0.455,0.000,0.038,0.000,43.082,0.904,6774.485,True
1,Brazil,2020-03-10,83,212559417,0.056,0.284,0.000,0.015,0.000,5.048,1.498,4694.734,True
2,Russia,2020-03-13,80,145934462,0.025,0.318,0.000,0.026,0.000,12.914,1.650,4806.244,True
3,UK,2020-03-01,92,67886011,0.005,0.476,0.000,0.050,0.000,87.175,0.854,3310.894,True
4,Spain,2020-02-28,94,46754778,0.001,0.312,0.000,0.941,0.000,311.770,0.000,41115.560,True
5,Italy,2020-02-22,100,60461826,0.029,0.484,0.000,0.050,0.000,16.732,0.115,2095.383,False
6,India,2020-03-05,88,1380004385,0.045,0.232,0.000,0.013,0.000,5.191,1.644,994.291,True
7,France,2020-02-28,94,65273511,0.020,0.530,0.000,0.057,0.000,26.895,0.121,4669.804,True
8,Germany,2020-02-27,95,83783942,0.001,0.166,0.000,1.000,0.000,165.960,0.000,26867.157,True
9,Peru,2020-03-13,80,32971854,0.037,0.284,0.000,0.021,0.000,7.670,1.415,942.424,False
10,Turkey,2020-03-17,76,84339067,0.043,0.680,0.000,0.071,0.000,15.844,0.072,4144.805,True
11,Iran,2020-02-23,98,83992949,0.077,0.466,0.000,0.037,0.000,6.095,0.158,4274.198,True
12,Chile,2020-03-13,80,19116201,0.049,0.202,0.000,0.010,0.000,4.147,1.848,1037.926,True
13,Canada,2020-03-04,89,37742154,0.036,0.359,0.000,0.033,0.000,9.914,0.508,915.225,True
14,Mexico,2020-03-15,78,128932753,0.001,0.197,0.000,0.986,0.000,197.300,0.000,6386.619,True
15,SaudiArabia,2020-03-12,81,34813871,0.055,0.258,0.000,0.018,0.000,4.680,1.127,2025.843,True
16,China,2020-03-11,82,1439323776,0.095,0.100,0.000,1.000,0.000,1.047,0.000,436.470,True
17,Pakistan,2020-03-13,80,220892340,0.025,0.251,0.000,0.022,0.000,9.905,1.698,325.805,True
18,Belgium,2020-03-05,88,11589623,0.018,0.421,0.000,0.053,0.000,22.994,0.212,1622.349,True
19,Qatar,2020-03-11,82,2881053,0.021,0.100,0.000,0.004,0.000,4.847,3.478,1438.649,True
20,Bangladesh,2020-03-24,65,164689383,0.018,0.269,0.000,0.027,0.000,15.343,2.619,194.911,True
21,Netherlands,2020-03-04,89,17134872,0.003,0.686,0.000,0.097,0.000,209.570,0.037,778.880,True
22,Belarus,2020-03-16,77,9449323,0.026,0.262,0.000,0.026,0.000,10.040,1.322,268.767,True
23,Ecuador,2020-03-14,79,17643054,0.017,0.321,0.000,0.036,0.000,18.582,1.062,1697.079,True
24,Sweden,2020-03-04,89,10099265,0.011,0.303,0.000,0.039,0.000,26.843,0.804,529.098,True
25,Singapore,2020-02-05,117,5850342,0.003,0.228,0.000,0.032,0.000,73.492,1.657,2497.767,True
26,UAE,2020-03-07,86,9890402,0.032,0.209,0.000,0.019,0.000,6.594,1.312,563.542,True
27,SA,2020-03-14,79,59308690,0.058,0.185,0.000,0.009,0.000,3.191,1.599,240.393,True
28,Portugal,2020-03-08,85,10196709,0.015,0.302,0.000,0.036,0.000,19.727,0.937,1726.589,True
29,Switzerland,2020-03-01,92,8654622,0.059,0.632,0.000,0.071,0.000,10.708,0.016,680.563,True
30,Colombia,2020-03-15,78,50882891,0.020,0.198,0.000,0.020,0.000,9.889,2.089,189.838,True
31,Kuwait,2020-02-26,96,4270571,0.030,0.121,0.000,0.004,0.000,3.985,2.689,220.755,True
32,Indonesia,2020-03-11,82,273523615,0.017,0.240,0.000,0.028,0.000,13.981,1.367,162.357,True
33,Ireland,2020-03-10,83,4937786,0.058,0.465,0.000,0.052,0.000,7.999,0.111,1068.424,True
