,country,starting_date,num_days,population,gamma,delta,beta0,alpha,mu,tl,R0,Rt,loss,convergence
0,US,2020-02-21,101,331002651,0.008,0.003,0.347,0.963,0.028,6.792,32.256,1.493,7419.367,True
1,Brazil,2020-03-10,83,212559417,0.045,0.007,0.453,0.761,0.100,6.060,8.769,2.092,1975.142,True
2,Russia,2020-03-13,80,145934462,0.025,0.001,0.186,1.000,0.038,40.168,7.247,0.688,2955.717,True
3,UK,2020-03-01,92,67886011,0.001,0.006,0.471,0.955,0.046,1.894,71.303,3.257,3059.955,True
4,Spain,2020-02-28,94,46754778,0.033,0.007,0.417,0.952,0.051,9.407,10.474,0.511,3528.883,True
5,Italy,2020-02-22,100,60461826,0.023,0.007,0.407,0.998,0.029,0.120,13.904,0.109,3751.481,True
6,India,2020-03-05,88,1380004385,0.042,0.003,0.220,1.000,0.009,0.000,4.856,1.588,889.939,True
7,France,2020-02-28,94,65273511,0.014,0.006,0.314,0.953,0.057,14.654,15.491,0.733,3490.188,True
8,Germany,2020-02-27,95,83783942,0.060,0.003,0.351,0.956,0.058,18.000,5.593,0.249,1479.791,True
9,Peru,2020-03-13,80,32971854,0.034,0.003,0.262,0.805,0.024,5.512,7.075,1.673,756.954,True
10,Turkey,2020-03-17,76,84339067,0.041,0.002,0.453,1.000,0.046,5.877,10.497,0.033,3395.181,True
11,Iran,2020-02-23,98,83992949,0.073,0.006,0.393,0.819,0.066,11.035,4.962,0.898,2176.764,True
12,Chile,2020-03-13,80,19116201,0.044,0.001,0.377,0.730,0.100,2.929,8.370,2.257,491.209,True
13,Canada,2020-03-04,89,37742154,0.031,0.005,0.325,0.887,0.037,6.063,9.012,1.050,443.082,True
14,Mexico,2020-03-15,78,128932753,0.100,0.017,0.370,0.630,0.039,2.577,3.151,1.175,962.988,True
15,SaudiArabia,2020-03-12,81,34813871,0.057,0.001,0.176,1.000,0.035,45.076,3.049,0.459,1295.078,True
16,China,2020-03-11,82,1439323776,0.100,0.006,0.100,1.000,0.100,0.000,0.944,0.000,948.062,True
17,Pakistan,2020-03-13,80,220892340,0.023,0.001,0.394,0.835,0.100,5.845,16.599,2.742,432.576,True
18,Belgium,2020-03-05,88,11589623,0.011,0.007,0.421,0.947,0.053,2.289,22.593,1.199,1104.845,True
19,Qatar,2020-03-11,82,2881053,0.023,0.001,0.100,0.113,0.100,0.000,4.111,3.645,1165.597,True
20,Bangladesh,2020-03-24,65,164689383,0.016,0.001,0.199,0.666,0.100,23.071,11.365,3.795,138.703,True
21,Netherlands,2020-03-04,89,17134872,0.001,0.004,0.428,0.971,0.056,2.776,82.948,2.421,686.745,True
22,Belarus,2020-03-16,77,9449323,0.027,0.001,0.168,0.787,0.054,32.500,6.100,1.379,170.609,True
23,Ecuador,2020-03-14,79,17643054,0.013,0.004,0.171,1.000,0.050,34.242,9.714,0.221,1501.928,True
24,Sweden,2020-03-04,89,10099265,0.067,0.064,0.212,0.898,0.003,2.705,1.619,1.247,1798.805,True
25,Singapore,2020-02-05,117,5850342,0.033,0.002,0.100,1.000,0.085,95.079,2.881,0.138,832.898,False
26,UAE,2020-03-07,86,9890402,0.099,0.026,0.292,0.474,0.100,11.109,2.344,1.232,1764.610,True
27,SA,2020-03-14,79,59308690,0.056,0.002,0.187,0.576,0.016,0.935,3.231,1.671,197.067,True
28,Portugal,2020-03-08,85,10196709,0.015,0.002,0.155,1.000,0.039,34.867,8.953,0.342,1507.037,True
29,Switzerland,2020-03-01,92,8654622,0.055,0.004,0.341,1.000,0.064,14.662,5.787,0.001,411.096,True
30,Colombia,2020-03-15,78,50882891,0.017,0.002,0.262,0.759,0.087,7.258,13.557,3.267,67.740,True
31,Kuwait,2020-02-26,96,4270571,0.030,0.001,0.105,1.000,0.045,78.763,3.355,1.175,115.549,True
32,Indonesia,2020-03-11,82,273523615,0.013,0.004,0.280,0.858,0.037,0.000,16.345,2.384,132.538,True
33,Ireland,2020-03-10,83,4937786,0.056,0.005,0.237,0.976,0.100,28.734,3.896,0.095,744.323,True
34,Egypt,2020-03-08,85,102334404,0.019,0.003,0.269,0.742,0.100,2.496,12.282,3.174,88.346,True
35,Poland,2020-03-11,82,37846611,0.021,0.003,0.208,0.853,0.065,19.790,8.726,1.283,210.133,True
36,Ukraine,2020-03-20,73,43733762,0.019,0.002,0.195,0.938,0.040,20.507,9.584,0.866,186.237,True
37,Romania,2020-03-11,82,19237691,0.033,0.004,0.229,0.985,0.030,10.531,6.152,0.265,252.047,True
38,Philippines,2020-03-10,83,109581078,0.009,0.003,0.221,0.871,0.059,12.205,18.587,2.414,99.581,True
39,DR,2020-03-19,74,10847910,0.032,0.002,0.225,1.000,0.022,5.761,6.494,0.631,354.619,True
40,Israel,2020-03-08,85,8655535,0.035,0.001,0.247,1.000,0.067,18.770,6.959,0.002,348.505,True
41,Argentina,2020-03-13,80,45195774,0.080,0.008,0.184,0.359,0.100,26.803,2.105,1.349,593.488,True
42,Japan,2020-02-06,108,126476461,0.030,0.002,0.111,1.000,0.100,65.382,3.419,0.001,591.462,True
43,Austria,2020-03-04,89,9006398,0.053,0.002,0.318,1.000,0.100,16.956,5.774,0.000,269.300,True
44,Afghanistan,2020-03-22,71,38928346,0.007,0.001,0.330,0.802,0.100,0.120,39.389,7.807,45.369,True
45,Panama,2020-03-13,80,4314767,0.034,0.002,0.159,0.896,0.100,38.392,4.433,0.464,457.207,True
46,Denmark,2020-03-08,85,5792202,0.063,0.004,0.384,0.930,0.044,2.214,5.746,0.413,181.521,False
47,Oman,2020-03-18,75,5106626,0.019,0.001,0.259,0.731,0.100,3.509,13.096,3.518,63.433,True
48,Serbia,2020-03-13,80,8737371,0.020,0.001,0.162,1.000,0.050,27.429,7.553,0.080,237.952,True
49,Bahrain,2020-02-26,96,1701575,0.043,0.001,0.252,0.654,0.100,0.000,5.702,1.972,110.644,False
50,Kazakhstan,2020-03-17,76,18776707,0.039,0.001,0.147,0.572,0.100,32.358,3.633,1.557,88.203,True
51,Nigeria,2020-03-22,71,206139589,0.022,0.002,0.128,0.583,0.100,39.063,5.292,2.219,31.584,True
