,date,infected,exposed,recovered,succeptable,beta
0,2020-02-22,3.342897602151489e-07,1.5878776146098118e-06,2.984730001920972e-08,0.9999980479853252,-4.071440411800896
1,2020-02-23,5.133735603304073e-07,2.0176789856040023e-06,1.0318630672733072e-07,0.9999973657611473,-3.3687827113905366
2,2020-02-24,7.282741204687172e-07,3.569739923763285e-06,2.0722536275513026e-07,0.999995494760593,-4.201428125164767
3,2020-02-25,1.1341974007299694e-06,4.811388440287647e-06,3.692534008312115e-07,0.9999936851607582,-3.6361165720211757
4,2020-02-26,1.6595098810680605e-06,1.051819738545701e-05,6.063260039109514e-07,0.9999872159667296,-5.432757359030986
5,2020-02-27,2.9250354018825528e-06,1.4875906280445003e-05,1.0241877863176874e-06,0.9999811748705314,-4.359269965866398
6,2020-02-28,4.632300962981349e-06,2.176466830637507e-05,1.685944404986314e-06,0.9999719170863257,-4.0273628913252235
7,2020-02-29,7.079779564556546e-06,3.925520116068622e-05,2.697340474240168e-06,0.9999509676788005,-4.75282746712536
8,2020-03-01,1.1676263767514843e-05,5.538469362407541e-05,4.365376487276037e-06,0.9999285736661211,-4.066026121752073
9,2020-03-02,1.7920318931533518e-05,8.770337615950307e-05,6.92541948887812e-06,0.9998874508854201,-4.195393898731936
10,2020-03-03,2.7889317137949565e-05,7.68628159829677e-05,1.0909603667254181e-05,0.9998843382632119,-2.3625549995107766
11,2020-03-04,3.488552426245232e-05,8.427688572560204e-05,1.5893245006815334e-05,0.9998649443450052,-2.070976474293023
12,2020-03-05,4.19414259869935e-05,0.0001450699201418611,2.1884871299039265e-05,0.9997911037825721,-2.965365254042772
13,2020-03-06,5.667405327647542e-05,0.0001465980886983859,2.9981156527956717e-05,0.9997667467014972,-2.217678720313552
14,2020-03-07,6.952033120474329e-05,0.00013161471625909224,3.991262248287273e-05,0.9997589523300533,-1.6231198925800516
15,2020-03-08,7.839094877045242e-05,0.0001281166003281073,5.111131825137325e-05,0.99974238113265,-1.4012146349781305
16,2020-03-09,8.549460617502432e-05,0.00023918447712380995,6.332482120571871e-05,0.9996119960954954,-2.398921839219645
17,2020-03-11,0.000107450280069155,0.00019729074296743912,7.867484586555798e-05,0.9996165841310979,-1.5744141581510729
18,2020-03-12,0.00012028461907741517,0.00022800960203172988,9.585834569310027e-05,0.9995558474331978,-1.625508549279288
19,2020-03-13,0.00013567388696731971,0.000249750381717234,0.00011524031016359067,0.9994993354211519,-1.5786311432083995
20,2020-03-14,0.00015197051277780822,0.0002530096938420181,0.00013695036170749002,0.9994580694316727,-1.4277972338537002
21,2020-03-15,0.00016640466706709805,0.0002544065344456033,0.00016072243323069445,0.9994184663652566,-1.3111991906762666
22,2020-03-16,0.00017897634983518918,0.0002774247826669833,0.00018629045763910007,0.9993573084098587,-1.329480885982436
23,2020-03-17,0.0001930403976042408,0.0002926588457668034,0.0002138676297196491,0.9993004331269093,-1.3003811310468818
24,2020-03-18,0.0002072715902534,0.00029468844996652116,0.00024347782728847907,0.9992545621324916,-1.2195524359169125
25,2020-03-19,0.00021975970058143735,0.00032313891230718373,0.0002748720388344415,0.9991822293482769,-1.261391166858196
26,2020-03-20,0.0002345281446309423,0.0003152592024539587,0.000308376025991984,0.9991418366269231,-1.153184889513836
27,2020-03-21,0.00024606114135836496,0.00033197369564621256,0.00034352758246301596,0.9990784375805324,-1.1574822392462918
28,2020-03-22,0.000258334351126264,0.0003762551819629883,0.00038043245286186063,0.9989849780140488,-1.249668020468307
29,2020-03-23,0.00027518016725710593,0.00042243495388666585,0.000419743866015709,0.9988826410128405,-1.3172904181548524
30,2020-03-24,0.000296216544310645,0.00048057753143028676,0.0004620604728862948,0.9987611454513727,-1.3923415874003195
31,2020-03-25,0.00032255380184759565,0.000522208560790852,0.0005081395413568368,0.9986470980960047,-1.389578418112974
32,2020-03-26,0.0003510758817459524,0.0005956090858765383,0.0005582931885954183,0.9984950218437821,-1.4563564973605692
33,2020-03-27,0.0003860091616884355,0.0006430782443629675,0.0006134372994067432,0.9983574752945419,-1.4303206659933059
34,2020-03-28,0.00042273327963207114,0.0006651771706719988,0.000673827707535142,0.9982382618421608,-1.3511076943604274
35,2020-03-29,0.0004573680865743621,0.0007236301468477883,0.0007391659402788957,0.998079835826299,-1.3587476148790463
36,2020-03-30,0.0004954054857188429,0.0007553160341966699,0.0008099380817522324,0.9979393403983322,-1.3095347640917367
37,2020-03-31,0.0005325355269427399,0.0007822502275381565,0.0008860145095246914,0.9977991997359944,-1.2618485805794413
38,2020-04-01,0.0005682090199256993,0.0008084800253513429,0.000967187145484217,0.9976561238092387,-1.2224569698403451
39,2020-04-02,0.0006025334149477905,0.000829432816593225,0.0010532632615434135,0.9975147705069156,-1.1828618502528518
40,2020-04-03,0.0006349475827686523,0.000848893243252008,0.0011439699683749949,0.9973721892056043,-1.1489767251204137
41,2020-04-04,0.0006655112179883231,0.0008730217941524528,0.0012390429044431528,0.9972224240834161,-1.1275373896492107
42,2020-04-05,0.0006951555563674022,0.0008851994750936327,0.0013383507417591308,0.9970812942267798,-1.09466659002126
43,2020-04-06,0.0007223046604648753,0.0008968876623202389,0.0014415370186391615,0.9969392706585757,-1.0675843822649744
44,2020-04-07,0.000747245064360927,0.0009141393940426692,0.0015482862067985705,0.9967903293347978,-1.0519590557766993
45,2020-04-08,0.0007710870876162716,0.0009076445912216641,0.0016584413948741682,0.9966628269262879,-1.012319064216228
46,2020-04-09,0.0007905952829088272,0.0009554002994999114,0.0017713834652046746,0.9964826209523866,-1.0394765784109263
