,date,infected,exposed,removed,succeptable,beta
0,2020-02-21,1.0587294690387317e-07,1.0587294690387316e-07,1.512470670055331e-08,0.9999997731293995,0.14285703241006073
1,2020-02-22,1.0587294690387317e-07,1.0587294690387316e-07,3.024939827639992e-08,0.9999997580047079,3.7428615057584613
2,2020-02-23,1.0587294690387317e-07,4.870159369008064e-07,4.537408985224653e-08,0.9999993617370263,-2.42857672150277
3,2020-02-24,1.6032189102586508e-07,1.6032189102586508e-07,6.049878142809314e-08,0.9999996188574365,0.9353109791291263
4,2020-02-25,1.6032189102586508e-07,2.8736955435817623e-07,8.340188581437516e-08,0.9999994689066688,-0.2911060791334598
5,2020-02-26,1.7847153906652905e-07,1.9964614962191422e-07,1.0630499020065717e-07,0.9999995155773211,0.2953996346238256
6,2020-02-27,1.814964804066397e-07,2.2384570151741024e-07,1.3180089885708432e-07,0.9999994628569192,0.9095248552123485
7,2020-02-28,1.8754636308686106e-07,3.569432475299425e-07,1.5772894155853564e-07,0.9999992977814478,0.17511496167842658
8,2020-02-29,2.1174589380774635e-07,3.3879355714005744e-07,1.8452125235003536e-07,0.9999992649392967,2.2142890990673743
9,2020-03-01,2.2989554184841031e-07,7.592608057330401e-07,2.1477063550172857e-07,0.9999987960730169,0.4323308362838627
10,2020-03-02,3.055190753511769e-07,7.501858970142654e-07,2.476128229235669e-07,0.9999986966822048,1.2517702156135073
11,2020-03-03,3.6904284349350074e-07,1.0254557707104415e-06,2.9125836147101e-07,0.9999983142430243,2.7740113402455164
12,2020-03-04,4.6281602503693126e-07,1.902689542803124e-06,3.4397871496396106e-07,0.9999972905157172,0.5284788436693235
13,2020-03-05,6.685120361644563e-07,1.875464837821412e-06,4.1009522385266194e-07,0.9999970459279022,3.2559913876666764
14,2020-03-06,8.40933692550764e-07,3.7842045597493055e-06,5.055968478030076e-07,0.9999948692648999,0.6644426644745043
15,2020-03-07,1.2614005388261461e-06,3.8023538054723677e-06,6.257301123197321e-07,0.9999943105155433,-0.15450686227869237
16,2020-03-08,1.6243934996394255e-06,3.064267017405619e-06,8.059300090948189e-07,0.9999945054094739,4.124261415321373
17,2020-03-09,1.8300895107669506e-06,9.325901647373308e-06,1.0379859912728083e-06,0.9999878060228505,0.9428681270640897
18,2020-03-10,2.900918745166125e-06,9.719143344000152e-06,1.2994270885124427e-06,0.9999860805108223,1.252363921317584
19,2020-03-11,3.874949856681758e-06,1.1963651088838902e-05,1.7138436376906398e-06,0.9999824475554168,1.471533053827467
20,2020-03-12,5.030477448604031e-06,1.5956576495182786e-05,2.2674073493666255e-06,0.9999767455387069,0.8939302334464205
21,2020-03-13,6.591347180101133e-06,1.8173859153896834e-05,2.9860462662418514e-06,0.9999722487473998,1.3709820506002572
22,2020-03-14,8.245990093141665e-06,2.4613964052454416e-05,3.927666350349559e-06,0.999963212379504,1.6344807823647152
23,2020-03-15,1.0584269749047207e-05,3.457510350829862e-05,5.1056637570854985e-06,0.9999497349629856,2.1029525855281603
24,2020-03-16,1.4011528287392586e-05,5.1892906570976686e-05,6.617700780625135e-06,0.999927477864361,0.2745688449608632
25,2020-03-17,1.942314834485056e-05,4.8326491752951345e-05,8.619345677177178e-06,0.999923631014225,5.505842761880746
26,2020-03-18,2.3552193274101616e-05,0.0001483553478875419,1.1394078380277495e-05,0.9998166983804581,1.2318314081738435
27,2020-03-19,4.1381197532713855e-05,0.00015616876135345696,1.475867405483583e-05,0.999787691367059,1.4433101336346368
28,2020-03-20,5.777940453745376e-05,0.00019357218202913892,2.067026779076673e-05,0.9997279781456426,1.518748560474372
29,2020-03-21,7.717835335158342e-05,0.00025364755772016364,2.8924460184773764e-05,0.9996402496287434,1.204002313792368
30,2020-03-22,0.00010238821448006569,0.0003103017155233928,3.9949928209520916e-05,0.999547360141787,0.7759192075285578
31,2020-03-23,0.00013209011349861227,0.00034538196562300735,5.457680136549966e-05,0.9994679511195129,0.9196994923515024
32,2020-03-24,0.00016256034761754699,0.00041746030948327373,7.344679870957091e-05,0.9993465325441896,1.3759117171772177
33,2020-03-25,0.00019897459146979912,0.0005813457088789447,9.666968228917082e-05,0.999123010017362,0.6672799298977863
34,2020-03-26,0.00025359898218951744,0.0006309517168970369,0.00012509459550277192,0.9989903547054106,0.7346457031530019
35,2020-03-27,0.00030750646181162955,0.0007269331476926995,0.0001613229853014198,0.9988042374051943,0.5081024940740917
36,2020-03-28,0.00036742449987654157,0.0007791436275154513,0.0002052524359164438,0.9986481794366916,0.5489340155942607
37,2020-03-29,0.0004262414592936533,0.0008692566613334218,0.0002577415976953069,0.9984467602816777,0.7101199758566983
38,2020-03-30,0.0004895292820114485,0.0010472896986508495,0.0003186331738456203,0.9981445478454921,0.41981908361739734
39,2020-03-31,0.0005692092618513034,0.0011028094478470103,0.0003885658584859298,0.9979394154318157,0.5989358489367392
40,2020-04-01,0.0006454377836220921,0.0012854827368797203,0.00046988138600622146,0.997599198093492,0.48508796458168946
41,2020-04-02,0.0007368726855096171,0.0014141849533447234,0.0005620866914611227,0.9972868556696846,0.44346209934858516
42,2020-04-03,0.0008336314841557369,0.001538047253501736,0.0006673541126949701,0.9969609671496475,0.2568434684620858
43,2020-04-04,0.0009342622077171983,0.0015317885429796134,0.0007864442056270062,0.9967475050436762,0.35794177324812315
44,2020-04-05,0.0010196230273937811,0.0016462856267804057,0.000919910101834862,0.996414181243991,0.3187906739682091
45,2020-04-06,0.0011091461663543562,0.0017349829559293198,0.0010655703886592554,0.9960903004890571,0.367994698724651
