,date,infected,exposed,recovered,succeptable,beta
0,2020-02-26,3.224786925786975e-07,0.0,1.791548292103875e-07,0.0,0.0
1,2020-02-27,5.494081429118551e-07,2.1379142952439584e-06,1.9109848449108002e-07,0.9999972341906843,4.447217269099053
2,2020-02-28,5.732954534732401e-07,7.40506627402935e-07,1.9109848449108002e-07,0.999998525811691,-2.2529795117922484
3,2020-02-29,9.435487671747076e-07,3.5353219630849803e-06,1.9109848449108002e-07,0.9999952259503606,3.4973042189079235
4,2020-03-01,1.552675186490025e-06,5.816560121697248e-06,1.9109848449108002e-07,0.9999921137750418,2.0044114116349054
5,2020-03-02,1.8990411896301076e-06,4.323603211610686e-06,1.9109848449108002e-07,0.9999929890743502,-0.4609196735220789
6,2020-03-03,2.34095643501573e-06,5.434363152715087e-06,1.9109848449108002e-07,0.9999911019768158,0.8061296219396569
7,2020-03-04,3.1292376835414354e-06,8.647206423221373e-06,1.9109848449108002e-07,0.9999866538183421,1.421502068680453
8,2020-03-05,5.7568418452937855e-06,2.415007097756024e-05,1.9109848449108002e-07,0.9999677009436481,3.292341075728074
9,2020-03-06,8.002249038063975e-06,2.3720099387455304e-05,2.030421397717725e-07,0.9999647423296114,0.3697358505236818
10,2020-03-07,9.542980569273309e-06,2.0328101287738646e-05,2.1498579505246502e-07,0.9999652303132415,-0.051137125777967314
11,2020-03-08,1.24214014919202e-05,3.2570347950448444e-05,2.1498579505246502e-07,0.9999483351597287,1.3602351114946005
12,2020-03-09,1.4045738610094382e-05,2.541609843731365e-05,2.1498579505246502e-07,0.9999518585380365,-0.2508624170195603
13,2020-03-10,1.7401905743968974e-05,4.0895075681091115e-05,2.1498579505246502e-07,0.999930537407124,1.2253032713852932
14,2020-03-11,2.2788494275561292e-05,6.049461399670752e-05,2.985913820173125e-07,0.9999022957810946,1.2394142975631968
15,2020-03-12,2.4818915673279017e-05,3.903186545730309e-05,2.985913820173125e-07,0.9999181825488543,-0.6401596222068915
16,2020-03-13,4.389293315654494e-05,0.00017741105553940642,5.494081429118551e-07,0.9997544589222666,3.730984137076909
17,2020-03-14,5.476165946197512e-05,0.00013084274359998637,5.494081429118551e-07,0.9997823354136918,-0.5091620806430687
18,2020-03-15,6.921348235161304e-05,0.00017037624257907848,5.494081429118551e-07,0.9997184624514871,0.9230997738491115
19,2020-03-16,8.685426120119586e-05,0.00021033971314827566,8.002249038063976e-07,0.9996484504504681,0.8063694445544213
20,2020-03-17,0.00011056241693337048,0.0002765195070585928,8.002249038063976e-07,0.9995427678698351,0.9563007678494523
21,2020-03-18,0.00014722943864509645,0.00040389859062717827,1.2540838044727127e-06,0.9993576889876055,1.2578859129261024
22,2020-03-19,0.00018297679890020912,0.0004332083206859978,1.3496330467182526e-06,0.9992664923545915,0.49877129828981226
23,2020-03-20,0.00023705767001118476,0.0006156237677880142,2.14985795052465e-06,0.9989961306549484,1.1416351986608158
24,2020-03-21,0.0002653044147500225,0.0004630316279218869,2.782871680401353e-06,0.9990825754193972,-0.3261315644015995
25,2020-03-22,0.00029707453779666455,0.0005194653991231588,3.177012304664205e-06,0.998951932305464,0.44022682450437517
26,2020-03-23,0.0003470348478358013,0.0006967570181097587,5.410475842153703e-06,0.9986751039696046,0.7987543410308989
27,2020-03-24,0.0003939734130889228,0.0007225433698607733,3.873327407528578e-05,0.9985460971364448,0.3279273813096387
28,2020-03-25,0.0004457730460412862,0.0008083704767078299,4.23641452806163e-05,0.9983447885329252,0.4523431061251767
29,2020-03-26,0.0005247803257230671,0.0010778312834955335,6.775635640736856e-05,0.9979213518284953,0.808564446778268
30,2020-03-27,0.0006075856877841082,0.001187223222211396,7.952085685885068e-05,0.9976423565723207,0.46027183915692393
31,2020-03-28,0.0006890891914195539,0.0012596137168676734,0.0001012941404355531,0.997390021260969,0.3671449613534468
32,2020-03-29,0.0007416412746546008,0.0011095058572999298,0.00011001300879045863,0.9973816282837796,0.011346470461234506
33,2020-03-30,0.0007988513834491179,0.0011993221450107372,0.00016123934628934876,0.9971204802610673,0.327848434166438
34,2020-03-31,0.0008576499983959671,0.0012692403030239113,0.00019229285001914927,0.996869242059765,0.29385791179253
35,2020-04-01,0.0009300763240180864,0.0014370606033729217,0.00022334635374894976,0.9964961273875056,0.4025762249328204
36,2020-04-02,0.0010127503058710398,0.001591468178841714,0.0002680156244987397,0.9961143672150594,0.37842431290266393
37,2020-04-03,0.0010887716717326477,0.0016209212327639025,0.0002935153285230182,0.9958533539850281,0.2407300566604189
38,2020-04-04,0.0011476897232323038,0.001560116083729897,0.000315312499410282,0.9956912854078149,0.14182396425497018
39,2020-04-05,0.0011958345976687752,0.0015328487187240745,0.0003427829065558748,0.9954995743844316,0.16104041929829738
40,2020-04-06,0.0012346634209863066,0.0015064651842090265,0.0003427829065558748,0.9953107486069168,0.1536575859438552
41,2020-04-07,0.0012858897584851967,0.0016444741209774272,0.00043093902618266614,0.9949378147957231,0.29149565432225427
42,2020-04-08,0.0013531683686813375,0.0018241186400543234,0.0005529912394960628,0.9944975818994956,0.3271349334149741
43,2020-04-09,0.0014115131247275205,0.0018199264170508014,0.0006259311422952519,0.994241784634349,0.18227158287400794
44,2020-04-10,0.0014591683092974835,0.0017927546012872244,0.0006439182871479748,0.9940128486499287,0.15783985521418095
45,2020-04-11,0.0014918580938007389,0.0017206865853235263,0.0006855658131117495,0.9938391042965604,0.11718367220544977
