,country,starting_date,num_days,population,gamma,beta0,alpha,mu,tl,R0,Rt,loss,convergence
0,US,2020-02-21,101,331002651,0.011,0.245,0.100,0.100,32.557,22.113,2.233,6606.062,True
1,Brazil,2020-03-10,83,212559417,0.052,0.468,0.226,0.100,2.829,9.036,2.048,2482.040,True
2,Russia,2020-03-13,80,145934462,0.025,0.189,0.100,0.069,40.598,7.492,1.195,3637.611,False
3,UK,2020-03-01,92,67886011,0.006,0.263,0.100,0.100,21.087,41.565,4.188,3680.283,True
4,Spain,2020-02-28,94,46754778,0.047,0.350,0.100,0.100,17.482,7.362,0.739,5693.893,True
5,Italy,2020-02-22,100,60461826,0.034,0.260,0.100,0.100,23.841,7.566,0.760,4952.910,True
6,India,2020-03-05,88,1380004385,0.045,0.180,0.295,0.033,34.347,3.980,1.643,952.454,True
7,France,2020-02-28,94,65273511,0.025,0.281,0.100,0.100,19.330,11.282,1.134,6196.568,True
8,Germany,2020-02-27,95,83783942,0.073,0.350,0.100,0.100,20.103,4.800,0.482,3208.305,True
9,Peru,2020-03-13,80,32971854,0.037,0.279,0.152,0.034,5.116,7.583,1.653,895.787,True
10,Turkey,2020-03-17,76,84339067,0.057,0.363,0.100,0.100,15.142,6.359,0.649,5840.056,True
11,Iran,2020-02-23,98,83992949,0.079,0.704,0.100,0.092,0.101,8.938,0.895,2683.494,True
12,Chile,2020-03-13,80,19116201,0.046,0.347,0.292,0.100,1.393,7.602,2.219,680.909,True
13,Canada,2020-03-04,89,37742154,0.036,0.315,0.107,0.060,9.529,8.765,1.009,542.012,True
14,Mexico,2020-03-15,78,128932753,0.167,0.316,0.625,0.099,22.555,1.885,1.181,486.579,True
15,SaudiArabia,2020-03-12,81,34813871,0.058,0.174,0.100,0.073,49.089,3.017,0.568,1559.214,True
16,China,2020-03-11,82,1439323776,0.187,0.100,1.000,0.001,13.402,0.535,0.535,461.803,True
17,Pakistan,2020-03-13,80,220892340,0.025,0.296,0.165,0.046,1.251,11.899,2.226,265.872,True
18,Belgium,2020-03-05,88,11589623,0.021,0.272,0.100,0.100,14.375,13.081,1.316,1607.178,True
19,Qatar,2020-03-11,82,2881053,0.023,0.100,0.867,0.100,0.000,4.338,3.763,1419.987,True
20,Bangladesh,2020-03-24,65,164689383,0.017,0.234,0.247,0.074,12.180,13.518,3.547,162.956,True
21,Netherlands,2020-03-04,89,17134872,0.005,0.229,0.100,0.100,17.255,44.707,4.502,984.701,True
22,Belarus,2020-03-16,77,9449323,0.027,0.168,0.184,0.077,33.515,6.274,1.329,167.773,True
23,Ecuador,2020-03-14,79,17643054,0.018,0.172,0.100,0.100,35.772,9.303,1.041,1660.829,True
24,Sweden,2020-03-04,89,10099265,0.011,0.243,0.100,0.081,12.578,21.471,2.188,492.431,True
25,Singapore,2020-02-05,117,5850342,0.026,0.100,0.100,0.018,59.677,3.832,1.620,1119.989,True
26,UAE,2020-03-07,86,9890402,0.033,0.138,0.100,0.052,44.694,4.204,0.861,480.913,True
27,SA,2020-03-14,79,59308690,0.058,0.188,0.370,0.019,3.501,3.246,1.672,239.299,True
28,Portugal,2020-03-08,85,10196709,0.017,0.163,0.100,0.086,34.454,9.819,1.094,1716.855,True
29,Switzerland,2020-03-01,92,8654622,0.078,0.351,0.100,0.100,14.948,4.507,0.453,1080.450,True
30,Colombia,2020-03-15,78,50882891,0.019,0.372,0.163,0.100,0.217,19.414,3.165,85.053,True
31,Kuwait,2020-02-26,96,4270571,0.031,0.105,0.100,0.100,81.941,3.362,1.078,135.770,True
32,Indonesia,2020-03-11,82,273523615,0.017,0.289,0.140,0.072,4.030,17.271,2.467,53.457,True
33,Ireland,2020-03-10,83,4937786,0.069,0.255,0.100,0.100,23.633,3.692,0.378,1004.366,True
34,Egypt,2020-03-08,85,102334404,0.022,0.248,0.270,0.100,1.362,11.474,3.099,107.715,True
35,Poland,2020-03-11,82,37846611,0.024,0.214,0.133,0.100,19.828,9.085,1.223,202.138,True
36,Ukraine,2020-03-20,73,43733762,0.020,0.191,0.100,0.081,25.012,9.425,1.115,200.523,True
37,Romania,2020-03-11,82,19237691,0.038,0.205,0.100,0.080,21.874,5.419,0.581,266.423,True
38,Philippines,2020-03-10,83,109581078,0.012,0.241,0.115,0.099,11.800,20.671,2.389,62.169,True
39,DR,2020-03-19,74,10847910,0.035,0.186,0.100,0.059,23.057,5.364,0.772,386.257,True
40,Israel,2020-03-08,85,8655535,0.045,0.254,0.100,0.100,17.435,5.644,0.570,742.636,True
41,Argentina,2020-03-13,80,45195774,0.025,0.307,0.212,0.100,1.192,12.271,2.604,109.683,True
42,Japan,2020-02-06,108,126476461,0.035,0.114,0.100,0.100,61.289,3.251,0.352,796.525,True
43,Austria,2020-03-04,89,9006398,0.444,0.572,0.473,0.019,13.877,1.290,0.769,1971.831,True
44,Afghanistan,2020-03-22,71,38928346,0.008,0.266,0.232,0.100,0.207,32.066,7.470,66.134,True
45,Panama,2020-03-13,80,4314767,0.036,0.166,0.100,0.100,34.022,4.620,0.504,539.151,True
46,Denmark,2020-03-08,85,5792202,0.068,0.330,0.100,0.088,9.355,4.837,0.489,211.102,True
47,Oman,2020-03-18,75,5106626,0.073,0.215,0.331,0.100,12.634,2.936,0.976,496.924,True
48,Serbia,2020-03-13,80,8737371,0.023,0.164,0.100,0.100,28.150,7.292,0.766,296.458,True
49,Bahrain,2020-02-26,96,1701575,0.045,0.106,0.100,0.027,66.821,2.373,1.195,96.111,True
50,Kazakhstan,2020-03-17,76,18776707,0.039,0.150,0.391,0.100,28.898,3.805,1.508,105.862,True
51,Nigeria,2020-03-22,71,206139589,0.024,0.132,0.295,0.060,32.543,5.551,2.023,41.678,True
