,country,confirmed,deaths,recovered,active,critical,case_per_mn,deaths_per_mn,total_test,tests_per_mn,continent
9,USA,"1,010,507","56,803 ","139,162","814,542","14,186","3,053",172,"5,696,928","17,211",North America
10,Spain,"232,128","23,822 ","123,903","84,403","7,764","4,965",510,"1,345,560","28,779",Europe
11,Italy,"199,414","26,977 ","66,624","105,813","1,956","3,298",446,"1,789,662","29,600",Europe
12,France,"165,842","23,293 ","45,513","97,036","4,608","2,541",357,"463,662","7,103",Europe
13,Germany,"158,758","6,126 ","114,500","38,132","2,409","1,895",73,"2,072,669","24,738",Europe
14,UK,"157,149","21,092 ",N/A,"135,713","1,559","2,315",311,"719,910","10,605",Europe
15,Turkey,"112,261","2,900 ","33,791","75,570","1,736","1,331",34,"918,885","10,895",Asia
16,Russia,"93,558",867 ,"8,456","84,235","2,300",641,6,"3,139,258","21,511",Europe
17,Iran,"91,472","5,806 ","70,933","14,733","3,011","1,089",69,"432,329","5,147",Asia
18,Brazil,"67,446","4,603 ","31,142","31,701","8,318",317,22,"339,552","1,597",South America
19,Canada,"48,500","2,707 ","18,268","27,525",557,"1,285",72,"733,705","19,440",North America
20,Belgium,"47,334","7,331 ","10,943","29,060",876,"4,084",633,"220,204","19,000",Europe
21,Netherlands,"38,245","4,518 ",N/A,"33,477",905,"2,232",264,"193,950","11,319",Europe
22,India,"29,451",939 ,"7,137","21,375",,21,0.7,"716,733",519,Asia
23,Switzerland,"29,264","1,677 ","22,200","5,387",185,"3,381",194,"256,500","29,637",Europe
24,Peru,"28,699",782 ,"8,425","19,492",598,870,24,"239,563","7,266",South America
25,Portugal,"24,027",928 ,"1,357","21,742",176,"2,356",91,"360,155","35,321",Europe
26,Ecuador,"23,240",663 ,"1,557","21,020",146,"1,317",38,"61,529","3,487",South America
27,Ireland,"19,648","1,102 ","9,233","9,313",146,"3,979",223,"127,319","25,785",Europe
28,Sweden,"18,926","2,274 ","1,005","15,647",399,"1,874",225,"94,500","9,357",Europe
29,Saudi Arabia,"18,811",144 ,"2,531","16,136",117,540,4,"200,000","5,745",Asia
30,Israel,"15,589",208 ,"7,375","8,006",117,"1,801",24,"302,691","34,971",Asia
31,Mexico,"15,529","1,434 ","9,086","5,009",378,120,11,"71,103",551,North America
32,Austria,"15,357",569 ,"12,580","2,208",140,"1,705",63,"232,537","25,819",Europe
33,Singapore,"14,951",14 ,"1,095","13,842",20,"2,556",2,"121,774","20,815",Asia
34,Pakistan,"14,079",301 ,"3,233","10,545",111,64,1,"157,223",712,Asia
35,Chile,"13,813",198 ,"7,327","6,288",426,723,10,"161,235","8,434",South America
36,Japan,"13,614",385 ,"1,899","11,330",300,108,3,"150,692","1,191",Asia
37,Belarus,"12,208",79 ,"1,993","10,136",92,"1,292",8,"161,028","17,041",Europe
38,Poland,"12,089",570 ,"2,655","8,864",160,319,15,"297,859","7,870",Europe
39,Romania,"11,616",650 ,"3,404","7,562",243,604,34,"150,309","7,813",Europe
40,UAE,"11,380",89 ,"2,181","9,110",1,"1,151",9,"1,057,326","106,904",Asia
41,Qatar,"11,244",10 ,"1,066","10,168",72,"3,903",3,"85,709","29,749",Asia
42,S. Korea,"10,752",244 ,"8,854","1,654",55,210,5,"608,514","11,869",Asia
43,Indonesia,"9,511",773 ,"1,254","7,484",,35,3,"79,618",291,Asia
44,Ukraine,"9,410",239 ,992,"8,179",121,215,5,"98,719","2,257",Europe
45,Denmark,"8,851",427 ,"5,959","2,465",72,"1,528",74,"166,846","28,805",Europe
46,Serbia,"8,275",162 ,"1,209","6,904",85,947,19,"67,917","7,773",Europe
47,Philippines,"7,958",530 ,975,"6,453",31,73,5,"89,889",820,Asia
48,Norway,"7,599",206 ,32,"7,361",52,"1,402",38,"164,316","30,310",Europe
49,Czechia,"7,449",223  ,"2,842","4,384",73,696,21,"226,255","21,128",Europe
50,Australia,"6,731",84 ,"5,626","1,021",42,264,3,"530,679","20,811",Australia/Oceania
51,Bangladesh,"6,462",155 ,139,"6,168",1,39,0.9,"54,733",332,Asia
52,Dominican Republic,"6,293",282 ,993,"5,018",144,580,26,"22,498","2,074",North America
53,Panama,"6,021",167 ,455,"5,399",89,"1,395",39,"27,834","6,451",North America
54,Malaysia,"5,851",100 ,"4,032","1,719",36,181,3,"144,686","4,470",Asia
55,Colombia,"5,597",253 ,"1,210","4,134",118,110,5,"90,899","1,786",South America
56,South Africa,"4,793",90 ,"1,473","3,230",36,81,2,"178,470","3,009",Africa
57,Egypt,"4,782",337 ,"1,236","3,209",,47,3,"90,000",879,Africa
58,Finland,"4,695",193 ,"2,500","2,002",56,847,35,"82,437","14,878",Europe
59,Morocco,"4,246",163 ,739,"3,344",1,115,4,"30,368",823,Africa
60,Argentina,"4,003",197 ,"1,140","2,666",144,89,4,"51,900","1,148",South America
61,Luxembourg,"3,729",88 ,"3,123",518,20,"5,957",141,"39,102","62,465",Europe
62,Algeria,"3,517",432 ,"1,558","1,527",40,80,10,"6,500",148,Africa
63,Moldova,"3,481",102 ,925,"2,454",212,863,25,"11,763","2,916",Europe
64,Kuwait,"3,288",22 ,"1,012","2,254",64,770,5,"179,000","41,915",Asia
65,Kazakhstan,"2,982",25 ,725,"2,232",41,159,1,"216,276","11,518",Asia
66,Thailand,"2,938",54 ,"2,652",232,61,42,0.8,"178,083","2,551",Asia
