,country,confirmed,deaths,recovered,active,critical,case_per_mn,deaths_per_mn,total_test,tests_per_mn,continent
9,USA,"1,292,850","76,938 ","217,251","998,661","16,995","3,906",232,"8,305,785","25,093",North America
10,Spain,"256,855","26,070 ","163,919","66,866","2,075","5,494",558,"1,932,455","41,332",Europe
11,Italy,"215,858","29,958 ","96,276","89,624","1,311","3,570",495,"2,381,288","39,385",Europe
12,UK,"206,715","30,615 ",N/A,"175,756","1,559","3,045",451,"1,534,533","22,605",Europe
13,Russia,"177,160","1,625 ","23,803","151,732","2,300","1,214",11,"4,803,192","32,913",Europe
14,France,"174,791","25,987 ","55,027","93,777","2,961","2,678",398,"1,384,633","21,213",Europe
15,Germany,"169,430","7,392 ","141,700","20,338","1,823","2,022",88,"2,755,770","32,891",Europe
16,Brazil,"135,773","9,190 ","55,350","71,233","8,318",639,43,"339,552","1,597",South America
17,Turkey,"133,721","3,641 ","82,984","47,096","1,260","1,586",43,"1,265,119","15,000",Asia
18,Iran,"103,135","6,486 ","82,744","13,905","2,728","1,228",77,"544,702","6,485",Asia
19,Canada,"64,922","4,408 ","28,972","31,542",502,"1,720",117,"1,005,294","26,636",North America
20,Peru,"58,526","1,627 ","18,388","38,511",722,"1,775",49,"448,020","13,588",South America
21,India,"56,409","1,890 ","16,790","37,729",,41,1,"1,437,788","1,042",Asia
22,Belgium,"51,420","8,415 ","12,980","30,025",538,"4,437",726,"493,325","42,566",Europe
23,Netherlands,"41,774","5,288 ",N/A,"36,236",584,"2,438",309,"249,655","14,570",Europe
24,Saudi Arabia,"33,731",219 ,"7,798","25,714",145,969,6,"405,685","11,653",Asia
25,Ecuador,"30,298","1,654 ","3,433","25,211",156,"1,717",94,"83,218","4,717",South America
26,Switzerland,"30,126","1,810 ","25,900","2,416",121,"3,481",209,"290,365","33,550",Europe
27,Mexico,"29,616","2,961 ","17,781","8,874",378,230,23,"110,916",860,North America
28,Portugal,"26,715","1,105 ","2,258","23,352",135,"2,620",108,"485,925","47,655",Europe
29,Pakistan,"25,837",594 ,"7,530","17,713",111,117,3,"257,247","1,165",Asia
30,Sweden,"24,623","3,040 ","4,971","16,612",425,"2,438",301,"148,500","14,704",Europe
31,Chile,"24,581",285 ,"11,664","12,632",493,"1,286",15,"244,226","12,776",South America
32,Ireland,"22,385","1,403 ","17,110","3,872",93,"4,533",284,"214,761","43,493",Europe
33,Singapore,"20,939",20 ,"1,712","19,207",19,"3,579",3,"175,604","30,016",Asia
34,Belarus,"20,168",116 ,"5,067","14,985",92,"2,134",12,"229,466","24,284",Europe
35,Qatar,"18,890",12 ,"2,286","16,592",72,"6,557",4,"116,495","40,435",Asia
36,Israel,"16,381",240 ,"10,873","5,268",83,"1,893",28,"432,453","49,963",Asia
37,UAE,"16,240",165 ,"3,572","12,503",1,"1,642",17,"1,200,000","121,330",Asia
38,Austria,"15,752",609 ,"13,698","1,445",92,"1,749",68,"292,254","32,450",Europe
39,Japan,"15,477",577 ,"4,918","9,982",308,122,5,"190,030","1,502",Asia
40,Poland,"15,047",755 ,"4,862","9,430",160,398,20,"425,994","11,256",Europe
41,Romania,"14,499",888 ,"6,144","7,467",234,754,46,"226,613","11,780",Europe
42,Ukraine,"13,691",340 ,"2,396","10,955",178,313,8,"151,569","3,466",Europe
43,Indonesia,"12,776",930 ,"2,381","9,465",,47,3,"134,151",490,Asia
44,Bangladesh,"12,425",199 ,"1,910","10,316",1,75,1,"105,513",641,Asia
45,S. Korea,"10,822",256 ,"9,484","1,082",55,211,5,"654,863","12,773",Asia
46,Philippines,"10,343",685 ,"1,618","8,040",31,94,6,"144,583","1,319",Asia
47,Denmark,"10,083",514 ,"7,711","1,858",43,"1,741",89,"284,480","49,114",Europe
48,Serbia,"9,848",206 ,"2,160","7,482",46,"1,127",24,"122,995","14,077",Europe
49,Colombia,"9,456",407 ,"2,300","6,749",129,186,8,"135,352","2,660",South America
50,Dominican Republic,"9,095",373 ,"2,064","6,658",133,838,34,"36,959","3,407",North America
51,South Africa,"8,232",161 ,"3,153","4,918",36,139,3,"292,153","4,926",Africa
52,Norway,"8,034",217 ,32,"7,785",27,"1,482",40,"191,946","35,406",Europe
53,Czechia,"8,031",270 ,"4,371","3,390",52,750,25,"286,821","26,783",Europe
54,Egypt,"7,981",482 ,"1,887","5,612",41,78,5,"90,000",879,Africa
55,Panama,"7,868",225 ,886,"6,757",85,"1,824",52,"39,093","9,060",North America
56,Australia,"6,913",97 ,"6,074",742,20,271,4,"736,655","28,889",Australia/Oceania
57,Kuwait,"6,567",44 ,"2,381","4,142",91,"1,538",10,"196,397","45,988",Asia
58,Malaysia,"6,467",107 ,"4,776","1,584",19,200,3,"231,019","7,138",Asia
59,Finland,"5,673",255 ,"3,500","1,918",44,"1,024",46,"112,100","20,232",Europe
60,Morocco,"5,548",183 ,"2,179","3,186",1,150,5,"56,492","1,531",Africa
61,Argentina,"5,371",282 ,"1,601","3,488",148,119,6,"75,198","1,664",South America
62,Algeria,"5,182",483 ,"2,323","2,376",22,118,11,"6,500",148,Africa
63,Moldova,"4,605",145 ,"1,747","2,713",237,"1,142",36,"20,447","5,069",Europe
64,Kazakhstan,"4,578",30 ,"1,518","3,030",31,244,2,"371,126","19,765",Asia
65,Bahrain,"4,199",8 ,"2,000","2,191",4,"2,468",5,"166,378","97,779",Asia
66,Luxembourg,"3,859",100 ,"3,505",254,21,"6,165",160,"51,883","82,883",Europe
67,Afghanistan,"3,563",106 ,468,"2,989",7,92,3,"14,389",370,Asia
68,Nigeria,"3,526",107 ,601,"2,818",4,17,0.5,"22,492",109,Africa
69,Hungary,"3,178",392 ,865,"1,921",74,329,41,"99,058","10,254",Europe
70,Ghana,"3,091",18 ,303,"2,770",4,99,0.6,"135,902","4,374",Africa
71,Thailand,"3,000",55 ,"2,784",161,61,43,0.8,"227,860","3,264",Asia
72,Oman,"2,958",15 ,980,"1,963",17,579,3,"50,000","9,791",Asia
73,Armenia,"2,884",42 ,"1,185","1,657",10,973,14,"28,017","9,455",Asia
74,Greece,"2,678",148 ,"1,374","1,156",33,257,14,"90,043","8,639",Europe
75,Iraq,"2,543",102 ,"1,626",815,,63,3,"120,604","2,998",Asia
76,Uzbekistan,"2,298",10 ,"1,656",632,8,69,0.3,"325,000","9,710",Asia
77,Cameroon,"2,267",108 ,"1,002","1,157",12,85,4,,,Africa
78,Azerbaijan,"2,204",28 ,"1,551",625,18,217,3,"175,910","17,350",Asia
79,Croatia,"2,125",86 ,"1,641",398,14,518,21,"41,938","10,216",Europe
80,Bolivia,"2,081",102 ,219,"1,760",3,178,9,"7,651",655,South America
81,Bosnia and Herzegovina,"2,027",90 ,954,983,4,618,27,"38,187","11,639",Europe
82,Guinea,"1,927",11 ,629,"1,287",,147,0.8,,,Africa
83,Bulgaria,"1,865",84 ,401,"1,380",43,268,12,"54,328","7,819",Europe
84,Iceland,"1,801",10 ,"1,755",36,,"5,278",29,"51,663","151,397",Europe
85,Cuba,"1,729",73 ,"1,031",625,8,153,6,"61,613","5,440",North America
86,Estonia,"1,720",56 ,273,"1,391",4,"1,297",42,"60,530","45,630",Europe
87,Honduras,"1,685",105 ,154,"1,426",10,170,11,"5,653",571,North America
88,North Macedonia,"1,572",89 ,"1,079",404,21,755,43,"18,168","8,720",Europe
89,Ivory Coast,"1,571",20 ,742,809,,60,0.8,"12,312",467,Africa
90,Senegal,"1,492",13 ,562,917,6,89,0.8,"18,969","1,133",Africa
91,New Zealand,"1,490",21 ,"1,347",122,3,309,4,"175,835","36,463",Australia/Oceania
92,Slovenia,"1,449",99 ,247,"1,103",13,697,48,"59,978","28,850",Europe
93,Slovakia,"1,445",26 ,806,613,4,265,5,"109,767","20,105",Europe
94,Lithuania,"1,433",49 ,739,645,17,526,18,"164,088","60,276",Europe
95,Djibouti,"1,133",3 ,799,331,,"1,147",3,"14,751","14,930",Africa
96,Hong Kong,"1,045",4 ,944,97,1,139,0.5,"154,989","20,674",Asia
97,Tunisia,"1,026",44 ,600,382,22,87,4,"25,967","2,197",Africa
98,Sudan,930,52 ,92,786,,21,1,,,Africa
99,Somalia,928,44 ,106,778,2,58,3,,,Africa
100,Latvia,909,18 ,464,427,3,482,10,"71,069","37,678",Europe
101,Kyrgyzstan,906,12 ,650,244,13,139,2,"59,490","9,118",Asia
102,DRC,897,36 ,119,742,,10,0.4,,,Africa
103,Cyprus,889,15 ,400,474,15,736,12,"70,811","58,649",Asia
104,Mayotte,854,10 ,352,492,7,"3,130",37,"4,000","14,662",Africa
105,Albania,842,31 ,605,206,7,293,11,"9,806","3,407",Europe
106,Guatemala,832,23 ,90,719,5,46,1,"7,200",402,North America
107,Sri Lanka,824,9 ,232,583,1,38,0.4,"32,078","1,498",Asia
108,Lebanon,784,25 ,220,539,43,115,4,"46,677","6,839",Asia
109,Niger,781,42 ,586,153,,32,2,"5,432",224,Africa
110,Costa Rica,765,6 ,445,314,6,150,1,"15,140","2,972",North America
111,Andorra,752,47 ,526,179,14,"9,733",608,"1,673","21,653",Europe
112,El Salvador,742,15 ,257,470,4,114,2,"37,306","5,752",North America
113,Burkina Faso,736,48 ,562,126,,35,2,,,Africa
114,Diamond Princess,712,13 ,645,54,4,,,,,
115,Uruguay,684,17 ,492,175,9,197,5,"25,698","7,398",South America
116,Mali,650,32 ,271,347,,32,2,"2,172",107,Africa
117,Maldives,648,3 ,20,625,2,"1,199",6,"9,863","18,246",Asia
118,San Marino,622,41 ,106,475,4,"18,331","1,208","2,777","81,843",Europe
119,Georgia,615,9 ,275,331,6,154,2,"24,036","6,025",Asia
120,Kenya,607,29 ,197,381,1,11,0.5,"25,861",481,Africa
121,Guinea-Bissau,564,2 ,25,537,,287,1,"1,500",762,Africa
122,Channel Islands,545,40 ,430,75,,"3,135",230,"5,342","30,725",Europe
123,Gabon,504,8 ,110,386,1,226,4,724,325,Africa
124,Jordan,494,9 ,381,104,5,48,0.9,"101,734","9,971",Asia
125,Jamaica,488,9 ,58,421,,165,3,"6,417","2,167",North America
126,Malta,486,5 ,413,68,,"1,101",11,"39,366","89,156",Europe
127,Tanzania,480,16 ,167,297,7,8,0.3,,,Africa
128,Paraguay,462,10 ,148,304,9,65,1,"11,913","1,670",South America
129,Tajikistan,461,12 ,,449,,48,1,,,Asia
130,Taiwan,440,6 ,347,87,,18,0.3,"66,460","2,790",Asia
131,Equatorial Guinea,439,4 ,13,422,,313,3,854,609,Africa
132,Réunion,427, ,354,73,3,477,,"17,200","19,211",Africa
133,Venezuela,381,10 ,185,186,1,13,0.4,"502,771","17,681",South America
134,Palestine,375,2 ,176,197,,74,0.4,"34,511","6,765",Asia
135,Mauritius,332,10 ,320,2,3,261,8,"60,466","47,545",Africa
136,Isle of Man,329,23 ,271,35,19,"3,869",270,"3,625","42,631",Europe
137,Montenegro,324,8 ,265,51,2,516,13,"7,816","12,445",Europe
138,Vietnam,288, ,233,55,8,3,,"261,004","2,681",Asia
139,Congo,274,10 ,33,231,,50,2,,,Africa
140,Rwanda,271, ,133,138,,21,,"38,834","2,998",Africa
141,Chad,253,27 ,50,176,,15,2,,,Africa
142,Sierra Leone,231,16 ,54,161,,29,2,,,Africa
143,Cabo Verde,218,2 ,38,178,,392,4,791,"1,423",Africa
144,Madagascar,193, ,101,92,1,7,,"3,968",143,Africa
145,Ethiopia,191,4 ,93,94,1,2,0.03,"28,445",247,Africa
146,Liberia,189,20 ,79,90,,37,4,,,Africa
147,Sao Tome and Principe,187,4 ,4,179,,853,18,175,799,Africa
148,Faeroe Islands,187, ,185,2,,"3,827",,"8,317","170,211",Europe
149,Martinique,183,14 ,83,86,3,488,37,,,North America
150,Myanmar,176,6 ,62,108,,3,0.1,"10,227",188,Asia
151,Guadeloupe,153,13 ,104,36,4,382,32,,,North America
152,Zambia,153,4 ,103,46,1,8,0.2,"10,270",559,Africa
153,Eswatini,153,2 ,12,139,,132,2,714,615,Africa
154,Gibraltar,144, ,141,3,,"4,274",,"3,366","99,908",Europe
155,Brunei ,141,1 ,131,9,2,322,2,"14,938","34,146",Asia
156,Benin,140,2 ,53,85,,12,0.2,,,Africa
157,French Guiana,138,1 ,112,25,,462,3,,,South America
158,Togo,135,9 ,85,41,,16,1,"9,267","1,119",Africa
159,Haiti,129,12 ,16,101,,11,1,"1,142",100,North America
160,Cambodia,122, ,120,2,1,7,,"13,075",782,Asia
161,Bermuda,118,7 ,61,50,4,"1,895",112,"3,719","59,716",North America
162,Trinidad and Tobago,116,8 ,103,5,,83,6,"2,229","1,593",North America
163,Aruba,101,3 ,89,9,4,946,28,"1,817","17,019",North America
164,Nepal,101, ,22,79,,3,,"67,066","2,302",Asia
165,Uganda,101, ,55,46,,2,,"50,711","1,109",Africa
166,Monaco,95,4 ,82,9,1,"2,421",102,,,Europe
167,CAR,94, ,10,84,,19,,"3,498",724,Africa
168,Guyana,93,10 ,27,56,3,118,13,714,908,South America
169,Bahamas,92,11 ,26,55,1,234,28,"1,500","3,814",North America
170,Barbados,82,7 ,53,22,4,285,24,"2,699","9,392",North America
171,Liechtenstein,82,1 ,55,26,,"2,151",26,900,"23,605",Europe
172,Mozambique,81, ,24,57,,3,,"3,188",102,Africa
173,Cayman Islands,80,1 ,35,44,3,"1,217",15,"3,126","47,564",North America
174,Sint Maarten,76,14 ,44,18,7,"1,773",327,329,"7,673",North America
175,South Sudan,74, ,,74,,7,,"1,247",111,Africa
176,Libya,64,3 ,24,37,,9,0.4,"2,338",340,Africa
177,French Polynesia,60, ,56,4,1,214,,"2,816","10,025",Australia/Oceania
178,Syria,45,3 ,27,15,,3,0.2,,,Asia
179,Macao,45, ,40,5,1,69,,,,Asia
180,Malawi,43,3 ,14,26,1,2,0.2,"1,112",58,Africa
181,Mongolia,42, ,13,29,,13,,"9,137","2,787",Asia
182,Eritrea,39, ,30,9,,11,,,,Africa
183,Saint Martin,38,3 ,30,5,1,983,78,,,North America
184,Angola,36,2 ,11,23,,1,0.06,"3,000",91,Africa
185,Zimbabwe,34,4 ,5,25,,2,0.3,"16,052","1,080",Africa
186,Yemen,25,5 ,1,19,,0.8,0.2,120,4,Asia
187,Antigua and Barbuda,25,3 ,16,6,1,255,31,153,"1,562",North America
188,Timor-Leste,24, ,21,3,,18,,738,560,Asia
189,Botswana,23,1 ,9,13,,10,0.4,"9,066","3,855",Africa
190,Grenada,21, ,13,8,4,187,,"1,406","12,495",North America
191,Laos,19, ,9,10,,3,,"2,604",358,Asia
192,Belize,18,2 ,16,0,,45,5,"1,043","2,623",North America
193,Gambia,18,1 ,9,8,,7,0.4,756,313,Africa
194,Fiji,18, ,14,4,,20,,"1,300","1,450",Australia/Oceania
195,New Caledonia,18, ,18,0,,63,,"5,213","18,259",Australia/Oceania
196,Saint Lucia,18, ,17,1,,98,,575,"3,131",North America
197,St. Vincent Grenadines,17, ,9,8,,153,,137,"1,235",North America
198,Nicaragua,16,5 ,7,4,,2,0.8,,,North America
