,country,confirmed,deaths,recovered,active,critical,case_per_mn,deaths_per_mn,total_test,tests_per_mn,continent
9,USA,"819,175","45,343 ","82,973","690,859","14,016","2,475",137,"4,190,002","12,659",North America
10,Spain,"208,389","21,717 ","85,915","100,757","7,705","4,457",464,"930,230","19,896",Europe
11,Italy,"183,957","24,648 ","51,600","107,709","2,471","3,043",408,"1,450,150","23,985",Europe
12,France,"158,050","20,796 ","39,181","98,073","5,433","2,421",319,"463,662","7,103",Europe
13,Germany,"148,453","5,086 ","99,400","43,967","2,908","1,772",61,"1,728,357","20,629",Europe
14,UK,"129,044","17,337 ",N/A,"111,363","1,559","1,901",255,"535,342","7,886",Europe
15,Turkey,"95,591","2,259 ","14,918","78,414","1,865","1,133",27,"713,409","8,459",Asia
16,Iran,"84,802","5,297 ","60,965","18,540","3,357","1,010",63,"365,723","4,354",Asia
17,Russia,"57,999",513 ,"4,420","53,066",700,397,4,"2,250,000","15,418",Europe
18,Brazil,"43,368","2,761 ","24,325","16,282","8,318",204,13,"291,922","1,373",South America
19,Belgium,"41,889","6,262 ","9,433","26,194","1,020","3,614",540,"171,400","14,789",Europe
20,Canada,"38,422","1,834 ","13,188","23,400",557,"1,018",49,"569,878","15,099",North America
21,Netherlands,"34,134","3,916 ",N/A,"29,968","1,087","1,992",229,"171,415","10,004",Europe
22,Switzerland,"28,063","1,478 ","19,400","7,185",386,"3,243",171,"227,554","26,293",Europe
23,Portugal,"21,379",762 ,917,"19,700",213,"2,097",75,"281,907","27,647",Europe
24,India,"20,178",645 ,"3,976","15,557",,15,0.5,"462,621",335,Asia
25,Peru,"17,837",484 ,"6,982","10,371",380,541,15,"155,724","4,723",South America
26,Ireland,"16,040",730 ,"9,233","6,077",315,"3,248",148,"111,584","22,598",Europe
27,Sweden,"15,322","1,765 ",550,"13,007",515,"1,517",175,"94,500","9,357",Europe
28,Austria,"14,925",510 ,"11,328","3,087",176,"1,657",57,"201,794","22,406",Europe
29,Israel,"14,326",187 ,"4,961","9,178",148,"1,655",22,"240,303","27,763",Asia
30,Saudi Arabia,"11,631",109 ,"1,640","9,882",81,334,3,"200,000","5,745",Asia
31,Japan,"11,512",281 ,"1,356","9,875",232,91,2,"124,550",985,Asia
32,Chile,"10,832",147 ,"4,969","5,716",392,567,8,"122,357","6,401",South America
33,S. Korea,"10,694",238 ,"8,277","2,179",55,209,5,"577,959","11,273",Asia
34,Ecuador,"10,398",520 ,"1,207","8,671",137,589,29,"33,389","1,892",South America
35,Singapore,"10,141",11 ,839,"9,291",27,"1,733",2,"94,796","16,203",Asia
36,Poland,"10,034",404 ,"1,513","8,117",160,265,11,"224,355","5,928",Europe
37,Pakistan,"9,749",209 ,"2,156","7,384",58,44,0.9,"118,020",534,Asia
38,Mexico,"9,501",857 ,"2,627","6,017",378,74,7,"49,570",384,North America
39,Romania,"9,242",508 ,"2,153","6,581",245,480,26,"101,552","5,279",Europe
40,Denmark,"7,912",370 ,"4,700","2,842",81,"1,366",64,"108,465","18,726",Europe
41,UAE,"7,755",46 ,"1,443","6,266",1,784,5,"790,000","79,875",Asia
42,Indonesia,"7,418",635 ,913,"5,870",,27,2,"50,370",184,Asia
43,Belarus,"7,281",58 ,769,"6,454",92,771,6,"114,955","12,165",Europe
44,Norway,"7,241",182 ,32,"7,027",58,"1,336",34,"145,279","26,798",Europe
45,Czechia,"7,041",204 ,"1,800","5,037",80,657,19,"186,918","17,454",Europe
46,Serbia,"6,890",130 ,977,"5,783",101,789,15,"45,355","5,191",Europe
47,Philippines,"6,710",446 ,693,"5,571",1,61,4,"68,532",625,Asia
48,Australia,"6,649",74 ,"4,920","1,655",47,261,3,"452,441","17,743",Australia/Oceania
49,Ukraine,"6,592",174 ,424,"5,994",45,151,4,"67,520","1,544",Europe
