,country,confirmed,deaths,recovered,active,critical,case_per_mn,deaths_per_mn,total_test,tests_per_mn,continent
9,USA,"1,067,382","61,849 ","147,480","858,053","18,851","3,225",187,"6,162,423","18,617",North America
10,Spain,"239,639","24,543 ","137,984","77,112","2,676","5,125",525,"1,455,306","31,126",Europe
11,Italy,"203,591","27,682 ","71,252","104,657","1,795","3,367",458,"1,910,761","31,603",Europe
12,France,"166,420","24,087 ","48,228","94,105","4,207","2,550",369,"463,662","7,103",Europe
13,UK,"165,221","26,097 ",N/A,"138,780","1,559","2,434",384,"818,539","12,058",Europe
14,Germany,"161,985","6,504 ","123,500","31,981","2,415","1,933",78,"2,547,052","30,400",Europe
15,Turkey,"117,589","3,081 ","44,040","70,468","1,574","1,394",37,"991,613","11,757",Asia
16,Russia,"106,498","1,073 ","11,619","93,806","2,300",730,7,"3,490,000","23,915",Europe
17,Iran,"94,640","6,028 ","75,103","13,509","2,976","1,127",72,"463,295","5,516",Asia
18,Brazil,"79,685","5,513 ","34,132","40,040","8,318",375,26,"339,552","1,597",South America
19,Canada,"51,597","2,996 ","20,327","28,274",557,"1,367",79,"779,613","20,656",North America
20,Belgium,"48,519","7,594 ","11,576","29,349",769,"4,186",655,"237,963","20,532",Europe
21,Netherlands,"39,316","4,795 ",N/A,"34,271",783,"2,295",280,"219,744","12,824",Europe
22,Peru,"33,931",943 ,"10,037","22,951",623,"1,029",29,"296,262","8,985",South America
23,India,"33,610","1,079 ","8,437","24,094",,24,0.8,"830,201",602,Asia
24,Switzerland,"29,586","1,737 ","23,100","4,749",167,"3,419",201,"266,200","30,758",Europe
25,Portugal,"25,045",989 ,"1,519","22,537",172,"2,456",97,"395,771","38,814",Europe
26,Ecuador,"24,675",883 ,"1,557","22,235",146,"1,399",50,"61,529","3,487",South America
27,Saudi Arabia,"22,753",162 ,"3,163","19,428",125,654,5,"200,000","5,745",Asia
28,Sweden,"21,092","2,586 ","1,005","17,501",531,"2,088",256,"119,500","11,833",Europe
29,Ireland,"20,253","1,190 ","13,386","5,677",129,"4,102",241,"153,954","31,179",Europe
30,Mexico,"17,799","1,732 ","11,423","4,644",378,138,13,"81,912",635,North America
31,Singapore,"16,169",14 ,"1,188","14,967",22,"2,764",2,"143,919","24,600",Asia
32,Pakistan,"16,117",358  ,"4,105","11,654",111,73,2,"174,160",788,Asia
33,Chile,"16,023",227 ,"8,580","7,216",392,838,12,"180,517","9,443",South America
34,Israel,"15,870",219 ,"8,412","7,239",117,"1,834",25,"364,467","42,108",Asia
35,Austria,"15,452",584 ,"12,907","1,961",128,"1,716",65,"256,399","28,469",Europe
36,Belarus,"14,027",89 ,"2,386","11,552",92,"1,484",9,"176,625","18,692",Europe
37,Japan,"13,965",425 ,"2,368","11,172",306,110,3,"164,255","1,299",Asia
38,Qatar,"13,409",10 ,"1,372","12,027",72,"4,654",3,"94,500","32,801",Asia
39,Poland,"12,781",628 ,"3,236","8,917",160,338,17,"338,027","8,931",Europe
40,UAE,"12,481",105 ,"2,429","9,947",1,"1,262",11,"1,122,000","113,443",Asia
41,Romania,"12,240",695 ,"4,017","7,528",221,636,36,"175,374","9,116",Europe
42,S. Korea,"10,765",247 ,"9,059","1,459",55,210,5,"619,881","12,091",Asia
43,Ukraine,"10,406",261 ,"1,238","8,907",138,238,6,"111,859","2,558",Europe
44,Indonesia,"10,118",792 ,"1,522","7,804",,37,3,"94,599",346,Asia
45,Denmark,"9,158",452 ,"6,546","2,160",62,"1,581",78,"193,165","33,349",Europe
46,Serbia,"9,009",179 ,"1,343","7,487",71,"1,031",20,"85,645","9,802",Europe
47,Philippines,"8,488",568 ,"1,043","6,877",31,77,5,"104,146",950,Asia
48,Norway,"7,710",207 ,32,"7,471",40,"1,422",38,"169,124","31,197",Europe
49,Bangladesh,"7,667",168 ,160,"7,339",1,47,1,"64,666",393,Asia
50,Czechia,"7,581",227 ,"3,120","4,234",68,708,21,"242,088","22,606",Europe
51,Australia,"6,753",91 ,"5,715",947,34,265,4,"563,641","22,104",Australia/Oceania
52,Dominican Republic,"6,652",293 ,"1,228","5,131",144,613,27,"25,368","2,339",North America
53,Panama,"6,378",178 ,527,"5,673",92,"1,478",41,"29,837","6,915",North America
54,Colombia,"6,211",278 ,"1,411","4,522",118,122,5,"95,085","1,869",South America
55,Malaysia,"6,002",102 ,"4,171","1,729",40,185,3,"160,296","4,953",Asia
56,South Africa,"5,350",103 ,"2,073","3,174",36,90,2,"197,127","3,324",Africa
57,Egypt,"5,268",380 ,"1,335","3,553",,51,4,"90,000",879,Africa
58,Finland,"4,995",211 ,"3,000","1,784",48,902,38,"93,900","16,947",Europe
59,Morocco,"4,359",168 ,969,"3,222",1,118,5,"33,922",919,Africa
60,Argentina,"4,285",214 ,"1,192","2,879",144,95,5,"56,058","1,240",South America
61,Kuwait,"4,024",26 ,"1,539","2,459",66,942,6,"179,000","41,915",Asia
62,Moldova,"3,897",116 ,"1,182","2,599",237,966,29,"11,763","2,916",Europe
63,Algeria,"3,848",444 ,"1,702","1,702",22,88,10,"6,500",148,Africa
64,Luxembourg,"3,769",89 ,"3,134",546,21,"6,021",142,"41,758","66,708",Europe
65,Kazakhstan,"3,356",25 ,858,"2,473",41,179,1,"249,527","13,289",Asia
66,Bahrain,"3,037",8 ,"1,495","1,534",1,"1,785",5,"128,481","75,507",Asia
67,Thailand,"2,954",54 ,"2,684",216,61,42,0.8,"178,083","2,551",Asia
68,Hungary,"2,775",312 ,581,"1,882",54,287,32,"72,951","7,552",Europe
69,Greece,"2,576",139 ,577,"1,860",41,247,13,"72,130","6,920",Europe
70,Oman,"2,348",11 ,495,"1,842",17,460,2,"40,459","7,923",Asia
71,Afghanistan,"2,171",64 ,260,"1,847",7,56,2,"10,022",257,Asia
72,Croatia,"2,076",69 ,"1,348",659,20,506,17,"36,221","8,823",Europe
73,Ghana,"2,074",17 ,212,"1,845",4,67,0.5,"113,497","3,653",Africa
74,Armenia,"2,066",32 ,929,"1,105",10,697,11,"21,125","7,129",Asia
75,Uzbekistan,"2,017",9 ,"1,126",882,8,60,0.3,"242,536","7,247",Asia
76,Iraq,"2,003",92 ,"1,346",565,,50,2,"86,708","2,156",Asia
77,Cameroon,"1,832",61 ,934,837,12,69,2,,,Africa
78,Azerbaijan,"1,804",24 ,"1,325",455,17,178,2,"143,079","14,112",Asia
79,Iceland,"1,797",10 ,"1,656",131,,"5,266",29,"47,573","139,411",Europe
80,Bosnia and Herzegovina,"1,757",69 ,727,961,4,536,21,"30,793","9,386",Europe
81,Nigeria,"1,728",51 ,307,"1,370",2,8,0.2,"13,689",66,Africa
82,Estonia,"1,689",52 ,249,"1,388",9,"1,273",39,"52,741","39,758",Europe
83,Bulgaria,"1,488",65 ,266,"1,157",38,214,9,"45,208","6,506",Europe
84,New Zealand,"1,476",19 ,"1,241",216,1,306,4,"134,570","27,906",Australia/Oceania
85,Cuba,"1,467",58 ,617,792,14,130,5,"45,344","4,003",North America
86,North Macedonia,"1,465",77 ,738,650,13,703,37,"16,050","7,704",Europe
87,Slovenia,"1,429",91 ,233,"1,105",22,687,44,"52,948","25,469",Europe
88,Slovakia,"1,396",23 ,524,849,8,256,4,"85,922","15,738",Europe
89,Lithuania,"1,385",45 ,589,751,17,509,17,"125,555","46,121",Europe
90,Guinea,"1,351",7 ,313,"1,031",,103,0.5,,,Africa
91,Ivory Coast,"1,238",14 ,557,667,,47,0.5,,,Africa
92,Bolivia,"1,110",59 ,117,934,3,95,5,"5,791",496,South America
93,Djibouti,"1,077",2 ,599,476,,"1,090",2,"12,985","13,143",Africa
94,Hong Kong,"1,038",4 ,846,188,4,138,0.5,"154,989","20,674",Asia
95,Tunisia,980,40 ,294,646,20,83,3,"22,062","1,867",Africa
96,Senegal,933,9 ,334,590,1,56,0.5,466,28,Africa
97,Latvia,858,15 ,348,495,3,455,8,"57,886","30,689",Europe
98,Cyprus,843,15 ,148,680,15,698,12,"53,219","44,079",Asia
99,Albania,773,31 ,470,272,4,269,11,"8,253","2,868",Europe
100,Honduras,771,71 ,79,621,10,78,7,"3,643",368,North America
101,Kyrgyzstan,746,8 ,462,276,12,114,1,"51,472","7,889",Asia
102,Andorra,743,42 ,423,278,17,"9,616",544,"1,673","21,653",Europe
103,Lebanon,725,24 ,150,551,44,106,4,"34,499","5,054",Asia
104,Niger,713,32 ,435,246,,29,1,"5,148",213,Africa
105,Costa Rica,713,6 ,323,384,8,140,1,"13,117","2,575",North America
106,Diamond Princess,712,13 ,645,54,4,,,,,
107,Sri Lanka,653,7 ,139,507,1,30,0.3,"21,157",988,Asia
108,Burkina Faso,641,43 ,498,100,,31,2,,,Africa
109,Uruguay,630,15 ,412,203,11,181,4,"19,016","5,474",South America
110,Guatemala,585,16 ,65,504,5,33,0.9,"7,200",402,North America
111,Somalia,582,28 ,20,534,2,37,2,,,Africa
112,San Marino,569,41 ,78,450,6,"16,769","1,208","2,305","67,932",Europe
113,Georgia,539,6 ,178,355,6,135,2,"13,673","3,428",Asia
114,Mayotte,539,4 ,235,300,4,"1,976",15,"3,000","10,996",Africa
115,Channel Islands,537,38 ,386,113,,"3,089",219,"5,342","30,725",Europe
116,DRC,500,31 ,65,404,,6,0.3,,,Africa
117,Mali,482,25 ,129,328,,24,1,"2,172",107,Africa
118,Tanzania,480,16 ,167,297,7,8,0.3,,,Africa
119,Malta,465,4 ,351,110,1,"1,053",9,"32,989","74,713",Europe
120,Jordan,451,8 ,356,87,5,44,0.8,"63,737","6,247",Asia
121,Taiwan,429,6 ,322,101,,18,0.3,"62,844","2,639",Asia
122,Réunion,420, ,300,120,2,469,,,,Africa
123,Kenya,396,17 ,144,235,2,7,0.3,"20,268",377,Africa
124,Jamaica,396,7 ,29,360,3,134,2,"3,993","1,348",North America
125,Maldives,396,1 ,17,378,2,733,2,"5,296","9,798",Asia
126,El Salvador,395,9 ,118,268,3,61,1,"24,057","3,709",North America
127,Sudan,375,28 ,32,315,,9,0.6,,,Africa
128,Palestine,344,2 ,71,271,,67,0.4,"27,000","5,293",Asia
129,Mauritius,332,10 ,310,12,3,261,8,"14,445","11,358",Africa
130,Venezuela,331,10 ,142,179,2,12,0.4,"458,737","16,132",South America
131,Montenegro,322,7 ,206,109,2,513,11,"6,864","10,929",Europe
132,Equatorial Guinea,315,1 ,9,305,,225,0.7,854,609,Africa
133,Isle of Man,313,21 ,258,34,21,"3,681",247,"3,049","35,857",Europe
134,Gabon,276,3 ,67,206,1,124,1,724,325,Africa
135,Vietnam,270, ,219,51,8,3,,"261,004","2,681",Asia
136,Paraguay,249,9 ,111,129,1,35,1,"8,891","1,247",South America
137,Rwanda,225, ,98,127,,17,,"8,464",653,Africa
138,Congo,220,9 ,19,192,,40,2,,,Africa
139,Guinea-Bissau,205,1 ,19,185,,104,0.5,"1,500",762,Africa
140,Faeroe Islands,187, ,184,3,,"3,827",,"6,963","142,500",Europe
141,Martinique,178,14 ,83,81,5,474,37,,,North America
142,Guadeloupe,151,12 ,95,44,11,377,30,,,North America
143,Myanmar,150,6 ,27,117,,3,0.1,"7,718",142,Asia
144,Liberia,141,16 ,45,80,,28,3,,,Africa
145,Gibraltar,141, ,131,10,,"4,185",,"2,198","65,240",Europe
146,Brunei ,138,1 ,124,13,2,315,2,"13,580","31,041",Asia
147,Ethiopia,131,3 ,59,69,,1,0.03,"17,842",155,Africa
148,Madagascar,128, ,92,36,1,5,,"3,228",117,Africa
149,French Guiana,126,1 ,94,31,2,422,3,,,South America
150,Sierra Leone,124,7 ,21,96,,16,0.9,,,Africa
151,Cambodia,122, ,119,3,1,7,,"11,975",716,Asia
152,Togo,116,9 ,65,42,,14,1,"6,882",831,Africa
153,Trinidad and Tobago,116,8 ,72,36,,83,6,"1,683","1,203",North America
154,Cabo Verde,113,1 ,2,110,,203,2,791,"1,423",Africa
155,Bermuda,111,6 ,48,57,10,"1,782",96,"2,197","35,277",North America
156,Aruba,100,2 ,73,25,4,937,19,"1,649","15,445",North America
157,Eswatini,100,1 ,12,87,,86,0.9,714,615,Africa
158,Zambia,97,3 ,54,40,1,5,0.2,"5,284",287,Africa
159,Monaco,95,4 ,58,33,1,"2,421",102,,,Europe
160,Liechtenstein,82,1 ,55,26,,"2,151",26,900,"23,605",Europe
161,Uganda,81, ,52,29,,2,,"29,279",640,Africa
162,Bahamas,80,11 ,25,44,1,203,28,,,North America
163,Barbados,80,7 ,39,34,4,278,24,"2,005","6,977",North America
164,Guyana,78,8 ,18,52,3,99,10,519,660,South America
165,Haiti,76,7 ,8,61,,7,0.6,776,68,North America
166,Mozambique,76, ,12,64,,2,,"1,896",61,Africa
167,Sint Maarten,75,13 ,33,29,7,"1,749",303,302,"7,044",North America
168,Cayman Islands,73,1 ,10,62,3,"1,111",15,"1,535","23,356",North America
169,Benin,64,1 ,33,30,,5,0.08,,,Africa
170,Libya,61,2 ,18,41,,9,0.3,"1,623",236,Africa
171,French Polynesia,58, ,50,8,1,206,,"2,409","8,576",Australia/Oceania
172,Nepal,57, ,16,41,,2,,"57,189","1,963",Asia
173,Chad,52,2 ,19,31,,3,0.1,,,Africa
174,CAR,50, ,10,40,,10,,,,Africa
175,Macao,45, ,35,10,1,69,,,,Asia
176,Syria,43,3 ,21,19,,2,0.2,,,Asia
177,Zimbabwe,40,4 ,5,31,,3,0.3,"7,642",514,Africa
178,Eritrea,39, ,19,20,,11,,,,Africa
179,Saint Martin,38,3 ,24,11,3,983,78,,,North America
180,Mongolia,38, ,10,28,,12,,"7,455","2,274",Asia
181,Malawi,37,3 ,7,27,1,2,0.2,744,39,Africa
182,South Sudan,35, ,,35,,3,,,,Africa
183,Angola,27,2 ,7,18,,0.8,0.06,,,Africa
184,Antigua and Barbuda,24,3 ,11,10,1,245,31,113,"1,154",North America
185,Timor-Leste,24, ,16,8,,18,,322,244,Asia
186,Botswana,23,1 ,5,17,,10,0.4,"6,548","2,784",Africa
187,Grenada,20, ,13,7,4,178,,"1,406","12,495",North America
188,Laos,19, ,8,11,,3,,"1,927",265,Asia
189,Belize,18,2 ,9,7,1,45,5,995,"2,502",North America
190,Fiji,18, ,12,6,,20,,"1,007","1,123",Australia/Oceania
191,New Caledonia,18, ,17,1,1,63,,"4,456","15,608",Australia/Oceania
192,Saint Lucia,17, ,15,2,,93,,446,"2,429",North America
193,Curaçao,16,1 ,13,2,,98,6,343,"2,090",North America
194,Dominica,16, ,13,3,,222,,383,"5,320",North America
195,Namibia,16, ,8,8,,6,,704,277,Africa
196,St. Vincent Grenadines,16, ,8,8,,144,,108,973,North America
197,Saint Kitts and Nevis,15, ,6,9,,282,,293,"5,508",North America
198,Tajikistan,15, ,,15,,2,,,,Asia
199,Sao Tome and Principe,14, ,4,10,,64,,19,87,Africa
200,Nicaragua,13,3 ,7,3,,2,0.5,,,North America
201,Falkland Islands,13, ,11,2,,"3,736",,372,"106,897",South America
202,Turks and Caicos,12,1 ,5,6,,310,26,83,"2,144",North America
203,Burundi,11,1 ,4,6,,0.9,0.08,284,24,Africa
204,Gambia,11,1 ,8,2,,5,0.4,401,166,Africa
