,country,confirmed,deaths,recovered,active,critical,case_per_mn,deaths_per_mn,total_test,tests_per_mn,continent
9,USA,"677,570","34,617 ","57,508","585,445","13,369","2,047",105,"3,398,140","10,266",North America
10,Spain,"184,948","19,315 ","74,797","90,836","7,371","3,956",413,"930,230","19,896",Europe
11,Italy,"168,941","22,170 ","40,164","106,607","2,936","2,794",367,"1,178,403","19,490",Europe
12,France,"165,027","17,920 ","32,812","114,295","6,248","2,528",275,"333,807","5,114",Europe
13,Germany,"137,698","4,052 ","77,000","56,646","4,288","1,643",48,"1,728,357","20,629",Europe
14,UK,"103,093","13,729 ",N/A,"89,020","1,559","1,519",202,"417,649","6,152",Europe
15,Iran,"77,995","4,869 ","52,229","20,897","3,594",929,58,"310,340","3,695",Asia
16,Turkey,"74,193","1,643 ","7,089","65,461","1,854",880,19,"518,143","6,144",Asia
17,Belgium,"34,809","4,857 ","7,562","22,390","1,182","3,003",419,"134,303","11,588",Europe
18,Brazil,"30,683","1,947 ","14,026","14,710","6,634",144,9,"62,985",296,South America
19,Canada,"30,106","1,195 ","9,729","19,182",557,798,32,"487,625","12,920",North America
20,Netherlands,"29,214","3,315 ",250,"25,649","1,279","1,705",193,"147,948","8,634",Europe
21,Russia,"27,938",232 ,"2,304","25,402",8,191,2,"1,613,413","11,056",Europe
22,Switzerland,"26,732","1,281 ","15,900","9,551",386,"3,089",148,"206,400","23,849",Europe
23,Portugal,"18,841",629 ,493,"17,719",229,"1,848",62,"208,314","20,430",Europe
24,Austria,"14,476",410 ,"8,986","5,080",238,"1,607",46,"162,816","18,078",Europe
25,India,"13,430",448 ,"1,768","11,214",,10,0.3,"302,956",220,Asia
26,Ireland,"13,271",486 ,77,"12,708",156,"2,688",98,"90,646","18,358",Europe
27,Israel,"12,758",142 ,"2,818","9,798",181,"1,474",16,"187,250","21,634",Asia
28,Sweden,"12,540","1,333 ",550,"10,657",522,"1,242",132,"74,600","7,387",Europe
29,Peru,"12,491",274 ,"6,120","6,097",169,379,8,"121,468","3,684",South America
30,S. Korea,"10,635",230 ,"7,829","2,576",55,207,4,"546,463","10,659",Asia
31,Japan,"9,231",190 ,935,"8,106",193,73,2,"100,703",796,Asia
32,Chile,"8,807",105 ,"3,299","5,403",384,461,5,"98,424","5,149",South America
33,Ecuador,"8,225",403 ,838,"6,984",168,466,23,"27,868","1,580",South America
34,Poland,"7,918",314 ,774,"6,830",160,209,8,"169,071","4,467",Europe
35,Romania,"7,707",392 ,"1,357","5,958",243,401,20,"79,629","4,139",Europe
36,Pakistan,"6,919",128 ,"1,645","5,146",46,31,0.6,"78,979",358,Asia
37,Norway,"6,905",152 ,32,"6,721",64,"1,274",28,"133,707","24,664",Europe
38,Denmark,"6,879",321 ,"3,023","3,535",92,"1,188",55,"82,380","14,223",Europe
39,Australia,"6,468",63 ,"3,747","2,658",66,254,2,"380,003","14,902",Australia/Oceania
40,Czechia,"6,433",169 ,972,"5,292",75,601,16,"146,004","13,634",Europe
41,Saudi Arabia,"6,380",83 ,990,"5,307",71,183,2,"150,000","4,309",Asia
42,Mexico,"6,297",486 ,"2,125","3,686",207,49,4,"40,091",311,North America
43,UAE,"5,825",35 ,"1,095","4,695",1,589,4,"767,000","77,550",Asia
44,Philippines,"5,660",362 ,435,"4,863",1,52,3,"48,171",440,Asia
45,Indonesia,"5,516",496 ,548,"4,472",,20,2,"36,000",132,Asia
46,Serbia,"5,318",103 ,443,"4,772",120,609,12,"29,472","3,373",Europe
47,Malaysia,"5,182",84 ,"2,766","2,332",56,160,3,"87,183","2,694",Asia
48,Singapore,"4,427",10 ,683,"3,734",29,757,2,"72,680","12,423",Asia
49,Belarus,"4,204",40 ,203,"3,961",65,445,4,"81,246","8,598",Europe
50,Ukraine,"4,161",116 ,186,"3,859",45,95,3,"42,823",979,Europe
51,Qatar,"4,103",7 ,415,"3,681",37,"1,424",2,"56,381","19,570",Asia
52,Panama,"4,016",109 ,98,"3,809",99,931,25,"17,850","4,137",North America
53,Dominican Republic,"3,755",196 ,215,"3,344",121,346,18,"12,229","1,127",North America
54,Luxembourg,"3,444",69 ,552,"2,823",35,"5,502",110,"31,660","50,577",Europe
55,Finland,"3,369",75 ,"1,700","1,594",76,608,14,"49,700","8,970",Europe
56,Colombia,"3,233",144 ,550,"2,539",98,64,3,"52,085","1,024",South America
57,Egypt,"2,673",196 ,596,"1,881",,26,2,"25,000",244,Africa
58,Thailand,"2,672",46 ,"1,593","1,033",61,38,0.7,"100,498","1,440",Asia
59,Argentina,"2,669",122 ,631,"1,916",121,59,3,"26,457",585,South America
60,South Africa,"2,605",48 ,903,"1,654",7,44,0.8,"95,060","1,603",Africa
61,Morocco,"2,283",130 ,249,"1,904",1,62,4,"11,996",325,Africa
62,Algeria,"2,268",348 ,783,"1,137",60,52,8,"3,359",77,Africa
63,Greece,"2,207",105 ,269,"1,833",69,212,10,"50,771","4,871",Europe
64,Moldova,"2,154",54 ,235,"1,865",80,534,13,"9,208","2,283",Europe
65,Croatia,"1,791",35 ,529,"1,227",31,436,9,"20,158","4,910",Europe
66,Iceland,"1,739",8 ,"1,144",587,6,"5,096",23,"38,204","111,955",Europe
67,Bahrain,"1,700",7 ,703,990,3,999,4,"76,630","45,035",Asia
68,Hungary,"1,652",142 ,199,"1,311",60,171,15,"38,489","3,984",Europe
69,Bangladesh,"1,572",60 ,49,"1,463",1,10,0.4,"17,003",103,Asia
70,Kuwait,"1,524",3 ,225,"1,296",32,357,0.7,,,Asia
71,Iraq,"1,434",80 ,856,498,,36,2,"49,260","1,225",Asia
72,Estonia,"1,434",36 ,133,"1,265",10,"1,081",27,"36,024","27,156",Europe
73,New Zealand,"1,409",11 ,816,582,2,292,2,"74,401","15,429",Australia/Oceania
