,country,confirmed,deaths,recovered,active,critical,case_per_mn,deaths_per_mn,total_test,tests_per_mn,continent
9,USA,"960,896","54,265 ","118,162","788,469","15,110","2,903",164,"5,279,237","15,949",North America
10,Spain,"223,759","22,902 ","95,708","105,149","7,705","4,786",490,"930,230","19,896",Europe
11,Italy,"195,351","26,384 ","63,120","105,847","2,102","3,231",436,"1,707,743","28,245",Europe
12,France,"161,488","22,614 ","44,594","94,280","4,725","2,474",346,"463,662","7,103",Europe
13,Germany,"156,513","5,877 ","109,800","40,836","2,570","1,868",70,"2,072,669","24,738",Europe
14,UK,"148,377","20,319 ",N/A,"127,714","1,559","2,186",299,"640,792","9,439",Europe
15,Turkey,"107,773","2,706 ","25,582","79,485","1,782","1,278",32,"868,565","10,298",Asia
16,Iran,"89,328","5,650 ","68,193","15,485","3,096","1,064",67,"410,075","4,882",Asia
17,Russia,"74,588",681 ,"6,250","67,657","2,300",511,5,"2,721,500","18,649",Europe
18,Brazil,"59,324","4,057 ","29,160","26,107","8,318",279,19,"291,922","1,373",South America
19,Canada,"45,354","2,465 ","16,425","26,464",557,"1,202",65,"684,271","18,130",North America
20,Belgium,"45,325","6,917 ","10,417","27,991",934,"3,911",597,"189,067","16,313",Europe
21,Netherlands,"37,190","4,409  ",N/A,"32,531",959,"2,170",257,"193,950","11,319",Europe
22,Switzerland,"28,894","1,599 ","21,300","5,995",204,"3,339",185,"245,300","28,343",Europe
23,India,"26,496",825 ,"5,939","19,732",,19,0.6,"625,309",453,Asia
24,Peru,"25,331",700 ,"7,797","16,834",545,768,21,"218,195","6,618",South America
25,Portugal,"23,392",880 ,"1,277","21,235",186,"2,294",86,"330,512","32,414",Europe
26,Ecuador,"22,719",576 ,"1,366","20,777",127,"1,288",33,"56,513","3,203",South America
27,Ireland,"18,561","1,063 ","9,233","8,265",142,"3,759",215,"127,319","25,785",Europe
28,Sweden,"18,177","2,192 ","1,005","14,980",547,"1,800",217,"94,500","9,357",Europe
29,Saudi Arabia,"16,299",136 ,"2,215","13,948",115,468,4,"200,000","5,745",Asia
30,Israel,"15,298",199 ,"6,435","8,664",127,"1,767",23,"302,691","34,971",Asia
31,Austria,"15,148",536 ,"12,103","2,509",148,"1,682",60,"221,098","24,549",Europe
32,Mexico,"13,842","1,305 ","7,149","5,388",378,107,10,"51,297",398,North America
33,Japan,"13,231",360 ,"1,656","11,215",287,105,3,"147,454","1,166",Asia
34,Chile,"12,858",181 ,"6,746","5,931",418,673,9,"149,212","7,806",South America
35,Pakistan,"12,723",269 ,"2,866","9,588",111,58,1,"144,365",654,Asia
36,Singapore,"12,693",12 ,"1,002","11,679",24,"2,170",2,"121,774","20,815",Asia
37,Poland,"11,273",524 ,"2,126","8,623",160,298,14,"278,994","7,372",Europe
38,S. Korea,"10,728",242 ,"8,717","1,769",55,209,5,"598,285","11,669",Asia
39,Romania,"10,635",601 ,"2,890","7,144",235,553,31,"126,645","6,583",Europe
40,UAE,"9,813",71 ,"1,887","7,855",1,992,7,"1,022,326","103,365",Asia
41,Belarus,"9,590",67 ,"1,573","7,950",92,"1,015",7,"139,295","14,741",Europe
