,country,confirmed,deaths,recovered,active,critical,case_per_mn,deaths_per_mn,total_test,tests_per_mn,continent
77,Azerbaijan,"2,693",33 ,"1,735",925,28,266,3,"202,282","19,951",Asia
78,Cameroon,"2,689",125 ,"1,524","1,040",28,101,5,,,Africa
79,Uzbekistan,"2,568",10 ,"2,040",518,8,77,0.3,"325,000","9,710",Asia
80,Guinea,"2,298",11 ,816,"1,471",,175,0.8,,,Africa
81,Croatia,"2,207",91 ,"1,808",308,11,538,22,"47,480","11,566",Europe
82,Bosnia and Herzegovina,"2,181",120 ,"1,228",833,4,665,37,"44,380","13,527",Europe
83,Senegal,"2,105",21 ,782,"1,302",6,126,1,"24,599","1,469",Africa
84,Honduras,"2,080",121 ,211,"1,748",10,210,12,"5,653",571,North America
85,Bulgaria,"2,069",96 ,499,"1,474",51,298,14,"60,100","8,649",Europe
86,Ivory Coast,"1,857",21 ,820,"1,016",,70,0.8,"14,618",554,Africa
87,Cuba,"1,804",78 ,"1,277",449,4,159,7,"71,157","6,282",North America
88,Iceland,"1,801",10 ,"1,776",15,,"5,278",29,"54,791","160,563",Europe
89,Estonia,"1,751",61 ,777,913,5,"1,320",46,"66,102","49,831",Europe
90,North Macedonia,"1,694",95 ,"1,229",370,21,813,46,"19,739","9,475",Europe
91,Sudan,"1,661",80 ,173,"1,408",,38,2,,,Africa
92,Lithuania,"1,505",54 ,908,543,17,553,20,"200,264","73,565",Europe
93,New Zealand,"1,497",21 ,"1,402",74,2,310,4,"203,045","42,106",Australia/Oceania
94,Slovakia,"1,469",27 ,"1,060",382,6,269,5,"127,034","23,268",Europe
95,Slovenia,"1,463",103 ,260,"1,100",9,704,50,"65,694","31,600",Europe
96,Djibouti,"1,256",3 ,886,367,,"1,271",3,"16,093","16,288",Africa
97,Guatemala,"1,199",27 ,120,"1,052",5,67,2,"7,200",402,North America
98,Somalia,"1,170",52 ,126,992,2,74,3,,,Africa
99,DRC,"1,102",44 ,146,912,,12,0.5,,,Africa
100,Mayotte,"1,095",12 ,492,591,9,"4,014",44,"4,000","14,662",Africa
101,Hong Kong,"1,051",4 ,"1,008",39,1,140,0.5,"168,291","22,448",Asia
102,Kyrgyzstan,"1,044",12 ,726,306,13,160,2,"59,490","9,118",Asia
103,El Salvador,"1,037",20 ,374,643,15,160,3,"46,831","7,220",North America
104,Tunisia,"1,032",45 ,740,247,5,87,4,"33,880","2,867",Africa
105,Latvia,951,19 ,627,305,2,504,10,"81,246","43,074",Europe
106,Maldives,904,3 ,29,872,2,"1,672",6,"11,775","21,784",Asia
107,Cyprus,903,16 ,449,438,10,748,13,"78,338","64,884",Asia
108,Sri Lanka,891,9 ,382,500,1,42,0.4,"38,740","1,809",Asia
109,Albania,880,31 ,688,161,1,306,11,"11,048","3,839",Europe
110,Lebanon,878,26 ,236,616,3,129,4,"54,694","8,013",Asia
111,Gabon,863,9 ,137,717,1,388,4,"5,530","2,485",Africa
112,Niger,854,47 ,648,159,,35,2,"5,642",233,Africa
113,Guinea-Bissau,820,3 ,26,791,,417,2,"1,500",762,Africa
114,Costa Rica,804,7 ,520,277,6,158,1,"17,470","3,429",North America
115,Burkina Faso,766,51 ,588,127,,37,2,,,Africa
116,Andorra,758,48 ,568,142,3,"9,810",621,"1,673","21,653",Europe
117,Paraguay,737,10 ,173,554,,103,1,"16,917","2,372",South America
118,Mali,730,40 ,398,292,,36,2,"2,498",123,Africa
119,Tajikistan,729,23 ,,706,,76,2,,,Asia
120,Uruguay,717,19 ,532,166,8,206,5,"29,500","8,492",South America
121,Kenya,715,36 ,259,420,1,13,0.7,"32,938",613,Africa
122,Diamond Princess,712,13 ,651,48,4,,,,,
123,Georgia,647,11 ,372,264,6,162,3,"33,505","8,399",Asia
124,San Marino,638,41 ,161,436,2,"18,803","1,208","3,121","91,981",Europe
125,Jordan,576,9 ,390,177,5,56,0.9,"123,600","12,114",Asia
126,Channel Islands,547,42 ,455,50,,"3,146",242,"5,342","30,725",Europe
127,Tanzania,509,21 ,183,305,7,9,0.4,,,Africa
128,Malta,508,6 ,436,66,1,"1,151",14,"45,799","103,725",Europe
129,Jamaica,507,9 ,100,398,,171,3,"7,465","2,521",North America
130,Zambia,441,7 ,117,317,1,24,0.4,"10,270",559,Africa
131,Taiwan,440,7 ,375,58,,18,0.3,"68,107","2,860",Asia
132,Equatorial Guinea,439,4 ,13,422,,313,3,854,609,Africa
133,Réunion,437, ,354,83,4,488,,"17,200","19,211",Africa
134,Venezuela,423,10 ,220,193,2,15,0.4,"525,902","18,494",South America
135,Palestine,375,2 ,310,63,,74,0.4,"43,566","8,540",Asia
136,Chad,357,40 ,76,241,,22,2,,,Africa
137,Sierra Leone,338,19 ,72,247,,42,2,,,Africa
138,Congo,333,11 ,53,269,,60,2,,,Africa
139,Mauritius,332,10 ,322,0,,261,8,"69,773","54,863",Africa
140,Isle of Man,331,23 ,272,36,21,"3,893",270,"3,853","45,312",Europe
141,Benin,327,2 ,83,242,,27,0.2,"25,471","2,101",Africa
142,Montenegro,324,9 ,298,17,2,516,14,"10,167","16,188",Europe
143,Vietnam,288, ,252,36,2,3,,"275,000","2,825",Asia
144,Rwanda,286, ,153,133,,22,,"43,379","3,349",Africa
145,Cabo Verde,267,2 ,58,207,,480,4,791,"1,423",Africa
146,Ethiopia,263,5 ,108,150,,2,0.04,"41,689",363,Africa
147,Haiti,219,18 ,17,184,,19,2,"1,296",114,North America
148,Nepal,219, ,35,184,,8,,"81,659","2,803",Asia
149,Liberia,212,20 ,86,106,,42,4,,,Africa
150,Sao Tome and Principe,208,5 ,4,199,,949,23,175,799,Africa
151,Togo,199,11 ,92,96,,24,1,"11,041","1,334",Africa
152,South Sudan,194, ,2,192,,17,,"1,247",111,Africa
153,Martinique,187,14 ,91,82,4,498,37,,,North America
154,Faeroe Islands,187, ,187,0,,"3,827",,"8,554","175,061",Europe
155,Madagascar,186, ,101,85,1,7,,"3,968",143,Africa
156,Eswatini,184,2 ,28,154,,159,2,"2,262","1,950",Africa
157,Myanmar,180,6 ,76,98,,3,0.1,"12,061",222,Asia
158,Guadeloupe,155,13 ,109,33,4,387,32,,,North America
159,French Guiana,153,1 ,124,28,,512,3,,,South America
160,Gibraltar,148, ,144,4,,"4,393",,"4,352","129,174",Europe
161,CAR,143, ,10,133,,30,,"3,498",724,Africa
162,Brunei ,141,1 ,134,6,2,322,2,"16,350","37,373",Asia
163,Uganda,126, ,55,71,,3,,"63,171","1,381",Africa
164,Cambodia,122, ,121,1,1,7,,"14,156",847,Asia
165,Bermuda,121,8 ,66,47,2,"1,943",128,"4,642","74,537",North America
166,Trinidad and Tobago,116,8 ,107,1,,83,6,"2,413","1,724",North America
167,Guyana,113,10 ,36,67,6,144,13,986,"1,254",South America
168,Mozambique,104, ,34,70,,3,,"4,365",140,Africa
169,Aruba,101,3 ,89,9,4,946,28,"1,888","17,684",North America
170,Monaco,96,4 ,85,7,1,"2,446",102,,,Europe
171,Bahamas,93,11 ,39,43,1,236,28,"1,634","4,155",North America
172,Barbados,85,7 ,57,21,4,296,24,"3,185","11,083",North America
173,Cayman Islands,85,1 ,50,34,3,"1,293",15,"4,564","69,444",North America
174,Liechtenstein,82,1 ,55,26,,"2,151",26,900,"23,605",Europe
175,Sint Maarten,76,15 ,46,15,7,"1,773",350,329,"7,673",North America
176,Yemen,65,10 ,1,54,,2,0.3,120,4,Asia
177,Libya,64,3 ,28,33,,9,0.4,"3,253",473,Africa
178,Malawi,63,3 ,24,36,1,3,0.2,"1,363",71,Africa
179,French Polynesia,60, ,58,2,1,214,,"3,042","10,829",Australia/Oceania
180,Syria,47,3 ,29,15,,3,0.2,,,Asia
181,Angola,45,2 ,13,30,,1,0.06,"3,000",91,Africa
182,Macao,45, ,42,3,1,69,,,,Asia
183,Mongolia,42, ,15,27,2,13,,"9,787","2,985",Asia
184,Saint Martin,39,3 ,30,6,1,"1,009",78,,,North America
185,Eritrea,39, ,38,1,,11,,,,Africa
186,Zimbabwe,36,4 ,9,23,,2,0.3,"20,537","1,382",Africa
187,Nicaragua,25,8 ,7,10,,4,1,,,North America
188,Antigua and Barbuda,25,3 ,19,3,1,255,31,183,"1,869",North America
189,Botswana,24,1 ,17,6,,10,0.4,"11,495","4,888",Africa
190,Timor-Leste,24, ,21,3,,18,,738,560,Asia
191,Gambia,23,1 ,10,12,,10,0.4,"1,317",545,Africa
192,Grenada,21, ,13,8,4,187,,"1,406","12,495",North America
193,Laos,19, ,14,5,,3,,"3,975",546,Asia
194,Belize,18,2 ,16,0,,45,5,"1,043","2,623",North America
195,Fiji,18, ,14,4,,20,,"1,300","1,450",Australia/Oceania
196,New Caledonia,18, ,18,0,,63,,"5,454","19,103",Australia/Oceania
197,Saint Lucia,18, ,17,1,,98,,620,"3,376",North America
198,St. Vincent Grenadines,17, ,12,5,,153,,155,"1,397",North America
199,Curaçao,16,1 ,14,1,,98,6,389,"2,371",North America
200,Dominica,16, ,15,1,,222,,420,"5,834",North America
201,Namibia,16, ,11,5,,6,,"1,543",607,Africa
202,Burundi,15,1 ,7,7,,1,0.08,284,24,Africa
203,Saint Kitts and Nevis,15, ,14,1,,282,,327,"6,147",North America
204,Falkland Islands,13, ,13,0,,"3,736",,402,"115,517",South America
205,Turks and Caicos,12,1 ,10,1,,310,26,109,"2,815",North America
206,Vatican City,12, ,2,10,,"14,981",,,,Europe
207,Comoros,11,1 ,,10,,13,1,,,Africa
208,Montserrat,11,1 ,8,2,1,"2,204",200,36,"7,212",North America
209,Bhutan,11, ,5,6,,14,,"12,255","15,882",Asia
210,Greenland,11, ,11,0,,194,,"1,505","26,510",North America
211,Seychelles,11, ,10,1,,112,,,,Africa
212,Suriname,10,1 ,9,0,,17,2,404,689,South America
213,MS Zaandam,9,2 ,,7,,,,,,
214,Mauritania,9,1 ,6,2,,2,0.2,"2,015",433,Africa
215,Papua New Guinea,8, ,8,0,,0.9,,"2,402",268,Australia/Oceania
216,British Virgin Islands,7,1 ,4,2,,232,33,167,"5,524",North America
217,Caribbean Netherlands,6, ,6,0,,229,,357,"13,614",North America
218,St. Barth,6, ,6,0,,607,,,,North America
219,Western Sahara,6, ,6,0,,10,,,,Africa
220,Anguilla,3, ,3,0,,200,,,,North America
