,country,confirmed,deaths,recovered,active,critical,case_per_mn,deaths_per_mn,total_test,tests_per_mn,continent
9,USA,"1,347,309","80,037 ","238,078","1,029,194","16,816","4,070",242,"8,918,263","26,943",North America
10,Spain,"262,783","26,478 ","173,157","63,148","1,741","5,620",566,"2,467,761","52,781",Europe
11,Italy,"218,268","30,395 ","103,031","84,842","1,034","3,610",503,"2,514,234","41,584",Europe
12,UK,"215,260","31,587 ",N/A,"183,329","1,559","3,171",465,"1,728,443","25,461",Europe
13,Russia,"198,676","1,827 ","31,916","164,933","2,300","1,361",13,"5,221,964","35,783",Europe
14,France,"176,658","26,310 ","56,038","94,310","2,812","2,706",403,"1,384,633","21,213",Europe
15,Germany,"171,324","7,549 ","143,300","20,475","1,650","2,045",90,"2,755,770","32,891",Europe
16,Brazil,"156,061","10,656 ","61,685","83,720","8,318",734,50,"339,552","1,597",South America
17,Turkey,"137,115","3,739 ","89,480","43,896","1,168","1,626",44,"1,334,411","15,822",Asia
18,Iran,"106,220","6,589 ","85,064","14,567","2,696","1,265",78,"573,220","6,825",Asia
19,Canada,"67,702","4,693 ","31,249","31,760",502,"1,794",124,"1,068,000","28,297",North America
20,Peru,"65,015","1,814 ","20,246","42,955",748,"1,972",55,"494,250","14,990",South America
21,India,"62,939","2,109 ","19,358","41,472",,46,2,"1,523,213","1,104",Asia
22,Belgium,"52,596","8,581 ","13,411","30,604",502,"4,538",740,"540,643","46,649",Europe
23,Netherlands,"42,382","5,422 ",N/A,"36,710",541,"2,473",316,"249,655","14,570",Europe
24,Saudi Arabia,"37,136",239 ,"10,144","26,753",140,"1,067",7,"433,500","12,452",Asia
25,Mexico,"33,460","3,353 ","21,824","8,283",378,260,26,"128,148",994,North America
26,Switzerland,"30,251","1,830 ","26,400","2,021",101,"3,495",211,"306,223","35,383",Europe
27,Pakistan,"29,465",639 ,"8,023","20,803",111,133,3,"283,517","1,284",Asia
28,Ecuador,"29,071","1,717 ","3,433","23,921",181,"1,648",97,"83,657","4,742",South America
29,Portugal,"27,406","1,126 ","2,499","23,781",120,"2,688",110,"517,660","50,767",Europe
30,Chile,"27,219",304 ,"12,667","14,248",544,"1,424",16,"267,904","14,015",South America
31,Sweden,"25,921","3,220 ","4,971","17,730",425,"2,567",319,"148,500","14,704",Europe
32,Ireland,"22,760","1,446 ","17,110","4,204",72,"4,609",293,"214,761","43,493",Europe
33,Singapore,"22,460",20 ,"2,296","20,144",23,"3,839",3,"175,604","30,016",Asia
34,Belarus,"22,052",126 ,"6,050","15,876",92,"2,334",13,"251,771","26,644",Europe
35,Qatar,"21,331",13 ,"2,449","18,869",72,"7,404",5,"124,554","43,232",Asia
