,country,confirmed,deaths,recovered,active,critical,case_per_mn,deaths_per_mn,total_test,tests_per_mn,continent
9,USA,"710,021","37,158 ","60,510","612,353","13,509","2,145",112,"3,574,984","10,800",North America
10,Spain,"190,839","20,002 ","74,797","96,040","7,371","4,082",428,"930,230","19,896",Europe
11,Italy,"172,434","22,745 ","42,727","106,962","2,812","2,852",376,"1,244,108","20,577",Europe
12,France,"147,969","18,681 ","34,420","94,868","6,027","2,267",286,"463,662","7,103",Europe
13,Germany,"141,397","4,352 ","83,114","53,931","5,013","1,688",52,"1,728,357","20,629",Europe
14,UK,"108,692","14,576 ",N/A,"93,772","1,559","1,601",215,"438,991","6,467",Europe
15,Iran,"79,494","4,958 ","54,064","20,472","3,563",946,59,"319,879","3,808",Asia
16,Turkey,"78,546","1,769 ","8,631","68,146","1,845",931,21,"558,413","6,621",Asia
17,Belgium,"36,138","5,163 ","7,961","23,014","1,140","3,118",445,"139,387","12,027",Europe
18,Brazil,"34,221","2,171 ","14,026","18,024","6,634",161,10,"62,985",296,South America
19,Russia,"32,008",273 ,"2,590","29,145",8,219,2,"1,718,019","11,773",Europe
20,Canada,"31,927","1,310 ","10,543","20,074",557,846,35,"507,701","13,452",North America
21,Netherlands,"30,449","3,459 ",250,"26,740","1,279","1,777",202,"154,911","9,041",Europe
22,Switzerland,"27,078","1,327 ","16,400","9,351",386,"3,129",153,"206,400","23,849",Europe
23,Portugal,"19,022",657 ,519,"17,846",222,"1,866",64,"234,207","22,969",Europe
24,Austria,"14,595",431 ,"9,704","4,460",227,"1,621",48,"169,272","18,795",Europe
25,India,"14,352",486 ,"2,041","11,825",,10,0.4,"335,123",243,Asia
26,Ireland,"13,980",530 ,77,"13,373",294,"2,831",107,"90,646","18,358",Europe
27,Peru,"13,489",300 ,"6,541","6,648",137,409,9,"127,513","3,867",South America
28,Sweden,"13,216","1,400 ",550,"11,266",523,"1,309",139,"74,600","7,387",Europe
29,Israel,"12,982",151 ,"3,126","9,705",168,"1,500",17,"187,250","21,634",Asia
30,S. Korea,"10,653",232 ,"7,937","2,484",55,208,5,"546,463","10,659",Asia
31,Japan,"9,787",190 ,935,"8,662",193,77,2,"100,703",796,Asia
32,Chile,"9,252",116 ,"3,621","5,515",384,484,6,"103,873","5,434",South America
33,Ecuador,"8,450",421 ,838,"7,191",168,479,24,"27,868","1,580",South America
34,Poland,"8,379",332 ,866,"7,181",160,221,9,"179,654","4,747",Europe
35,Romania,"8,067",411 ,"1,508","6,148",258,419,21,"85,805","4,460",Europe
36,Saudi Arabia,"7,142",87 ,"1,049","6,006",74,205,2,"150,000","4,309",Asia
37,Denmark,"7,073",336 ,"3,389","3,348",93,"1,221",58,"87,024","15,024",Europe
38,Pakistan,"7,025",135 ,"1,765","5,125",46,32,0.6,"84,704",383,Asia
39,Norway,"6,937",161 ,32,"6,744",63,"1,280",30,"136,236","25,130",Europe
40,Mexico,"6,875",546 ,"2,125","4,204",207,53,4,"48,365",375,North America
41,Australia,"6,560",67 ,"4,132","2,361",57,257,3,"398,066","15,611",Australia/Oceania
42,Czechia,"6,549",173 ,"1,174","5,202",82,612,16,"154,307","14,409",Europe
43,UAE,"6,302",37 ,"1,188","5,077",1,637,4,"767,000","77,550",Asia
44,Indonesia,"5,923",520 ,607,"4,796",,22,2,"37,134",136,Asia
45,Philippines,"5,878",387 ,487,"5,004",1,54,4,"48,171",440,Asia
46,Serbia,"5,690",110 ,534,"5,046",120,651,13,"32,566","3,727",Europe
47,Malaysia,"5,251",86 ,"2,967","2,198",51,162,3,"96,695","2,988",Asia
48,Singapore,"5,050",11 ,708,"4,331",22,863,2,"94,796","16,203",Asia
49,Belarus,"4,779",42 ,342,"4,395",65,506,4,"86,813","9,187",Europe
50,Qatar,"4,663",7 ,464,"4,192",37,"1,619",2,"58,328","20,245",Asia
51,Ukraine,"4,662",125 ,246,"4,291",45,107,3,"47,096","1,077",Europe
52,Panama,"4,210",116 ,122,"3,972",96,976,27,"18,559","4,301",North America
53,Dominican Republic,"4,126",200 ,268,"3,658",146,380,18,"13,282","1,224",North America
54,Finland,"3,489",82 ,"1,700","1,707",73,630,15,"52,500","9,475",Europe
55,Luxembourg,"3,480",72 ,579,"2,829",29,"5,559",115,"32,394","51,749",Europe
56,Colombia,"3,439",153 ,634,"2,652",98,68,3,"55,573","1,092",South America
57,Egypt,"2,844",205 ,646,"1,993",,28,2,"25,000",244,Africa
58,South Africa,"2,783",50 ,903,"1,830",7,47,0.8,"100,827","1,700",Africa
