,country,confirmed,deaths,recovered,active,critical,case_per_mn,deaths_per_mn,total_test,tests_per_mn,continent
9,USA,"886,709","50,243 ","85,922","750,544","14,997","2,679",152,"4,774,828","14,425",North America
10,Spain,"213,024","22,157 ","89,250","101,617","7,705","4,556",474,"930,230","19,896",Europe
11,Italy,"189,973","25,549 ","57,576","106,848","2,267","3,142",423,"1,579,909","26,131",Europe
12,France,"158,183","21,856 ","42,088","94,239","5,053","2,423",335,"463,662","7,103",Europe
13,Germany,"153,129","5,575 ","103,300","44,254","2,908","1,828",67,"2,072,669","24,738",Europe
14,UK,"138,078","18,738 ",N/A,"118,996","1,559","2,034",276,"583,496","8,595",Europe
15,Turkey,"101,790","2,491 ","18,491","80,808","1,816","1,207",30,"791,906","9,390",Asia
16,Iran,"87,026","5,481 ","64,843","16,702","3,105","1,036",65,"389,507","4,637",Asia
17,Russia,"62,773",555 ,"4,891","57,327","2,300",430,4,"2,401,616","16,457",Europe
18,Brazil,"50,036","3,331 ","26,573","20,132","8,318",235,16,"291,922","1,373",South America
19,Belgium,"42,797","6,490 ","9,800","26,507",993,"3,693",560,"179,666","15,502",Europe
20,Canada,"42,110","2,147 ","14,761","25,202",557,"1,116",57,"634,917","16,822",North America
21,Netherlands,"35,729","4,177 ",N/A,"31,302","1,008","2,085",244,"187,000","10,913",Europe
22,Switzerland,"28,496","1,549 ","20,600","6,347",386,"3,293",179,"227,554","26,293",Europe
23,India,"23,077",721 ,"5,012","17,344",,17,0.5,"500,542",363,Asia
24,Portugal,"22,353",820 ,"1,201","20,332",204,"2,192",80,"300,525","29,473",Europe
25,Peru,"20,914",572 ,"7,422","12,920",396,634,17,"185,238","5,618",South America
26,Ireland,"17,607",794 ,"9,233","7,580",147,"3,566",161,"111,584","22,598",Europe
27,Sweden,"16,755","2,021 ",550,"14,184",533,"1,659",200,"94,500","9,357",Europe
28,Austria,"15,002",522 ,"11,694","2,786",169,"1,666",58,"205,835","22,854",Europe
29,Israel,"14,803",192 ,"5,611","9,000",139,"1,710",22,"240,303","27,763",Asia
30,Saudi Arabia,"13,930",121  ,"1,925","11,884",93,400,3,"200,000","5,745",Asia
31,Japan,"12,368",328 ,"1,494","10,546",259,98,3,"135,983","1,075",Asia
32,Chile,"11,812",168 ,"5,804","5,840",411,618,9,"135,147","7,070",South America
33,Mexico,"11,633","1,069 ","2,627","7,937",378,90,8,"49,570",384,North America
34,Ecuador,"11,183",560 ,"1,328","9,295",141,634,32,"34,840","1,975",South America
35,Singapore,"11,178",12 ,924,"10,242",26,"1,911",2,"94,796","16,203",Asia
36,Pakistan,"11,155",237 ,"2,527","8,391",60,50,1,"131,365",595,Asia
37,S. Korea,"10,708",240 ,"8,501","1,967",55,209,5,"589,520","11,499",Asia
38,Poland,"10,511",454 ,"1,740","8,317",160,278,12,"250,719","6,625",Europe
39,Romania,"10,096",545 ,"2,478","7,073",236,525,28,"113,336","5,891",Europe
40,UAE,"8,756",56 ,"1,637","7,063",1,885,6,"790,000","79,875",Asia
41,Denmark,"8,073",394 ,"5,384","2,295",74,"1,394",68,"116,621","20,134",Europe
42,Belarus,"8,022",60 ,938,"7,024",92,849,6,"122,543","12,968",Europe
43,Indonesia,"7,775",647 ,960,"6,168",,28,2,"59,935",219,Asia
44,Qatar,"7,764",10 ,750,"7,004",72,"2,695",3,"73,457","25,497",Asia
45,Norway,"7,401",194 ,32,"7,175",50,"1,365",36,"152,095","28,055",Europe
46,Serbia,"7,276",139 ,"1,063","6,074",96,833,16,"51,324","5,874",Europe
47,Czechia,"7,187",210 ,"2,152","4,825",76,671,20,"195,725","18,277",Europe
48,Ukraine,"7,170",187 ,504,"6,479",45,164,4,"72,296","1,653",Europe
49,Philippines,"6,981",462 ,722,"5,797",1,64,4,"72,346",660,Asia
50,Australia,"6,667",75 ,"5,045","1,547",45,261,3,"466,659","18,300",Australia/Oceania
51,Malaysia,"5,603",95 ,"3,542","1,966",42,173,3,"117,406","3,627",Asia
52,Dominican Republic,"5,543",265 ,581,"4,697",135,511,24,"18,261","1,683",North America
53,Panama,"5,166",146 ,271,"4,749",86,"1,197",34,"23,534","5,454",North America
54,Colombia,"4,561",215 ,927,"3,419",98,90,4,"71,500","1,405",South America
55,Finland,"4,284",172 ,"2,000","2,112",60,773,31,"71,000","12,814",Europe
56,Bangladesh,"4,186",127 ,108,"3,951",1,25,0.8,"36,090",219,Asia
57,South Africa,"3,953",75 ,"1,473","2,405",36,67,1,"143,570","2,421",Africa
58,Egypt,"3,891",287 ,"1,004","2,600",,38,3,"90,000",879,Africa
59,Luxembourg,"3,665",83 ,728,"2,854",27,"5,855",133,"36,891","58,933",Europe
60,Morocco,"3,568",155 ,456,"2,957",1,97,4,"21,947",595,Africa
61,Argentina,"3,435",165 ,919,"2,351",123,76,4,"41,786",925,South America
62,Algeria,"3,007",407 ,"1,355","1,245",40,69,9,"6,500",148,Africa
63,Moldova,"2,926",80 ,661,"2,185",212,725,20,"11,763","2,916",Europe
64,Thailand,"2,839",50 ,"2,430",359,61,41,0.7,"142,589","2,043",Asia
65,Greece,"2,463",125 ,577,"1,761",52,236,12,"59,241","5,684",Europe
66,Kuwait,"2,399",14 ,498,"1,887",55,562,3,,,Asia
67,Kazakhstan,"2,334",22 ,560,"1,752",29,124,1,"153,492","8,175",Asia
68,Hungary,"2,284",239 ,390,"1,655",61,236,25,"55,390","5,734",Europe
69,Bahrain,"2,217",8 ,"1,082","1,127",2,"1,303",5,"100,031","58,787",Asia
70,Croatia,"1,981",50 ,883,"1,048",19,483,12,"28,853","7,028",Europe
71,Iceland,"1,789",10 ,"1,509",270,5,"5,243",29,"45,093","132,143",Europe
72,Uzbekistan,"1,758",7 ,561,"1,190",8,53,0.2,"210,000","6,274",Asia
73,Oman,"1,716",9 ,307,"1,400",3,336,2,,,Asia
74,Iraq,"1,677",83 ,"1,171",423,,42,2,"64,882","1,613",Asia
75,Estonia,"1,592",45 ,192,"1,355",7,"1,200",34,"45,181","34,059",Europe
76,Azerbaijan,"1,548",20 ,948,580,14,153,2,"108,221","10,674",Asia
77,Armenia,"1,523",24 ,659,840,10,514,8,"15,960","5,386",Asia
78,New Zealand,"1,456",17 ,"1,095",344,1,302,4,"108,238","22,446",Australia/Oceania
79,Bosnia and Herzegovina,"1,413",54 ,485,874,4,431,16,"21,432","6,533",Europe
80,Lithuania,"1,398",40 ,399,959,17,514,15,"83,591","30,706",Europe
81,Slovenia,"1,366",79 ,211,"1,076",23,657,38,"45,703","21,984",Europe
82,Cameroon,"1,334",43 ,668,623,33,50,2,,,Africa
83,Slovakia,"1,325",15 ,288,"1,022",9,243,3,"57,421","10,517",Europe
84,North Macedonia,"1,300",56 ,301,943,14,624,27,"13,649","6,551",Europe
85,Afghanistan,"1,279",42 ,179,"1,058",7,33,1,"6,422",165,Asia
