,country,confirmed,deaths,recovered,active,critical,case_per_mn,deaths_per_mn,total_test,tests_per_mn,continent
9,USA,"1,095,210","63,861 ","155,737","875,612","15,226","3,309",193,"6,391,887","19,311",North America
10,Spain,"239,639","24,543 ","137,984","77,112","2,676","5,125",525,"1,455,306","31,126",Europe
11,Italy,"205,463","27,967 ","75,945","101,551","1,694","3,398",463,"1,979,217","32,735",Europe
12,UK,"171,253","26,771 ",N/A,"144,138","1,559","2,523",394,"901,905","13,286",Europe
13,France,"167,178","24,376 ","49,476","93,326","4,019","2,561",373,"724,574","11,101",Europe
14,Germany,"163,009","6,623 ","123,500","32,886","2,415","1,946",79,"2,547,052","30,400",Europe
15,Turkey,"120,204","3,174 ","48,886","68,144","1,514","1,425",38,"1,033,617","12,255",Asia
16,Russia,"106,498","1,073 ","11,619","93,806","2,300",730,7,"3,490,000","23,915",Europe
17,Iran,"94,640","6,028 ","75,103","13,509","2,976","1,127",72,"463,295","5,516",Asia
18,Brazil,"87,187","6,006 ","35,935","45,246","8,318",410,28,"339,552","1,597",South America
19,Canada,"53,236","3,184 ","21,423","28,629",557,"1,411",84,"806,449","21,367",North America
20,Belgium,"48,519","7,594 ","11,576","29,349",769,"4,186",655,"237,963","20,532",Europe
21,Netherlands,"39,316","4,795 ",N/A,"34,271",783,"2,295",280,"219,744","12,824",Europe
22,Peru,"36,976","1,051 ","10,405","25,520",651,"1,121",32,"318,252","9,652",South America
23,India,"34,863","1,154 ","9,068","24,641",,25,0.8,"830,201",602,Asia
24,Switzerland,"29,586","1,737 ","23,400","4,449",167,"3,419",201,"266,200","30,758",Europe
25,Portugal,"25,045",989 ,"1,519","22,537",172,"2,456",97,"395,771","38,814",Europe
26,Ecuador,"24,934",900 ,"1,558","22,476",146,"1,413",51,"69,054","3,914",South America
27,Saudi Arabia,"22,753",162 ,"3,163","19,428",123,654,5,"200,000","5,745",Asia
28,Sweden,"21,092","2,586 ","1,005","17,501",531,"2,088",256,"119,500","11,833",Europe
29,Ireland,"20,612","1,232 ","13,386","5,994",123,"4,174",250,"153,954","31,179",Europe
30,Mexico,"19,224","1,859 ","11,423","5,942",378,149,14,"81,912",635,North America
31,Pakistan,"16,817",385 ,"4,315","12,117",111,76,2,"182,131",825,Asia
32,Singapore,"16,169",15 ,"1,244","14,910",22,"2,764",3,"143,919","24,600",Asia
33,Chile,"16,023",227 ,"8,580","7,216",392,838,12,"180,517","9,443",South America
34,Israel,"15,946",222 ,"8,561","7,163",105,"1,842",26,"364,467","42,108",Asia
35,Austria,"15,452",584 ,"12,907","1,961",128,"1,716",65,"256,399","28,469",Europe
36,Japan,"14,088",430 ,"2,460","11,198",308,111,3,"165,609","1,309",Asia
