,country,confirmed,deaths,recovered,active,critical,case_per_mn,deaths_per_mn,total_test,tests_per_mn,continent
9,USA,"849,092","47,681 ","84,050","717,361","14,016","2,565",144,"4,326,648","13,071",North America
10,Spain,"208,389","21,717 ","85,915","100,757","7,705","4,457",464,"930,230","19,896",Europe
11,Italy,"187,327","25,085 ","54,543","107,699","2,384","3,098",415,"1,513,251","25,028",Europe
12,France,"159,877","21,340 ","40,657","97,880","5,218","2,449",327,"463,662","7,103",Europe
13,Germany,"150,648","5,315 ","103,300","42,033","2,908","1,798",63,"2,072,669","24,738",Europe
14,UK,"133,495","18,100 ",N/A,"115,051","1,559","1,966",267,"559,935","8,248",Europe
15,Turkey,"98,674","2,376 ","16,477","79,821","1,814","1,170",28,"750,944","8,904",Asia
16,Iran,"85,996","5,391 ","63,113","17,492","3,311","1,024",64,"377,396","4,493",Asia
17,Russia,"62,773",555 ,"4,891","57,327","2,300",430,4,"2,401,616","16,457",Europe
18,Brazil,"46,182","2,924 ","25,318","17,940","8,318",217,14,"291,922","1,373",South America
19,Belgium,"41,889","6,262 ","9,433","26,194","1,020","3,614",540,"171,400","14,789",Europe
20,Canada,"40,190","1,974 ","13,986","24,230",557,"1,065",52,"612,192","16,220",North America
21,Netherlands,"34,842","4,054  ",N/A,"30,538","1,050","2,033",237,"171,415","10,004",Europe
22,Switzerland,"28,268","1,509 ","19,900","6,859",386,"3,266",174,"227,554","26,293",Europe
23,Portugal,"21,982",785 ,"1,143","20,054",207,"2,156",77,"284,741","27,925",Europe
24,India,"21,797",681 ,"4,376","16,740",,16,0.5,"500,542",363,Asia
25,Peru,"19,250",530 ,"7,027","11,693",396,584,16,"170,400","5,168",South America
26,Ireland,"16,671",769 ,"9,233","6,669",147,"3,376",156,"111,584","22,598",Europe
27,Sweden,"16,004","1,937 ",550,"13,517",515,"1,585",192,"94,500","9,357",Europe
28,Austria,"14,925",510 ,"11,328","3,087",176,"1,657",57,"201,794","22,406",Europe
29,Israel,"14,592",191 ,"5,334","9,067",136,"1,686",22,"240,303","27,763",Asia
30,Saudi Arabia,"12,772",114 ,"1,812","10,846",82,367,3,"200,000","5,745",Asia
31,Japan,"11,950",299 ,"1,424","10,227",241,94,2,"130,587","1,033",Asia
32,Chile,"11,296",160 ,"5,386","5,750",399,591,8,"128,722","6,734",South America
33,Singapore,"11,178",12 ,896,"10,270",27,"1,911",2,"94,796","16,203",Asia
34,Ecuador,"10,850",537 ,"1,262","9,051",141,615,30,"34,840","1,975",South America
35,S. Korea,"10,702",240 ,"8,411","2,051",55,209,5,"583,971","11,390",Asia
36,Mexico,"10,544",970 ,"2,627","6,947",378,82,8,"49,570",384,North America
37,Pakistan,"10,513",224 ,"2,337","7,952",60,48,1,"124,549",564,Asia
38,Poland,"10,169",426 ,"1,740","8,003",160,269,11,"238,799","6,310",Europe
39,Romania,"9,710",527 ,"2,406","6,777",288,505,27,"106,357","5,529",Europe
40,UAE,"8,238",52 ,"1,546","6,640",1,833,5,"790,000","79,875",Asia
41,Denmark,"7,912",384 ,"5,087","2,441",80,"1,366",66,"108,465","18,726",Europe
42,Indonesia,"7,418",635 ,913,"5,870",,27,2,"55,732",204,Asia
43,Norway,"7,338",187 ,32,"7,119",54,"1,354",34,"148,656","27,421",Europe
44,Belarus,"7,281",58 ,769,"6,454",92,771,6,"114,955","12,165",Europe
45,Ukraine,"7,170",187 ,504,"6,479",45,164,4,"72,296","1,653",Europe
46,Qatar,"7,141",10 ,689,"6,442",37,"2,479",3,"70,012","24,301",Asia
47,Czechia,"7,136",210 ,"2,002","4,924",76,666,20,"195,725","18,277",Europe
48,Serbia,"7,114",134 ,"1,025","5,955",101,814,15,"48,636","5,566",Europe
49,Philippines,"6,710",446 ,693,"5,571",1,61,4,"68,532",625,Asia
