,country,confirmed,deaths,recovered,active,critical,case_per_mn,deaths_per_mn,total_test,tests_per_mn,continent
9,USA,"738,830","39,014 ","68,285","631,531","13,551","2,232",118,"3,722,209","11,245",North America
10,Spain,"194,416","20,639 ","74,797","98,980","7,371","4,158",441,"930,230","19,896",Europe
11,Italy,"175,925","23,227 ","44,927","107,771","2,733","2,910",384,"1,305,833","21,598",Europe
12,France,"151,793","19,323 ","35,983","96,487","5,833","2,325",296,"463,662","7,103",Europe
13,Germany,"143,724","4,538 ","85,400","53,786","2,922","1,715",54,"1,728,357","20,629",Europe
14,UK,"114,217","15,464  ",N/A,"98,409","1,559","1,682",228,"460,437","6,783",Europe
15,Turkey,"82,329","1,890 ","10,453","69,986","1,894",976,22,"598,933","7,101",Asia
16,Iran,"80,868","5,031 ","55,987","19,850","3,513",963,60,"330,137","3,931",Asia
17,Belgium,"37,183","5,453 ","8,348","23,382","1,119","3,208",471,"145,997","12,597",Europe
18,Russia,"36,793",313 ,"3,057","33,423",8,252,2,"1,831,892","12,553",Europe
19,Brazil,"36,760","2,368 ","14,026","20,366","6,634",173,11,"62,985",296,South America
20,Canada,"33,383","1,470 ","11,207","20,706",557,885,39,"516,216","13,677",North America
21,Netherlands,"31,589","3,601 ",250,"27,738","1,279","1,844",210,"154,911","9,041",Europe
22,Switzerland,"27,404","1,368 ","17,100","8,936",386,"3,166",158,"216,400","25,004",Europe
23,Portugal,"19,685",687 ,610,"18,388",228,"1,931",67,"235,878","23,133",Europe
24,India,"15,722",521 ,"2,463","12,738",,11,0.4,"335,123",243,Asia
25,Ireland,"14,758",571 ,77,"14,110",294,"2,989",116,"90,646","18,358",Europe
26,Austria,"14,671",443 ,"10,214","4,014",208,"1,629",49,"175,932","19,534",Europe
27,Peru,"14,420",348 ,"6,684","7,388",117,437,11,"135,895","4,122",South America
28,Sweden,"13,822","1,511 ",550,"11,761","1,054","1,369",150,"74,600","7,387",Europe
29,Israel,"13,265",164 ,"3,456","9,645",164,"1,533",19,"187,250","21,634",Asia
30,S. Korea,"10,653",232 ,"7,937","2,484",55,208,5,"546,463","10,659",Asia
31,Japan,"10,296",222 ,"1,069","9,005",221,81,2,"111,325",880,Asia
32,Chile,"9,730",126 ,"4,035","5,569",360,509,7,"108,891","5,696",South America
33,Ecuador,"9,022",456 ,"1,008","7,558",168,511,26,"30,922","1,753",South America
34,Poland,"8,742",347 ,981,"7,414",160,231,9,"192,960","5,098",Europe
35,Romania,"8,418",421 ,"1,730","6,267",248,438,22,"90,991","4,730",Europe
