,country,confirmed,deaths,recovered,active,critical,case_per_mn,deaths_per_mn,total_test,tests_per_mn,continent
9,USA,"925,038","52,185 ","110,432","762,421","15,097","2,795",158,"5,020,850","15,169",North America
10,Spain,"219,764","22,524 ","92,355","104,885","7,705","4,700",482,"930,230","19,896",Europe
11,Italy,"192,994","25,969 ","60,498","106,527","2,173","3,192",430,"1,642,356","27,164",Europe
12,France,"159,828","22,245 ","43,493","94,090","4,870","2,449",341,"463,662","7,103",Europe
13,Germany,"154,999","5,760 ","109,800","39,439","2,908","1,850",69,"2,072,669","24,738",Europe
14,UK,"143,464","19,506 ",N/A,"123,614","1,559","2,113",287,"612,031","9,016",Europe
15,Turkey,"104,912","2,600 ","21,737","80,575","1,790","1,244",31,"830,257","9,844",Asia
16,Iran,"88,194","5,574 ","66,599","16,021","3,121","1,050",66,"399,927","4,761",Asia
17,Russia,"68,622",615 ,"5,568","62,439","2,300",470,4,"2,550,000","17,474",Europe
18,Brazil,"54,043","3,704 ","27,655","22,684","8,318",254,17,"291,922","1,373",South America
19,Belgium,"44,293","6,679 ","10,122","27,492",970,"3,822",576,"189,067","16,313",Europe
20,Canada,"43,888","2,302 ","15,469","26,117",557,"1,163",61,"660,108","17,490",North America
21,Netherlands,"36,535","4,289 ",N/A,"31,996",963,"2,132",250,"187,000","10,913",Europe
22,Switzerland,"28,677","1,589 ","21,000","6,088",386,"3,313",184,"235,252","27,182",Europe
23,India,"24,447",780 ,"5,496","18,171",,18,0.6,"541,789",393,Asia
24,Portugal,"22,797",854 ,"1,228","20,715",188,"2,236",84,"315,758","30,967",Europe
25,Ecuador,"22,719",576 ,"1,366","20,777",127,"1,288",33,"56,513","3,203",South America
26,Peru,"21,648",634 ,"7,496","13,518",505,657,19,"198,349","6,016",South America
27,Ireland,"18,184","1,014 ","9,233","7,937",142,"3,683",205,"111,584","22,598",Europe
28,Sweden,"17,567","2,152 ","1,005","14,410",547,"1,739",213,"94,500","9,357",Europe
29,Saudi Arabia,"15,102",127 ,"2,049","12,926",93,434,4,"200,000","5,745",Asia
30,Austria,"15,071",530 ,"11,872","2,669",156,"1,673",59,"212,686","23,615",Europe
31,Israel,"15,058",194 ,"6,003","8,861",137,"1,740",22,"302,691","34,971",Asia
32,Mexico,"12,872","1,221 ","7,149","4,502",378,100,9,"51,297",398,North America
33,Japan,"12,712",345 ,"1,530","10,837",263,101,3,"141,600","1,120",Asia
34,Chile,"12,306",174 ,"6,327","5,805",408,644,9,"142,267","7,442",South America
35,Singapore,"12,075",12 ,956,"11,107",26,"2,064",2,"94,796","16,203",Asia
36,Pakistan,"11,940",253 ,"2,755","8,932",111,54,1,"138,147",625,Asia
37,Poland,"10,892",494  ,"1,944","8,454",160,288,13,"265,201","7,007",Europe
38,S. Korea,"10,718",240 ,"8,635","1,843",55,209,5,"595,161","11,609",Asia
39,Romania,"10,417",567 ,"2,817","7,033",241,541,29,"121,602","6,321",Europe
40,UAE,"9,281",64 ,"1,760","7,457",1,938,6,"790,000","79,875",Asia
41,Belarus,"8,773",63 ,"1,120","7,590",92,928,7,"130,824","13,845",Europe
42,Qatar,"8,525",10 ,809,"7,706",72,"2,959",3,"75,888","26,340",Asia
43,Indonesia,"8,211",689 ,"1,002","6,520",,30,3,"64,054",234,Asia
44,Denmark,"8,210",403 ,"5,526","2,281",69,"1,417",70,"125,329","21,638",Europe
45,Ukraine,"7,647",193 ,601,"6,853",45,175,4,"77,752","1,778",Europe
46,Serbia,"7,483",144 ,"1,094","6,245",96,856,16,"54,887","6,282",Europe
47,Norway,"7,463",199 ,32,"7,232",53,"1,377",37,"155,125","28,614",Europe
48,Czechia,"7,273",214 ,"2,371","4,688",76,679,20,"203,622","19,014",Europe
49,Philippines,"7,192",477 ,762,"5,953",1,66,4,"76,956",702,Asia
50,Australia,"6,692",80 ,"5,357","1,255",43,262,3,"491,391","19,270",Australia/Oceania
51,Dominican Republic,"5,749",267 ,763,"4,719",135,530,25,"18,261","1,683",North America
52,Malaysia,"5,691",96 ,"3,663","1,932",41,176,3,"121,722","3,761",Asia
53,Panama,"5,338",154 ,319,"4,865",87,"1,237",36,"24,304","5,633",North America
54,Colombia,"4,881",225 ,"1,003","3,653",117,96,4,"78,078","1,534",South America
55,Bangladesh,"4,689",131 ,112,"4,446",1,28,0.8,"39,476",240,Asia
56,Finland,"4,395",177 ,"2,500","1,718",61,793,32,"74,500","13,446",Europe
57,South Africa,"4,220",79 ,"1,473","2,668",36,71,1,"152,390","2,569",Africa
58,Egypt,"4,092",294 ,"1,075","2,723",,40,3,"90,000",879,Africa
59,Morocco,"3,758",158 ,486,"3,114",1,102,4,"23,933",648,Africa
